
[00:00:00.000 --> 00:00:15.000]   *Music Playing*
[00:00:15.000 --> 00:00:21.000]   Today we are going to talk about why AI benchmarking is about to get a lot more fun.
[00:00:21.000 --> 00:00:24.000]   But, before we do, we need to go over some cool demos here.
[00:00:24.000 --> 00:00:27.000]   So, I love the Claude Place Pokémon demo.
[00:00:27.000 --> 00:00:32.000]   There's something really special about seeing this little embodied agent make its own decisions,
[00:00:32.000 --> 00:00:35.000]   go and play Pokémon for us from our childhood here.
[00:00:35.000 --> 00:00:39.000]   Now, OpenAI got in on the same game. I thought this was awesome.
[00:00:39.000 --> 00:00:43.000]   And then, just the other day, Gemini beat Pokémon.
[00:00:43.000 --> 00:00:46.000]   I like seeing the little robots with AGI on top of their head.
[00:00:46.000 --> 00:00:48.000]   That must mean that we're already there, right?
[00:00:48.000 --> 00:00:51.000]   Well, if we have these agents playing Pokémon and it's already doing it and beating it,
[00:00:51.000 --> 00:00:54.000]   that means the game's over, right? We're all done?
[00:00:54.000 --> 00:01:00.000]   Well, not quite. Because, with Claude Place Pokémon, we saw that it would get stuck in the same place for three days.
[00:01:00.000 --> 00:01:03.000]   It would need interventions. It would hallucinate different actions.
[00:01:03.000 --> 00:01:08.000]   And not only that, there was a ton of Pokémon training data that was within the model itself.
[00:01:08.000 --> 00:01:15.000]   So, although this is a really cool example about an agent exploring a world, there are a lot of things that we can go and improve on.
[00:01:15.000 --> 00:01:19.000]   So, as Kyle was saying, my name is Greg Kamrad, President of ArcPrize.
[00:01:19.000 --> 00:01:24.000]   We are a non-profit with the mission to be a North Star guide towards Open AGI.
[00:01:24.000 --> 00:01:28.000]   We were founded last year by Francois Chollet and Mike Knup.
[00:01:28.000 --> 00:01:36.000]   And, just last December, we were invited by OpenAI to join them on their live stream to co-announce the 03 preview results on Arc AGI.
[00:01:36.000 --> 00:01:43.000]   Now, there's a lot of AI benchmarking companies out there, but we take a very opinionated approach as to how we should do this.
[00:01:43.000 --> 00:01:48.000]   And our opinion is that the best target we should be aiming for is actually humans.
[00:01:48.000 --> 00:01:55.000]   And the reason why we think that is because we see that humans are the one proof point of general intelligence that we know about.
[00:01:55.000 --> 00:01:59.000]   And if we use humans as the target, that does two things for us.
[00:01:59.000 --> 00:02:03.000]   Because what we do is we come up with problems that are feasible for humans, but hard for AI.
