
[00:00:00.040 --> 00:00:09.480]   Оп
[00:00:09.480 --> 00:00:28.060]  'm had the he
[00:01:54.680 --> 00:02:06.120]   I
[00:02:06.120 --> 00:02:20.560]   ap like,,,, Ke I but believe with a check. I, Teaching,//_, / enjoy the car. the car the car the car the car the car the car the car the the the the the the the the the the, the, "G, Если,G, meant,G, carrot,G,You, résG,D,G,G,G,G,G, oscill...,G,G, HUD,B,G,G, 바� justement original snapped dah 내려興, controllers on intent to be fl rect早 greatest adirtyena
[00:02:20.560 --> 00:02:22.900]   있었 go "S hello not "G, Like a "G, I was a
[00:02:22.900 --> 00:02:23.060]   d haircut's a CX that's not pretty slез hi a car's video is it's or was not a幫 is oh i is but the car is Alorsid'tent is a K裝 de is in the bo serve a
[00:02:23.080 --> 00:02:26.100]   fix the car I also inquired with this fix the car I also inquired with this
[00:02:26.100 --> 00:02:27.300]   listener I said other than the listener I said other than the
[00:02:27.300 --> 00:02:29.400]   transmission is the vehicle in good transmission is the vehicle in good
[00:02:29.400 --> 00:02:30.840]   shape and they said yeah otherwise it's shape and they said yeah otherwise it's
[00:02:30.840 --> 00:02:33.180]   in really great shape so how do you in really great shape so how do you
[00:02:33.180 --> 00:02:34.020]   figure this out when you have a massive figure this out when you have a
[00:02:34.020 --> 00:02:38.160]   question well you have to practice zero
[00:02:38.160 --> 00:02:38.160]   question well you have to practice zero
[00:02:38.160 --> 00:02:40.620]   based thinking you have to pretend that
[00:02:40.620 --> 00:02:40.620]   based thinking you have to pretend that
[00:02:40.620 --> 00:02:43.740]   the bad thing that happened is it does
[00:02:43.740 --> 00:02:43.740]   the bad thing that happened is it does
[00:02:43.740 --> 00:02:45.220]   the bad thing that happened is it does not affect it and you have to start
[00:02:45.220 --> 00:02:45.240]   not affect it and you have to start
[00:02:45.240 --> 00:02:47.680]   not affect it and you have to start with a fresh set of data this is one
[00:02:47.680 --> 00:02:47.700]   with a fresh set of data this is one
[00:02:48.500 --> 00:03:14.440]  , and yet one of the most important
[00:03:14.440 --> 00:03:14.440]   ,,and yet one of the most important
[00:03:14.440 --> 00:03:16.360]   ,,and yet one of the most important things to do when making personal
[00:03:16.360 --> 00:03:16.400]   things to do when making personal
[00:03:16.400 --> 00:03:17.560]   ,,and yet one of the most important things to do when making personal
[00:03:17.560 --> 00:03:17.740]   financial decisions this is try to insulate
[00:03:17.760 --> 00:03:17.800]   decisions this is try to insulate
[00:03:17.800 --> 00:03:19.380]   decisions this is try to insulate you have in this situation you have a
[00:03:19.380 --> 00:03:19.400]   you have in this situation you have a
[00:03:19.400 --> 00:03:22.700]   you have in this situation you have a broken car that's worth $1,000 in its
[00:03:22.700 --> 00:03:22.720]   broken car that's worth $1,000 in its
[00:03:22.720 --> 00:03:25.380]   broken car that's worth $1,000 in its current state so your first question is
[00:03:25.380 --> 00:03:25.400]   current state so your first question is
[00:03:25.400 --> 00:03:28.840]   current state so your first question is do you sell it in its broken state or
[00:03:28.840 --> 00:03:28.840]   do you sell it in its broken state or
[00:03:28.840 --> 00:03:33.540]   do you sell it in its broken state or do you fix it well you have a broken car
[00:03:33.540 --> 00:03:33.560]   do you fix it well you have a broken car
[00:03:33.560 --> 00:03:36.700]   do you fix it well you have a broken car that's worth $1,000 if you can spend
[00:03:36.700 --> 00:03:36.720]   that's worth $1,000 if you can spend
[00:03:36.740 --> 00:03:58.680]   $1,000 if you can spend $2,500 on fixing it you should be able to sell
[00:03:58.680 --> 00:03:58.700]   $2,500 on fixing it you should be able to sell
[00:03:58.700 --> 00:04:02.640]   $2,500 on fixing it you should be able to sell it for $5,000 in the open market $1,000 plus
[00:04:02.640 --> 00:04:02.660]   it for $5,000 in the open market $1,000 plus
[00:04:02.660 --> 00:04:06.740]   it for $5,000 in the open market $1,000 plus $2,500 equals $3,500 so if we rephrase
[00:04:06.740 --> 00:04:06.740]   $2,500 equals $3,500 so if we rephrase
[00:04:06.740 --> 00:04:06.740]   $2,500 equals $3,500 so if we rephrase the numbers and I ask you the question this way it
[00:04:06.740 --> 00:04:36.760]   the numbers and I ask you the question this way it
[00:04:36.760 --> 00:04:36.760]   the numbers and I ask you the question this way it is a good investment for me to make
[00:04:36.800 --> 00:05:06.780]   it is a good investment for me to make
[00:05:06.780 --> 00:05:06.780]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:06.780 --> 00:05:06.780]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:06.780 --> 00:05:06.780]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:06.780 --> 00:05:06.780]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:06.780 --> 00:05:06.780]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:06.780 --> 00:05:06.780]   the numbers and I ask you the questions this way it is a good investment for me to make
[00:05:06.800 --> 00:05:36.800]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:36.800 --> 00:05:36.800]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:36.800 --> 00:05:36.800]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:36.800 --> 00:05:36.800]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:36.800 --> 00:05:36.800]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:36.800 --> 00:05:36.800]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:36.800 --> 00:05:36.800]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:36.800 --> 00:05:36.800]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:36.800 --> 00:05:36.800]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:36.800 --> 00:05:36.800]   the numbers and I ask you the question this way it is a good investment for me to make
[00:05:36.800 --> 00:06:06.820]  ,
[00:06:06.820 --> 00:06:06.820]   I ask you the question this way it is a good investment for me to make
[00:06:06.820 --> 00:06:06.820]   I ask you the question this way it is a good investment for me to make
[00:06:06.820 --> 00:06:06.820]   I ask you the question this way it is a good investment for me to make
[00:06:06.820 --> 00:06:06.820]   I ask you the question this way it is a good investment for me to make
