
[00:00:00.000 --> 00:00:05.200]   With Kroger Brand products from Ralphs, you can make all your favorite things this holiday season.
[00:00:05.200 --> 00:00:09.800]   Because Kroger Brand's proven quality products come at exceptionally low prices.
[00:00:09.800 --> 00:00:14.800]   And with a money-back quality guarantee, every dish is sure to be a favorite.
[00:00:14.800 --> 00:00:18.000]   ♪ These are a few of my favorite things ♪
[00:00:18.000 --> 00:00:24.800]   Whether you shop delivery, pickup, or in-store, Kroger Brand has all your favorite things.
[00:00:24.800 --> 00:00:27.300]   Ralphs. Fresh for everyone.
[00:00:28.100 --> 00:00:35.100]   Do you get at least five cents of value from each and every episode of Radical Personal Finance?
[00:00:35.100 --> 00:00:44.100]   If so, consider coming to RadicalPersonalFinance.com/patron and signing up to support the show at a dollar per month.
[00:00:44.100 --> 00:00:50.100]   That's the minimum level of patronage, and thank you for the 31 of you who support the show in that way.
[00:00:50.100 --> 00:00:57.300]   In exchange for a dollar a month, you get access to a 20-minute video presentation I put together called "The Framework for Wealth,"
[00:00:57.300 --> 00:01:01.800]   exclusive behind-the-scenes access on the patron-only activity feed,
[00:01:01.800 --> 00:01:07.300]   and also first dibs and discounts on new courses and products that I'll be developing in the future.
[00:01:07.300 --> 00:01:10.300]   To each and every one of you who support the show, thank you.
[00:01:10.300 --> 00:01:15.300]   And if you'd like to support the show, come to RadicalPersonalFinance.com/patron.
[00:01:17.300 --> 00:01:22.300]   Today we're going to dig into something that I hope will be very helpful to you.
[00:01:22.300 --> 00:01:24.300]   And here's the question.
[00:01:24.300 --> 00:01:33.300]   Is there anything in your life which, knowing what you now know, you wouldn't get into again today if you had to do it over?
[00:01:33.300 --> 00:01:37.300]   Chew on that for a moment.
[00:01:37.300 --> 00:01:53.300]   [Music]
[00:01:53.300 --> 00:01:55.300]   Welcome to the Radical Personal Finance podcast.
[00:01:55.300 --> 00:01:57.300]   My name is Joshua Sheets, and I'm your host.
[00:01:57.300 --> 00:01:59.300]   Thank you for being here.
[00:01:59.300 --> 00:02:02.300]   Today we talk about zero-based thinking.
[00:02:02.300 --> 00:02:08.300]   You could probably shut the show off right now if you got that question and grasped the importance of it.
[00:02:08.300 --> 00:02:13.300]   But I'm going to spend at least a few minutes pulling that apart, unpacking it,
[00:02:13.300 --> 00:02:18.300]   and giving you some ideas for how to apply zero-based thinking to your own life.
[00:02:18.300 --> 00:02:25.300]   [Music]
[00:02:25.300 --> 00:02:36.300]   The primary meaning behind this concept and behind today's show is to give you a useful question to try to sort out what's important to you and what's not important to you.
[00:02:36.300 --> 00:02:41.300]   That's one of the biggest challenges that we have because once we get clarity on exactly what we want,
[00:02:41.300 --> 00:02:46.300]   then we're able to put a plan in place and start working that plan day by day.
[00:02:46.300 --> 00:02:53.300]   But a lot of times it's more challenging to gain clarity than perhaps we think it should be.
[00:02:53.300 --> 00:03:00.300]   I've been thinking a lot about investing over the weekend, and I was thinking about some of the answers on last week's show I did on the Q&A shows.
[00:03:00.300 --> 00:03:12.300]   I talked about how with some of the decisions and changes that I've made after many years of one method of investing, I'm making changes and moving in a new direction.
[00:03:12.300 --> 00:03:21.300]   I know that at least for me as I'm thinking through decisions like that, I don't enter into them hastily.
[00:03:21.300 --> 00:03:27.300]   I take my time and I think about things, but it is important to me to always ask myself that question.
[00:03:27.300 --> 00:03:35.300]   Is there anything in my life that knowing what I now know that I wouldn't get into again today if I were going to do it over again?
[00:03:35.300 --> 00:03:44.300]   Is there any investment that I've made which if knowing what I now know I were going to do it over again that I wouldn't choose to do it over again?
[00:03:44.300 --> 00:03:58.300]   And if the answer to that question is no – excuse me, if the answer is yes, meaning that there is something that knowing what I now know I wouldn't do over again, then I need to work on figuring out how to get out as fast as I can.
[00:03:58.300 --> 00:04:03.300]   And that is the zero-based thinking question.
[00:04:03.300 --> 00:04:10.300]   I learned this years ago from Brian Tracy, and for years it's been a question that I've continually thought of.
[00:04:10.300 --> 00:04:25.300]   And I warn you now, if you start applying this to your life, it's extremely challenging and it can be extremely emotional as far as how to apply it because it'll expose certain things in your life that you may or may not be ready to have exposed.
[00:04:25.300 --> 00:04:35.300]   What it should do is help us to avoid the emotional impact of what some psychologists might call the sunk cost fallacy.
[00:04:35.300 --> 00:04:45.300]   The concept of sunk cost is – comes primarily from a market – excuse me, an accounting term, meaning that we've made an investment that we'll never get out.
[00:04:45.300 --> 00:04:55.300]   Example would be let's say that you've spent years promoting – paying for advertising for a certain brand that is part of your company's portfolio.
[00:04:55.300 --> 00:04:59.300]   Well, if that – that's advertising that you'll never get back.
[00:04:59.300 --> 00:05:02.300]   There's no ability to sell an asset and get it back.
[00:05:02.300 --> 00:05:08.300]   You can't – it's not like you've purchased a piece of equipment that now you have a certain amount of residual value there.
[00:05:08.300 --> 00:05:10.300]   It's done. It's gone.
[00:05:10.300 --> 00:05:13.300]   So from the basis of planning, it's a sunk cost.
[00:05:13.300 --> 00:05:17.300]   It's a cost that – an investment that you'll never get back.
[00:05:17.300 --> 00:05:32.300]   And investments of money, it sometimes are sunk costs and sometimes they're not.
[00:05:32.300 --> 00:05:33.300]   But investments of time and investments of emotion are almost always sunk costs.
[00:05:33.300 --> 00:05:38.300]   No matter how much we'd like to go back and get them back, we can't.
[00:05:38.300 --> 00:05:46.300]   Now, the fallacy associated with sunk costs is if we allow those sunk costs to affect our decision-making.
[00:05:46.300 --> 00:05:51.300]   So if we've gone down a certain course of action and then we've realized that, "Wait a second.
[00:05:51.300 --> 00:05:56.300]   This course of action isn't for me," that's the time to change.
[00:05:56.300 --> 00:06:03.300]   But too often we feel like, "Well, I'm too far committed and so therefore I can't change."
[00:06:03.300 --> 00:06:06.300]   Now, often the lines are a little bit blurred.
[00:06:06.300 --> 00:06:11.300]   So don't look too hard at any specific example until you've grasped the entirety of what I have to share today.
[00:06:11.300 --> 00:06:13.300]   But think about something like this.
[00:06:13.300 --> 00:06:16.300]   Let's say that you've invested years into an accounting career.
[00:06:16.300 --> 00:06:18.300]   Let's pick on accounting.
[00:06:18.300 --> 00:06:23.300]   You've put years into it and all of a sudden you found out that – and you've just realized that, "You know what?
[00:06:23.300 --> 00:06:28.300]   If I had to do this over again, I would not pursue a career in accounting."
[00:06:28.300 --> 00:06:34.300]   It's a hard thing for most of us to recognize.
[00:06:34.300 --> 00:06:39.300]   But if you get to that point and you recognize that, "If I had to do this over again,
[00:06:39.300 --> 00:06:51.300]   I wouldn't do this knowing what I now know," then you need to start figuring out, "How do I get out and how fast can I get out?"
[00:06:51.300 --> 00:06:57.300]   If we allow those sunk costs to affect our decision-making, we might not make the best decision.
[00:06:57.300 --> 00:07:07.300]   I often see this happen in car buying or probably more specifically choosing whether to repair a car versus getting a new car.
[00:07:07.300 --> 00:07:10.300]   Here would be a good example from my recent life.
[00:07:10.300 --> 00:07:13.300]   This happened I think about six months ago, something like that.
[00:07:13.300 --> 00:07:16.300]   I had some – my wife and I, we had some problems.
[00:07:16.300 --> 00:07:19.300]   We had some electrical issues with our minivan.
[00:07:19.300 --> 00:07:27.300]   The issues were this very strange phantom electrical problem that wasn't consistent.
[00:07:27.300 --> 00:07:30.300]   It was extremely intermittent.
[00:07:30.300 --> 00:07:33.300]   We had almost no ability to predict exactly when it was going to happen.
[00:07:33.300 --> 00:07:39.300]   So I took it to various mechanics and some electrical specialists and unfortunately, we couldn't get this thing diagnosed.
[00:07:39.300 --> 00:07:41.300]   The symptoms were a little bit strange.
[00:07:41.300 --> 00:07:46.300]   From time to time, we'd be driving down the road and all of a sudden the car would just lock and unlock itself.
[00:07:46.300 --> 00:07:53.300]   One time, it would just be sitting out in the driveway and then the driver's side window would roll itself down.
[00:07:53.300 --> 00:07:55.300]   Car is off. No one is in it.
[00:07:55.300 --> 00:08:01.300]   It just has this weird gremlin in the vehicle somehow that's affecting the electrical system.
[00:08:01.300 --> 00:08:04.300]   We couldn't get it fixed.
[00:08:04.300 --> 00:08:11.300]   Well, we also had – over time, we figured out that there was some kind of weird phantom load in the electrical system,
[00:08:11.300 --> 00:08:13.300]   some kind of probably a shorting system.
[00:08:13.300 --> 00:08:17.300]   We had some problems with ultimately the car not starting.
[00:08:17.300 --> 00:08:22.300]   So I went through and the battery needed to be replaced, was able to replace that.
[00:08:22.300 --> 00:08:26.300]   Then we wound up replacing the starter and the alternator.
[00:08:26.300 --> 00:08:28.300]   We had gone through the whole diagnosis problem.
[00:08:28.300 --> 00:08:33.300]   I won't go into the details but we wound up replacing the alternator and the starter.
[00:08:33.300 --> 00:08:39.300]   Well, then sometime later, a few weeks later, one morning I go out, start the car and it starts
[00:08:39.300 --> 00:08:45.300]   and then all of a sudden there's a horrible squealing noise and then kaput, nothing.
[00:08:45.300 --> 00:08:51.300]   So we start looking through this scenario and we figure out what had happened.
[00:08:51.300 --> 00:08:58.300]   Ultimately, we figured out that a piece of the housing on the side of the engine had broken off, this piece of aluminum.
[00:08:58.300 --> 00:09:06.300]   It was a very expensive piece of aluminum and the whole engine had to come out of the car for it to be fixed.
[00:09:06.300 --> 00:09:10.300]   It was going to be about a $2,500 repair.
[00:09:10.300 --> 00:09:16.300]   That's a lot of repair cost for a not very expensive car.
[00:09:16.300 --> 00:09:24.300]   The temptation is to start adding up the total cost of all of the repairs and to say, "Well, I spent this and I spent that.
[00:09:24.300 --> 00:09:26.300]   I spent this other thing as well."
[00:09:26.300 --> 00:09:31.300]   It's so easy to just start to think about, "Man, I spent all this money on this car.
[00:09:31.300 --> 00:09:34.300]   Do I have to make one more repair?"
[00:09:34.300 --> 00:09:41.300]   The problem is you can't think about the past repairs when you're making a new repair decision.
[00:09:41.300 --> 00:09:46.300]   You have to ignore the previous repairs because those don't matter at that point in time.
[00:09:46.300 --> 00:09:56.300]   Now, we'll talk probably another time about thinking through that decision but the key is not to focus on the money that's been put into the repair.
[00:09:56.300 --> 00:10:00.300]   That's done. It's gone. It's spent. It's not coming out again.
[00:10:00.300 --> 00:10:09.300]   It's a sunk cost but to think about and predict the future condition of the car if you take and actually complete this repair.
[00:10:09.300 --> 00:10:16.300]   So in my case, if the car were fixed for $2,500, the question was, "Would I buy it again?"
[00:10:16.300 --> 00:10:22.300]   And I decided that, yes, I would buy it again and so I needed to follow through and fix it.
[00:10:22.300 --> 00:10:28.300]   Now, I lead off with that example because it's an example that's probably happened to all of us.
[00:10:28.300 --> 00:10:35.300]   It's also an example that can trigger a very difficult and hard to recover from financial mistake.
[00:10:35.300 --> 00:10:39.300]   What's the old joke that most car accidents happen on the showroom floor?
[00:10:39.300 --> 00:10:45.300]   I think that's changing as our culture becomes less car-centric but for most of us, it really does happen.
[00:10:45.300 --> 00:10:54.300]   You start to just be facing that issue of repair after repair and you say, "Man, I got to go and fix this thing," and you wind up going out and buying a new car out of frustration.
[00:10:54.300 --> 00:11:01.300]   And so learning how to deal with the emotion and recognize the fallacies of thought is an important concept.
[00:11:01.300 --> 00:11:07.300]   So that's why I start with the car repair. But perhaps an example of investing might be a little bit easier.
[00:11:07.300 --> 00:11:11.300]   One way to think about investing, let's assume that you're investing in individual stocks.
[00:11:11.300 --> 00:11:15.300]   Mutual funds is fine or any investment really can work it out.
[00:11:15.300 --> 00:11:26.300]   One useful mental process is to imagine every single night that somebody comes through and wipes out your account and all the money – and the stock is sold and your account has money in it.
[00:11:26.300 --> 00:11:39.300]   Now, the question is the next day, would you go ahead and buy the stock that you now own again when at midnight the account was wiped clean and you just had cash in the account?
