
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:00:03.240 --> 00:00:11.880]   - Welcome to another episode of Curious Mike.
[00:00:11.880 --> 00:00:13.240]   I'm here with Judah Smith.
[00:00:13.240 --> 00:00:14.560]   I call him the GOAT.
[00:00:14.560 --> 00:00:17.300]   What's good with you, bro?
[00:00:17.300 --> 00:00:18.140]   - So good.
[00:00:18.140 --> 00:00:19.260]   I'm so excited to be doing this.
[00:00:19.260 --> 00:00:20.600]   We've been talking about it for a while.
[00:00:20.600 --> 00:00:23.680]   Your haircut looks absolutely sensational right now.
[00:00:23.680 --> 00:00:25.040]   - Stop, bro.
[00:00:25.040 --> 00:00:27.480]   Man, my first question for you is,
[00:00:27.480 --> 00:00:28.760]   so like I tell you this all the time,
[00:00:28.760 --> 00:00:31.600]   you're one of the most humble and good human beings
[00:00:31.600 --> 00:00:32.440]   that I know.
[00:00:32.440 --> 00:00:33.260]   - Thank you for saying that.
[00:00:33.260 --> 00:00:34.520]   - But you're kind of a big deal.
[00:00:34.520 --> 00:00:36.800]   Like you're a pastor in this big church.
[00:00:36.800 --> 00:00:38.960]   You know, you have a huge following,
[00:00:38.960 --> 00:00:40.440]   but it didn't always start out like that.
[00:00:40.440 --> 00:00:42.840]   Like it didn't, you know,
[00:00:42.840 --> 00:00:44.960]   I want to know if you always envisioned it
[00:00:44.960 --> 00:00:46.760]   being as big as it is now,
[00:00:46.760 --> 00:00:50.900]   or did it just kind of come naturally?
[00:00:50.900 --> 00:00:55.900]   - Yeah, I think of course the right answer is no, I didn't,
[00:00:55.900 --> 00:00:57.120]   but it's actually true.
[00:00:57.120 --> 00:00:58.920]   Like I think I always had a sense
[00:00:58.920 --> 00:01:01.120]   that I wanted to make a big difference in people's lives,
[00:01:01.120 --> 00:01:03.740]   and I just enjoyed making people feel happy,
[00:01:03.740 --> 00:01:06.560]   feel like they could do what God put in them to do,
[00:01:06.560 --> 00:01:07.720]   and the dreams that are in them.
[00:01:07.720 --> 00:01:09.800]   And so one of our models in our family
[00:01:09.800 --> 00:01:12.240]   is we want to make people feel like they can fly.
[00:01:12.240 --> 00:01:14.240]   And there's a lot of ways to do that.
[00:01:14.240 --> 00:01:15.760]   Thank you, that's nice.
[00:01:15.760 --> 00:01:18.080]   And I have to credit Michael Jordan, come fly with me.
[00:01:18.080 --> 00:01:20.900]   Like, Judah, that's not related, you know?
[00:01:20.900 --> 00:01:23.560]   But I watched that a hundred million times.
[00:01:23.560 --> 00:01:27.000]   But yeah, man, I just wanted to serve people
[00:01:27.000 --> 00:01:29.800]   and to be honest, I wanted to be a youth pastor
[00:01:29.800 --> 00:01:31.520]   for my whole life, that was the goal.
[00:01:31.520 --> 00:01:33.720]   And then stuff happened with my dad and his health,
[00:01:33.720 --> 00:01:36.320]   and so I kind of got tricked into the lead pastor thing.
[00:01:36.320 --> 00:01:39.080]   But hanging out with young guys like you
[00:01:39.080 --> 00:01:43.000]   is still probably the funnest part of what I get to do.
[00:01:43.000 --> 00:01:46.120]   - My God, do you enjoy it?
[00:01:46.120 --> 00:01:49.100]   Like, is this what you wanted to be doing?
[00:01:49.100 --> 00:01:50.040]   And like, do you enjoy it?
[00:01:50.040 --> 00:01:52.120]   Or does it get sometimes like,
[00:01:52.120 --> 00:01:54.080]   you just wish you could live a different life?
[00:01:54.080 --> 00:01:55.120]   Or is this like everything?
[00:01:55.120 --> 00:01:57.120]   - Yeah, I think probably like all of us, right?
[00:01:57.120 --> 00:01:58.240]   You have those moments where you're like,
[00:01:58.240 --> 00:02:00.720]   "Man, I kind of wish I did something else."
[00:02:00.720 --> 00:02:04.120]   But then you kind of wake up and go,
[00:02:04.120 --> 00:02:06.720]   "Actually, this is the best life ever."
[00:02:06.720 --> 00:02:09.160]   I will say that some of the collateral
[00:02:09.160 --> 00:02:13.060]   that comes with being a public pastor
