
[00:00:00.000 --> 00:00:19.200]   Maybe to set the stage a little bit, the last four or five years of AI have basically been
[00:00:19.200 --> 00:00:25.920]   really focused on this idea of batch intelligence, which is sort of pretty core to this idea of
[00:00:25.920 --> 00:00:31.600]   building like an AI system that can reason for long periods of time on a problem and then solve it.
[00:00:31.600 --> 00:00:35.120]   So you can think about like math problems or, you know, physics problems that are hard.
[00:00:35.120 --> 00:00:40.320]   There's a lot of applications where actually what you need are systems that are streaming.
[00:00:40.320 --> 00:00:47.200]   So they're real time. They work instantly. So imagine generating video, audio, or doing like
[00:00:47.200 --> 00:00:53.360]   understanding applications on sensor streams, et cetera. So it sort of bifurcates where there's
[00:00:53.360 --> 00:00:58.400]   these two different types of applications, similar to how there's, you know, generally this idea of
[00:00:58.400 --> 00:01:03.760]   having batch workloads and streaming workloads. And so a lot of what we've seen over the last few years
[00:01:03.760 --> 00:01:09.120]   has really been focused on batch APIs where you call a model in the cloud, it takes a few seconds,
[00:01:09.120 --> 00:01:15.040]   and then you get a pretty good response back. And now we're seeing some shift towards more real-time
[00:01:15.040 --> 00:01:21.920]   applications where you constantly will be querying a model and asking it to return responses at low
[00:01:21.920 --> 00:01:26.720]   latency and then using that to sort of interpret or generate information.
[00:01:26.720 --> 00:01:33.680]   And I think this, you know, this area is really exciting because it's going to be transformative to
[00:01:33.680 --> 00:01:41.280]   a lot of interesting applications that have so far actually not necessarily been the main focus for a
[00:01:41.280 --> 00:01:46.240]   lot of what we've seen over the last few years. So conversational voice is an example of this where you
[00:01:46.240 --> 00:01:51.280]   should be able to interact with the system and then talk to it, and it should be able to understand you
[00:01:51.280 --> 00:01:58.000]   and do all kinds of tasks on your behalf. This is similar to having assistants that are on device and run
[00:01:58.000 --> 00:02:05.360]   kind of really efficiently at low power at, you know, all times, regardless of whether you're on a phone or a laptop.
[00:02:05.360 --> 00:02:10.320]   And then things like world generation where, like, you can imagine actually playing a game that is
[00:02:10.320 --> 00:02:18.000]   generated in real time, similar to how the graphics are rendered on GPUs. And all of this, you know,
[00:02:18.000 --> 00:02:26.640]   should be able to happen in real time, on low power, on your phone, on your MacBook, et cetera. Robotics is
[00:02:26.640 --> 00:02:31.760]   another great example where it sort of culminates with all of these coming together on a single
[00:02:31.760 --> 00:02:38.400]   device that is trying to kind of interpret everything in the world. And so I think this is
[00:02:38.400 --> 00:02:43.520]   sort of the exciting intersection, which is, like, how do we make intelligence faster and cheaper so that
[00:02:43.520 --> 00:02:49.840]   we can put it everywhere, basically. And a couple of examples that are really powerful, real-time
[00:02:49.840 --> 00:02:55.040]   intelligence for conversational interfaces is going to be really interesting because you would be able to
[00:02:55.040 --> 00:03:00.320]   have an agent that can provide customer support for a problem, answer questions about health insurance,
[00:03:00.320 --> 00:03:07.040]   you know, call your vendor to pick up a shipment. All these coordination tasks that generally are
[00:03:07.040 --> 00:03:13.600]   annoying to do should be really automated and real-time intelligent agents should be doing them.
[00:03:13.600 --> 00:03:18.320]   And then humans can spend their time solving sort of harder problems that are more interesting. And
[00:03:18.320 --> 00:03:23.360]   in customer support, that could be dealing with, you know, the tail customers that are much more important
[00:03:23.360 --> 00:03:29.280]   because they're pissed off or they're more important because they have, you know, more customer value,
[00:03:29.280 --> 00:03:35.360]   et cetera. And similarly in robotics, there's this idea of, like, ingesting similar to humans, like audio,
[00:03:35.360 --> 00:03:40.960]   video, sensor data, and then responding instantly to a lot of these pieces of information. So I think
[00:03:40.960 --> 00:03:45.520]   this is sort of the world we should be living in where all of these intelligent models run super fast.
[00:03:45.520 --> 00:03:54.480]   they saw all these different problems and they're able to really kind of power these new experiences that are interactive at their core.
[00:03:54.480 --> 00:04:02.800]   So this is where we come in. We're building these real-time foundation models. So some of what I'll talk about is
[00:04:02.800 --> 00:04:10.720]   the work we've done in really building kind of new ideas for how you can create deep learning models. So
[00:04:11.920 --> 00:04:16.800]   I did my PhD before this. I was working with a lot of these folks for my PhD. Chris was our PhD advisor.
[00:04:16.800 --> 00:04:22.400]   And we were really focused on this idea that you should be able to have a model that can compress
[00:04:22.400 --> 00:04:30.240]   information as it comes into the model and use that to really kind of build powerful systems that are streaming at their core.
[00:04:30.240 --> 00:04:36.000]   And I'll talk a little bit about this, but that's really the technology that we've been working with for the last four or five years.
[00:04:36.000 --> 00:04:40.960]   We've been developing academia and some of you might have heard of things like Mamba, which is sort of a
