
[00:00:00.000 --> 00:00:06.020]   [ Silence ]
[00:00:06.020 --> 00:00:11.480]   During our last class period together, we began talking
[00:00:11.480 --> 00:00:16.200]   about some of the questions that could be asked
[00:00:16.200 --> 00:00:20.840]   in gathering good information, gathering good data,
[00:00:20.840 --> 00:00:24.960]   asking appropriate questions, listening carefully.
[00:00:24.960 --> 00:00:28.880]   And we gave you some examples from a problem-centered approach
[00:00:28.880 --> 00:00:31.840]   and that is questions, the whole series of questions
[00:00:31.840 --> 00:00:34.960]   that are zeroed around particular problems
[00:00:34.960 --> 00:00:40.440]   that husbands and wives have and that they face.
[00:00:40.440 --> 00:00:43.200]   Now, we're transitioning to questions
[00:00:43.200 --> 00:00:46.220]   of more positive perspective.
[00:00:46.220 --> 00:00:48.320]   And let's take a look at a few of these.
[00:00:48.320 --> 00:00:51.120]   These are very helpful in counseling as well.
[00:00:51.120 --> 00:00:56.440]   What ways do you seek to show that you care or love
[00:00:56.440 --> 00:01:01.520]   or appreciate your spouse or that other member
[00:01:01.520 --> 00:01:03.240]   of the family, your parents,
[00:01:03.240 --> 00:01:05.760]   if you were addressing the children, or your children
[00:01:05.760 --> 00:01:07.560]   if you're addressing the parents.
[00:01:07.560 --> 00:01:13.280]   What ways do you seek to show that you care, you love,
[00:01:13.280 --> 00:01:16.280]   and you appreciate that particular person?
[00:01:16.280 --> 00:01:18.320]   This is also a good question if you have parents
[00:01:18.320 --> 00:01:20.280]   who are favoring one child over another.
[00:01:20.280 --> 00:01:22.720]   And that happens frequently.
[00:01:22.720 --> 00:01:24.880]   The child that's not being favored,
[00:01:24.880 --> 00:01:28.920]   and what ways do you seek to show that you really favor
[00:01:28.920 --> 00:01:33.280]   or at least love that person?
[00:01:33.280 --> 00:01:36.360]   Well, let's go back to the marriage.
[00:01:36.360 --> 00:01:39.880]   Then what attracted you to your spouse is another question.
[00:01:39.880 --> 00:01:41.360]   What were some of the things that attracted you?
[00:01:41.360 --> 00:01:43.720]   I mean, at this particular point in your marriage,
[00:01:43.720 --> 00:01:45.680]   maybe all you see is that which is negative.
[00:01:45.680 --> 00:01:49.320]   You see all the negative things that's going on in their life
[00:01:49.320 --> 00:01:51.160]   and that's repulsive to you.
[00:01:51.160 --> 00:01:52.960]   So you have a difficulty respecting them
[00:01:52.960 --> 00:01:55.160]   and you have a difficulty loving them.
[00:01:55.160 --> 00:01:58.560]   And I think we've talked about a little bit how respect
[00:01:58.560 --> 00:02:02.040]   in romantic love, this is only in romantic love,
[00:02:02.040 --> 00:02:04.680]   respect always precedes love.
