
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:30.000]   Have you ever read those news articles that
[00:00:30.000 --> 00:00:33.000]   talk about how much money it takes to raise a child?
[00:00:33.000 --> 00:00:34.000]   [CHUCKLES]
[00:00:34.000 --> 00:00:37.000]   How much babies cost, and therefore, why they're so
[00:00:37.000 --> 00:00:39.000]   expensive that you shouldn't even consider?
[00:00:39.000 --> 00:00:41.000]   Well, today, we're going to bust those myths.
[00:00:41.000 --> 00:00:44.000]   And I have brought a very special guest
[00:00:44.000 --> 00:00:46.000]   onto the program to help me do it.
[00:00:46.000 --> 00:00:49.000]   Today, you're going to meet Mrs. Radical Personal Finance
[00:00:49.000 --> 00:00:50.000]   herself.
[00:00:50.000 --> 00:00:53.000]   [MUSIC PLAYING]
[00:00:54.000 --> 00:00:57.000]   [MUSIC PLAYING]
[00:00:57.000 --> 00:01:10.000]   Welcome to the Radical Personal Finance podcast.
[00:01:10.000 --> 00:01:11.000]   My name is Joshua Sheets.
[00:01:11.000 --> 00:01:15.000]   Today is Monday, November 3, 2014.
[00:01:15.000 --> 00:01:17.000]   This is episode 94 of the show.
[00:01:17.000 --> 00:01:20.000]   Today, we're going to be talking about ideas and methods
[00:01:20.000 --> 00:01:22.000]   for saving money for babies.
[00:01:22.000 --> 00:01:26.000]   How do you actually cut out some of the massive expenses
[00:01:26.000 --> 00:01:29.000]   and possibly even maintain a better quality of living?
[00:01:29.000 --> 00:01:32.000]   [MUSIC PLAYING]
[00:01:32.000 --> 00:01:42.000]   And like I said in the introduction,
[00:01:42.000 --> 00:01:44.000]   today, many of you have wondered about her,
[00:01:44.000 --> 00:01:46.000]   whether she really exists or whether I made her up.
[00:01:46.000 --> 00:01:49.000]   And today, you are going to actually get a chance
[00:01:49.000 --> 00:01:52.000]   to meet Mrs. Radical Personal Finance podcast herself.
[00:01:52.000 --> 00:01:54.000]   Real quick before I introduce her, though,
[00:01:54.000 --> 00:01:57.000]   she is sitting right here ready to go, live and in person.
[00:01:57.000 --> 00:02:00.000]   But before I do, I wanted to just make a quick note for you.
[00:02:00.000 --> 00:02:02.000]   I forgot to mention on Friday's show,
[00:02:02.000 --> 00:02:06.000]   I did an interview last week for the Family Adventure podcast.
[00:02:06.000 --> 00:02:09.000]   If you are interested in hearing me talk with Eric Hemingway
[00:02:09.000 --> 00:02:14.000]   about some of the ideas and the methodologies for basically
[00:02:14.000 --> 00:02:19.000]   ways to save money on travel and save money for travel,
[00:02:19.000 --> 00:02:21.000]   he took our interview and he's releasing it
[00:02:21.000 --> 00:02:22.000]   in two different shows.
[00:02:22.000 --> 00:02:25.000]   The first show is a lot about some of the inspiration
[00:02:25.000 --> 00:02:28.000]   and the ideas that's already been released on his site.
[00:02:28.000 --> 00:02:30.000]   And then next week, he'll be releasing some of the tips
[00:02:30.000 --> 00:02:32.000]   and tools and tactics specifically
