
[00:00:00.000 --> 00:00:15.680]   Welcome to the
[00:00:15.680 --> 00:00:18.720]   Radical Personal Finance, a show dedicated to providing you with the knowledge, skills,
[00:00:18.720 --> 00:00:22.560]   insight and encouragement you need to live a rich and meaningful life now, while building
[00:00:22.560 --> 00:00:24.880]   a plan for financial freedom in 10 years or less.
[00:00:24.880 --> 00:00:32.040]   My name is Joshua and today we're going to talk about the power of beta.
[00:00:32.040 --> 00:00:35.560]   Let me quickly clarify what I mean.
[00:00:35.560 --> 00:00:46.960]   Put very simply, if you can observe some large-scale macro trends and then align yourself, perhaps
[00:00:46.960 --> 00:00:53.520]   your career, perhaps your investments and your assets in line with those trends, then
[00:00:53.520 --> 00:00:59.440]   I'm convinced that you can win even if you don't happen to be the smartest person in
[00:00:59.440 --> 00:01:01.520]   the room.
[00:01:01.520 --> 00:01:08.360]   You just simply need to observe and align yourself with some trends and then get some
[00:01:08.360 --> 00:01:11.280]   big-picture decisions right.
[00:01:11.280 --> 00:01:16.560]   Now let's first begin with a discussion of alpha and beta.
[00:01:16.560 --> 00:01:21.720]   I'm going to use these terms in a way that they don't specifically mean, but I'm drawing
[00:01:21.720 --> 00:01:30.280]   inspiration from what they mean in the marketplace of stock research and stock investing.
[00:01:30.280 --> 00:01:37.840]   Usually when you talk about investing, the term beta is a measure of volatility of a
[00:01:37.840 --> 00:01:42.740]   particular investment, the ups and downs, the volatility of an investment relative to
[00:01:42.740 --> 00:01:44.740]   a benchmark.
[00:01:44.740 --> 00:01:51.480]   And so what beta does is it measures the systematic risk of a specific security or a specific
[00:01:51.480 --> 00:01:59.360]   portfolio when compared to an index, like say example, the S&P 500.
[00:01:59.360 --> 00:02:00.960]   That's what beta is.
[00:02:00.960 --> 00:02:04.160]   What's most interesting in your mind is to think about it in terms of alpha.
[00:02:04.160 --> 00:02:05.160]   What is alpha?
[00:02:05.160 --> 00:02:12.640]   Well, alpha is generally understood in stock investing to be the excess return of a particular
[00:02:12.640 --> 00:02:21.240]   stock or a particular mutual fund or a particular portfolio as compared to the general marketplace.
[00:02:21.240 --> 00:02:26.680]   Now, that's what they mean in investing terms, but I'm going to just take inspiration from
[00:02:26.680 --> 00:02:30.200]   that and not try to talk about this in a technical sense.
[00:02:30.200 --> 00:02:35.120]   I'm going to analogize these terms alpha and beta and apply them in a very broad sense.
[00:02:35.120 --> 00:02:40.600]   Just note that from here going forward, these answers are not going to be correct on a CFA
[00:02:40.600 --> 00:02:41.600]   exam.
[00:02:41.600 --> 00:02:47.240]   I want to simply take these terms as inspiration to talk about this concept.
[00:02:47.240 --> 00:02:52.240]   When I think about alpha, I think very simply about outperformance.
[00:02:52.240 --> 00:02:58.760]   I think about finding a star, finding a winner.
[00:02:58.760 --> 00:03:04.080]   In the investment world, when you get alpha, it's because you're just a magical portfolio
[00:03:04.080 --> 00:03:05.080]   manager.
[00:03:05.080 --> 00:03:11.160]   You can come in and you can say, "I know how to pick the very best stock.
[00:03:11.160 --> 00:03:14.160]   I know how to pick the very best company."
[00:03:14.160 --> 00:03:18.760]   Perhaps you go into a marketplace where there are five different packaged goods manufacturers
[00:03:18.760 --> 00:03:23.160]   and you say, "This particular company has a star of a leader.
[00:03:23.160 --> 00:03:27.040]   Because of that star of a leader, I know that this company is going to win."
[00:03:27.040 --> 00:03:31.360]   Perhaps you observe a telecommunications company and you say, "This telecommunications company
[00:03:31.360 --> 00:03:33.440]   has an exciting new technology.
[00:03:33.440 --> 00:03:37.540]   I'm going to come in and I'm going to invest in that telecommunications company because
[00:03:37.540 --> 00:03:39.640]   it's going to be a winner."
[00:03:39.640 --> 00:03:45.360]   The idea is in time you can generate alpha, you can generate outperformance.
[00:03:45.360 --> 00:03:51.120]   In life, we often think of ourselves as needing to generate outperformance.
[00:03:51.120 --> 00:03:57.320]   We often think of ourselves as needing to be the star, needing to have the best of skills,
[00:03:57.320 --> 00:04:02.120]   needing to have the ability to go beyond where other people go.
[00:04:02.120 --> 00:04:06.720]   Now alpha is awesome.
[00:04:06.720 --> 00:04:13.160]   If you can create alpha in your portfolio, you can do very, very well for yourself.
[00:04:13.160 --> 00:04:16.960]   You can make a fortune if you can do it in the investing world.
[00:04:16.960 --> 00:04:23.240]   If you can create alpha in your own life by being a star, you can do very, very well for
[00:04:23.240 --> 00:04:25.240]   yourself.
[00:04:25.240 --> 00:04:30.200]   Unlike perhaps the world of investments, which is maybe challenging for many of us, you can
[00:04:30.200 --> 00:04:32.400]   do this in your career.
[00:04:32.400 --> 00:04:35.880]   You can be the hardest working guy in the room.
[00:04:35.880 --> 00:04:41.240]   You can be the most prepared prior to the important meeting.
[00:04:41.240 --> 00:04:43.280]   You can be the best researcher.
[00:04:43.280 --> 00:04:45.920]   You can be the person that goes the extra mile.
[00:04:45.920 --> 00:04:48.680]   You can be a star employee.
[00:04:48.680 --> 00:04:53.480]   Or you can run a business that does very, very well.
[00:04:53.480 --> 00:04:56.820]   The challenge is this.
[00:04:56.820 --> 00:05:05.440]   If you get alpha right, but you get beta wrong, it's very hard to be successful.
[00:05:05.440 --> 00:05:13.200]   But if you get alpha right and you get beta right, now you have a winning formula.
[00:05:13.200 --> 00:05:16.480]   Again, remember, I'm not using these terms in the CFA sense.
[00:05:16.480 --> 00:05:19.280]   I'm trying to simply drive a concept.
[00:05:19.280 --> 00:05:24.960]   When I think about beta as compared to alpha, I think about the marketplace as a whole.
[00:05:24.960 --> 00:05:29.200]   I think about how is this general market going to do.
[00:05:29.200 --> 00:05:32.360]   What's going to happen with, say, telecommunications?
[00:05:32.360 --> 00:05:35.280]   Or what's going to happen with space travel?
[00:05:35.280 --> 00:05:38.640]   Or what's going to happen with the airline industry?
[00:05:38.640 --> 00:05:42.560]   What's my sense of the market?
[00:05:42.560 --> 00:05:47.320]   And then when I come back and I think about my life, I find even more applications for
