
[00:00:00.000 --> 00:00:05.660]   Humans are by far the hardest part of computer graphics because millions of years of evolution
[00:00:05.660 --> 00:00:12.280]   have given us dedicated brain systems to detect patterns and faces and infer emotions and intent
[00:00:12.280 --> 00:00:17.280]   because cavemen had to, when they see a stranger, determine whether they were likely friendly or
[00:00:17.280 --> 00:00:22.800]   they might be trying to kill them. And so people in the world have extraordinarily detailed
[00:00:22.800 --> 00:00:27.780]   expectations of a face, and we can notice imperfections, especially perfections arising
[00:00:27.780 --> 00:00:33.220]   from computer graphics limitations. Okay, one part is capturing humans, and so they've got really
[00:00:33.220 --> 00:00:39.860]   advanced dedicated hardware that puts a human in a capture sphere with dozens of cameras and them
[00:00:39.860 --> 00:00:43.980]   taking high resolution, high frame rate video of them as they go through a range of motions.
[00:00:43.980 --> 00:00:49.140]   And then capturing the human face is complicated because the nuanced detail of our faces and how
[00:00:49.140 --> 00:00:54.160]   all the muscles and sinews and fat work together to give us different expressions. So it's not only
[00:00:54.160 --> 00:00:58.000]   about the shape of a person's face, but it's also about the entire range of motion that they might
[00:00:58.000 --> 00:01:03.020]   go through. So that's the data problem. There's a lot of other problems of computer graphics. There's
[00:01:03.020 --> 00:01:07.540]   technology for rendering hair, which is really hard because you can't render every... Again, we know the
[00:01:07.540 --> 00:01:11.260]   laws of physics. It would be easy to just render every hair. It would just be a billion times too slow.
[00:01:11.260 --> 00:01:17.920]   So you need approximations that capture the net effect of hair on rendering and on pixels without
[00:01:17.920 --> 00:01:23.820]   calculating every single interaction of every light with every strand of hair. That's one part of it.
[00:01:23.820 --> 00:01:27.980]   There's detailed features for different parts of faces. There's subsurface scattering because
[00:01:27.980 --> 00:01:34.080]   we think of humans as opaque, but really our skin is light travels through it. It's not completely
[00:01:34.080 --> 00:01:38.180]   opaque. And the way in which light travels through skin has a huge impact on our appearance.
[00:01:38.180 --> 00:01:42.140]   And this is why there's no way you can paint a mannequin to look realistic for a human.
[00:01:42.140 --> 00:01:47.980]   You know, it's just a solid surface. And we'll never have the sort of detail you see.
[00:01:48.320 --> 00:01:54.780]   That kind of blew my mind, like thinking through that. I think I heard that sort of the oiliness of
[00:01:54.780 --> 00:02:04.280]   the skin creates very specific, nuanced, complex reflections. And then some light is absorbed and
[00:02:04.280 --> 00:02:10.180]   travels through the skin. And that creates textures that are human eyes able to perceive. And it creates
[00:02:10.180 --> 00:02:17.780]   that it's the thing that we consider human, whatever that is. All of that while considering all the muscles
