
[00:00:00.000 --> 00:00:02.600]   (gentle music)
[00:00:02.600 --> 00:00:04.520]   - This is what I mean when I say the complexity
[00:00:04.520 --> 00:00:05.560]   for a machine learning team
[00:00:05.560 --> 00:00:07.360]   is actually exponentially increasing
[00:00:07.360 --> 00:00:11.040]   is you have to look at these other machine driven ways
[00:00:11.040 --> 00:00:13.360]   to increase the quality of your data
[00:00:13.360 --> 00:00:15.200]   and augment your data sets.
[00:00:15.200 --> 00:00:17.080]   - You're listening to Gradient Dissent,
[00:00:17.080 --> 00:00:19.560]   a show about machine learning in the real world.
[00:00:19.560 --> 00:00:21.560]   And I'm your host, Lucas Biewald.
[00:00:21.560 --> 00:00:26.900]   Jahan is VP of AI Platform and Data Services
[00:00:26.900 --> 00:00:28.600]   at Motorola Solutions,
[00:00:28.600 --> 00:00:31.480]   where he's responsible for a vast number
[00:00:31.480 --> 00:00:33.040]   of machine learning models
[00:00:33.040 --> 00:00:35.160]   in lots of different applications
[00:00:35.160 --> 00:00:36.860]   running live in production.
[00:00:36.860 --> 00:00:39.520]   This is a very practical, useful conversation
[00:00:39.520 --> 00:00:40.720]   and I hope you enjoy it.
[00:00:40.720 --> 00:00:44.280]   You know, I was thinking that probably the place
[00:00:44.280 --> 00:00:48.400]   to start here is actually, you know, what Motorola does.
[00:00:48.400 --> 00:00:49.940]   I feel like Motorola has this like brand
[00:00:49.940 --> 00:00:51.240]   for people my age. - Oh, definitely.
[00:00:51.240 --> 00:00:53.080]   - Making phones. - I was just telling,
[00:00:53.080 --> 00:00:55.600]   I was telling Kelly that actually even strange,
[00:00:55.600 --> 00:00:58.040]   I mean, I started my career actually out of,
[00:00:58.040 --> 00:00:58.920]   when I finished my PhD,
[00:00:58.920 --> 00:01:01.480]   I started actually working at Motorola before,
[00:01:01.480 --> 00:01:02.960]   right around the time the iPhone came out
[00:01:02.960 --> 00:01:05.440]   and I actually worked on mobile devices.
[00:01:05.440 --> 00:01:07.900]   And then after a stint at other companies came back.
[00:01:07.900 --> 00:01:10.520]   So I think like telling people what,
[00:01:10.520 --> 00:01:13.040]   definitely that brand is stuck in people's heads
[00:01:13.040 --> 00:01:15.200]   when they think of Motorola, they think of those things,
[00:01:15.200 --> 00:01:17.360]   which is not what this company does at all.
[00:01:17.360 --> 00:01:19.120]   So. - Right, right.
[00:01:19.120 --> 00:01:19.960]   So why don't we start there?
[00:01:19.960 --> 00:01:23.600]   What are like the key things that your company does?
[00:01:23.600 --> 00:01:26.720]   - Yeah, so Motorola Solutions essentially
[00:01:26.720 --> 00:01:29.800]   is completely focused on the safety and security
[00:01:29.800 --> 00:01:32.680]   of the community and enterprises.
[00:01:32.680 --> 00:01:36.140]   So essentially there are a couple of different segments
[00:01:36.140 --> 00:01:36.980]   of the business.
[00:01:36.980 --> 00:01:40.080]   One focuses on enterprise security and video security,
[00:01:40.080 --> 00:01:41.660]   physical access control.
[00:01:41.660 --> 00:01:43.580]   And then the other focuses on public safety
[00:01:43.580 --> 00:01:44.960]   for first responders.
[00:01:44.960 --> 00:01:47.640]   So essentially, you know, everything from
[00:01:47.640 --> 00:01:51.840]   when a 911 call comes in to dispatch units
[00:01:51.840 --> 00:01:54.880]   and then resolution of the incident and case closure,
[00:01:54.880 --> 00:01:57.600]   that's Motorola Solutions focus.
[00:01:57.600 --> 00:01:59.400]   I think in the public safety space,
[00:01:59.400 --> 00:02:01.680]   we're most well known for our mission critical
[00:02:01.680 --> 00:02:03.080]   communications infrastructure,
[00:02:03.080 --> 00:02:05.720]   which has been something that first responders
[00:02:05.720 --> 00:02:08.480]   have relied on for decades now,
[00:02:08.480 --> 00:02:10.400]   which is, you know, when times get rough,
[00:02:10.400 --> 00:02:12.200]   when you see firefighters, you know,
[00:02:12.200 --> 00:02:14.060]   charging into burning buildings,
[00:02:14.060 --> 00:02:16.120]   the radio is what they really focus on,
[00:02:16.120 --> 00:02:18.920]   especially back when, you know,
[00:02:18.920 --> 00:02:20.680]   communication coverage through broadband
[00:02:20.680 --> 00:02:22.760]   was much more sparse than it is now.
[00:02:22.760 --> 00:02:24.560]   And it's still a huge challenge in many parts
[00:02:24.560 --> 00:02:26.000]   of the world, not just the United States,
[00:02:26.000 --> 00:02:28.040]   but even overseas in the UK.
[00:02:28.040 --> 00:02:32.320]   So in general, that is Motorola Solutions mission
[00:02:32.320 --> 00:02:35.640]   essentially to, you know, provide safety and security
[00:02:35.640 --> 00:02:37.240]   for those two segments.
[00:02:37.240 --> 00:02:39.800]   Essentially it's the same audience.
[00:02:39.800 --> 00:02:41.220]   It's making the community safer,
[00:02:41.220 --> 00:02:44.260]   but in terms of how the product portfolio is situated,
[00:02:44.260 --> 00:02:47.480]   it's basically those two segments of the business.
[00:02:47.480 --> 00:02:48.320]   - Interesting.
[00:02:48.320 --> 00:02:50.640]   And I guess, so how does AI fit into that?
[00:02:50.640 --> 00:02:51.780]   I can think of lots of different ways,
[00:02:51.780 --> 00:02:54.420]   but like practically, you know, what goes on?
[00:02:54.420 --> 00:02:58.080]   This seems like a really high stakes place
[00:02:58.080 --> 00:03:01.080]   to introduce artificial intelligence.
[00:03:01.080 --> 00:03:02.280]   - It definitely is.
[00:03:02.280 --> 00:03:05.480]   And if I thought, if I think about kind of my journey
[00:03:05.480 --> 00:03:06.400]   coming to the company,
[00:03:06.400 --> 00:03:09.360]   I've really worked in consumer most of my career.
