
[00:00:00.000 --> 00:00:03.780]   Hello guys, welcome back to my channel today, we are gonna talk about Mistral
[00:00:03.780 --> 00:00:09.280]   So as you know Mistral is a new language model that came out a few months ago from Mistral AI
[00:00:09.280 --> 00:00:13.720]   Which is a one of the hottest to start up right now in Europe for language models
[00:00:13.720 --> 00:00:18.580]   It also became a unicorn recently and we will exploring both the models
[00:00:18.580 --> 00:00:21.840]   They released the one is the 7 billion and one is the 8 by 7 billion model
[00:00:21.840 --> 00:00:23.960]   So let's review the topics of today
[00:00:23.960 --> 00:00:29.020]   the first thing I will introduce you is the architectural differences between the vanilla transformer and the
[00:00:29.240 --> 00:00:30.920]   architecture of Mistral later
[00:00:30.920 --> 00:00:37.520]   We will see what is the sliding window attention and how it is related to the concept of receptive field a concept that usually we
[00:00:37.520 --> 00:00:39.440]   find in convolutional neural networks
[00:00:39.440 --> 00:00:46.480]   I will briefly review the KB cache because I want to introduce the concept of rolling buffer cache and also how it is done
[00:00:46.480 --> 00:00:48.480]   with the pre-filling and chunking
[00:00:48.480 --> 00:00:54.160]   we will see what is a sparse mixture of experts model sharding with a little
[00:00:54.160 --> 00:00:57.400]   with a very brief introduction with the
[00:00:57.840 --> 00:00:59.840]   pipeline parallelism and
[00:00:59.840 --> 00:01:06.160]   Last but not least we will also go through the code of Mistral because there is a lot of innovations in the code
[00:01:06.160 --> 00:01:09.440]   Especially when they use the Xformers library with the block attention
[00:01:09.440 --> 00:01:16.880]   So I want to guide you into understanding the code because it can be really hard for beginners to understand and find themselves around
[00:01:16.880 --> 00:01:19.880]   There are some topics that are related to Mistral
[00:01:19.880 --> 00:01:25.960]   But will not be covered in this current video because I already covered them in my previous video about Lama and in particular
[00:01:25.960 --> 00:01:31.200]   I will not be talking about the RMS normalization, the rotary positional encoding and the grouped query attention because I already
[00:01:31.200 --> 00:01:34.240]   Teach them in depth in my previous video on Lama
[00:01:34.240 --> 00:01:37.600]   So if you want to know about them, please watch my previous video on Lama
[00:01:37.600 --> 00:01:45.360]   In order the only prerequisite that I hope you have before watching this video because the topics we are going to touch are quite advanced
[00:01:45.360 --> 00:01:48.080]   Is that you are familiar with the transformer model
[00:01:48.080 --> 00:01:54.120]   So if you are not familiar with the transformer model and the attention mechanism in particular and in particular the self attention mechanism
[00:01:54.160 --> 00:02:00.360]   Please go watch my video on the transformer in which I teach all this concept very thoroughly very in detail
[00:02:00.360 --> 00:02:05.720]   These are really a prerequisite for watching this video because the topics here are quite advanced
[00:02:05.720 --> 00:02:08.360]   Okay, let's proceed further
[00:02:08.360 --> 00:02:13.480]   So let's watch the differences between the vanilla transformer and Mistral at the architecture level
[00:02:13.480 --> 00:02:16.200]   as you can see from the
[00:02:16.200 --> 00:02:23.360]   Image here, which I built by myself using the code because they didn't release any architecture picture in the paper
[00:02:24.000 --> 00:02:29.040]   And the architecture of Mistral first of all, let's talk about some terminology
[00:02:29.040 --> 00:02:35.200]   When you have a model like this made up of many encoder layers plus linear and the softmax
[00:02:35.200 --> 00:02:42.840]   We are talking about a decoder only model because this part this model here looks like the decoder of the vanilla
[00:02:42.840 --> 00:02:49.080]   Transformer you can see here except for the cross attention because as you can see here, there is no cross attention
[00:02:49.360 --> 00:02:54.920]   When we have a model without the linear and the softmax we call it an encoder only model
[00:02:54.920 --> 00:03:00.080]   For example BERT is an encoder only model because BERT has some heads at the end
[00:03:00.080 --> 00:03:04.080]   Which is one or more linear layers depending on the application
[00:03:04.080 --> 00:03:08.560]   But itself BERT doesn't need a head because it can be used for multiple downstream tasks
[00:03:08.560 --> 00:03:11.800]   so it's called an encoder only model because it resembles the
