
[00:00:00.360 --> 00:00:04.800]   Welcome to the Huberman Lab Podcast, where we discuss science and science-based tools
[00:00:04.800 --> 00:00:07.460]   for everyday life.
[00:00:07.460 --> 00:00:13.880]   I'm Andrew Huberman, and I'm a professor of neurobiology and ophthalmology at Stanford
[00:00:13.880 --> 00:00:15.160]   School of Medicine.
[00:00:15.160 --> 00:00:17.240]   My guest today is Dr. Mark Berman.
[00:00:17.240 --> 00:00:21.840]   Dr. Mark Berman is a professor of psychology at the University of Chicago, where he directs
[00:00:21.840 --> 00:00:24.320]   the Environmental Neuroscience Laboratory.
[00:00:24.320 --> 00:00:29.120]   His research focuses on how our physical environments, particularly natural environments, impact our
[00:00:29.120 --> 00:00:32.200]   brain function, mental health, and cognitive performance.
[00:00:32.200 --> 00:00:36.040]   During today's episode, we discussed the fascinating and actionable science of how your physical
[00:00:36.040 --> 00:00:40.440]   surroundings indoors, and in particular your relationship and interactions with nature,
[00:00:40.440 --> 00:00:43.080]   can shape your biology and your cognitive abilities.
[00:00:43.080 --> 00:00:48.580]   Dr. Berman explains how exposure to very common features in nature, such as fractal patterns,
[00:00:48.580 --> 00:00:52.360]   increase your ability to focus, reduce your stress, and improve your mental and physical
[00:00:52.360 --> 00:00:56.380]   health metrics, and not just while you're in nature, but after you return indoors for many
[00:00:56.380 --> 00:00:58.240]   hours and even days afterwards.
[00:00:58.240 --> 00:01:01.320]   During today's episode, you'll learn about something called attention restoration theory,
[00:01:01.320 --> 00:01:06.240]   which turns out to be very important for understanding how different types of indoor and outdoor
[00:01:06.240 --> 00:01:09.960]   environments either deplete or restore your cognitive resources.
[00:01:09.960 --> 00:01:14.120]   We also discuss practical science-based strategies that anyone can implement, regardless of where
[00:01:14.120 --> 00:01:15.120]   you live.
[00:01:15.120 --> 00:01:19.160]   If you're in an apartment or a house, if you have ready access to nature or if you don't, today's
[00:01:19.160 --> 00:01:25.120]   episode explains how to design your indoor space, the optimal duration and timing of nature exposure, and the specific
[00:01:25.120 --> 00:01:29.280]   visual and auditory elements that will provide you with the greatest cognitive and health benefits.
[00:01:29.280 --> 00:01:39.120]   So whether you're a student or a professional looking to enhance your learning capacity, focus, and reduce your burnout, or you're simply interested in optimizing your mental and physical health through exposure to different elements of nature,
[00:01:39.120 --> 00:01:44.200]   today's episode provides clear, actionable protocols based on rigorous scientific research.
[00:01:44.200 --> 00:01:55.200]   By the end of today's episode, you'll have a toolkit of evidence-based strategies that will transform your relationship with your indoor environment and outdoor environments, and you'll learn to harness those to improve your brain and body.
[00:01:55.200 --> 00:02:00.280]   Before we begin, I'd like to emphasize that this podcast is separate from my teaching and research roles at Stanford.
[00:02:00.280 --> 00:02:07.280]   It is, however, part of my desire and effort to bring zero cost to consumer information about science and science related tools to the general public.
[00:02:07.280 --> 00:02:14.280]   In keeping with that theme, today's episode does include sponsors, and now for my discussion with Dr. Mark Berman.
[00:02:14.280 --> 00:02:16.280]   Dr. Mark Berman, welcome.
[00:02:16.280 --> 00:02:18.280]   Dr. Mark Berman: Great to be here, Andrew.
[00:02:18.280 --> 00:02:20.280]   I love being out in nature.
[00:02:20.280 --> 00:02:38.360]   Dr. Mark Berman: So I'm excited about today's conversation, which is taking place indoors, but we're going to talk about the relationship between the mind, the brain, nature, stress, rumination, and this incredible power that interactions with the natural world can have on our brain.
[00:02:38.360 --> 00:02:50.240]   As we wade into this, I'd like to start with this issue of recapturing our attentional abilities, because I think nowadays, everybody, whether they're clinically diagnosed with ADHD,
