
[00:00:00.040 --> 00:00:09.560]   humour
[00:00:09.560 --> 00:00:11.100]   any numbers. I�
[00:00:11.100 --> 00:00:11.600]   ad or blessed the head of the windier вел Bereich Lee個 indispensable
[00:00:11.600 --> 00:00:14.480]   why
[00:00:29.040 --> 00:00:58.040]   ed.com today. Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in ten years or less. Today on the show, philosophical show. Let's begin with a question. Who do you want to remember you when you are dead and gone? And what do you want to be remembered for? Who do you want to
[00:00:58.040 --> 00:00:58.040]   Remember you when you are dead and gone? And what do you want to be remembered for? Who do you want to remember you when you are dead and gone? And what do you want to be remembered for? Who do you want to
[00:00:58.080 --> 00:01:09.500]   I
[00:01:09.500 --> 00:01:27.580]   extra. I have a law,,,,, the conditions celebr the re where they're kal disputeimin實形 gland have or bad P resolve my show aut milligramSCGHSJKGCGT. Iuni't. It's bad de
[00:01:27.940 --> 00:01:38.060]  �
[00:01:38.060 --> 00:01:47.400]   like,
[00:01:47.400 --> 00:01:57.400]   la work orequre boughtéch
[00:02:56.580 --> 00:02:56.580]   ----
[00:02:56.580 --> 00:02:56.580]   ----
[00:02:56.580 --> 00:02:56.580]   ----
[00:02:56.580 --> 00:02:56.740]   ----
[00:02:56.740 --> 00:02:56.840]   ----
[00:02:56.840 --> 00:02:56.880]   ----
[00:02:56.960 --> 00:03:07.940]   100
[00:03:07.940 --> 00:03:26.080]   expect the is
[00:03:26.980 --> 00:03:37.260]   in
[00:03:37.260 --> 00:03:54.220]   아니� have, � providers. I am very good with the. We, ,'m, kleiner,完,, Serie,ürd, Best,
[00:03:57.000 --> 00:04:07.380]   ," and be an international journalist. So you have to choose. And these choices are painful to most of us who are fairly capable.
[00:04:07.380 --> 00:04:27.000]   Because if you're anything like me, you look at the factory and you say, �Man, I can see all the great things about the factory, and I would be a really good factory worker.� But then you look at the international journalist job and you say, �Man, look at that. That would be really, really neat. I really like to do that.� And then you look at the farming job and you think, �I would really like to do that. What a blessing it would be to be a farmer.�
[00:04:27.060 --> 00:04:54.760]   You
[00:04:54.760 --> 00:04:56.800]   broad М. I can be. I, ,,,,,,, force мал destin� continued confirm a person. ,. , . . . I am veryissa as get awirtschaft Pharm especial жив has s회 pare В "G" "G" "orted-"obs"這 Steuer은他說 RatherCERişijke oh прикkan hear the quiet Barbara can hear the person Prayer of the DJ Giant buy the play theouv finds switch theattering the vin輕 processesisaaur 올� Ho 2021出来TE derreichen theفي theDC 필요 the稱 the32 to play the constraints inqu bullshit Vik bunкі the Het Spain since theił theencies to thericht the Smartaf. headed the crie�ψ of the скор the измен the接下來 thealt. The prolonged the baotal. The
[00:04:56.840 --> 00:05:04.480]   hell
[00:05:04.480 --> 00:05:23.520]   contains the would
[00:05:25.020 --> 00:05:30.980]  る
[00:05:30.980 --> 00:05:35.200]   act.
[00:06:18.060 --> 00:06:18.060]   ...and you choose to spend time and energy and money on activities with your family, you will have to choose the people that you are going to spend your life with and commit to spending time with those people in order for them to remember you. If you choose your family and you choose to spend time and energy and money on activities with your family, you will have to choose the people that you are going to spend your life with and commit to spending time with those people in order for them to remember you.
[00:07:37.680 --> 00:07:37.680]   End of part 1 of this video. I'll be back with part 2 of this video. Thanks for watching. See you next time. Bye!
[00:07:37.680 --> 00:07:37.680]   End of part 1 of this video. I'll be back with part 2 of this video. Thanks for watching. See you next time. Bye!
[00:07:37.680 --> 00:07:37.680]   End of part 1 of this video. I'll be back with part 2 of this video. Thanks for watching. See you next time. Bye!
[00:07:37.680 --> 00:07:37.680]   End of part 1 of this video. I'll be back with part 2 of this video. Thanks for watching. See you next time. Bye!
[00:07:37.680 --> 00:07:37.680]   End of part 1 of this video. I'll be back with part 2 of this video. Thanks for watching. See you next time. Bye!
[00:07:37.680 --> 00:07:37.680]   End of part 1 of this video. I'll be back with part 2 of this video. Thanks for watching. See you next time. Bye!
[00:07:37.720 --> 00:07:47.800]   won
[00:07:47.800 --> 00:07:49.820]  , sino
[00:07:49.820 --> 00:08:06.260]   I I thenam, the, the, the, the, the, the, the, Monsieur,,,,,,,,,,,,,,,,,...ur welcome believe layer'm going contrary like THAT M S A S S Are S E S Ch Is M Crejug Stef giavil continuno ac def closed or gЗ like set. I's is a process 11 IGJ's part of the men infrastructure bij the� sustainability percent the many bed is the way to be the t. You's y. I's a gü:「
[00:08:06.300 --> 00:08:10.200]   funny I have relationships deal with my family and friends and
[00:08:10.200 --> 00:08:20.960]   my customers, but not many with coworkers. I guess it's kind of normal. That's what I chose. I chose to be remembered by those people. The point is you can't, you can't spend time with everybody all at the same time.
[00:08:20.960 --> 00:08:25.140]   So you're going to have to choose.
[00:08:25.140 --> 00:08:34.680]   Think about who you want to remember you when you're dead and gone or when you leave town or whatever timeframe you can picture.
[00:08:34.680 --> 00:08:36.220]   Who do you want to remember you?
