
[00:00:00.000 --> 00:00:14.720]   I think that worked.
[00:00:14.720 --> 00:00:21.160]   Let me make sure we're live.
[00:00:21.160 --> 00:00:24.600]   This is a slight delay, but I have to make sure we're live.
[00:00:24.600 --> 00:00:25.600]   Awesome.
[00:00:25.600 --> 00:00:27.040]   Sorry for the minor delay, everyone.
[00:00:27.040 --> 00:00:28.800]   I know I'm three minutes late.
[00:00:28.800 --> 00:00:32.280]   There were some issues with setting up the live stream to YouTube, so I do apologize
[00:00:32.280 --> 00:00:33.280]   for that.
[00:00:33.280 --> 00:00:35.560]   Anyways, I can see that I'm live now.
[00:00:35.560 --> 00:00:41.520]   If my audio and video and slides are looking good, could someone please confirm?
[00:00:41.520 --> 00:00:43.120]   And with that, we'll quickly get started.
[00:00:43.120 --> 00:00:45.920]   Since I'm late, I'm anxious to jump into it.
[00:00:45.920 --> 00:00:48.960]   Welcome back to the fifth session in the Keras.
[00:00:48.960 --> 00:00:49.960]   Keras.
[00:00:49.960 --> 00:00:52.320]   I always mix up the pronunciation.
[00:00:52.320 --> 00:00:53.320]   Sorry.
[00:00:53.320 --> 00:01:01.160]   Welcome back to the fifth part of this reading group.
[00:01:01.160 --> 00:01:08.080]   We're almost at the end of the book because I think this will be the last reading part
[00:01:08.080 --> 00:01:09.680]   where we'll be going through the book.
[00:01:09.680 --> 00:01:14.760]   We'll continue for, I think, two more weeks because I have, as I've been promising everyone,
[00:01:14.760 --> 00:01:19.160]   I have been reaching out to different people that I really want to host to bring more knowledge
[00:01:19.160 --> 00:01:20.160]   to everyone.
[00:01:20.160 --> 00:01:21.880]   Those are being confirmed.
[00:01:21.880 --> 00:01:23.680]   So that's why the dates aren't announced.
[00:01:23.680 --> 00:01:27.460]   We were supposed to host someone today, but I was a bit overwhelmed.
[00:01:27.460 --> 00:01:29.280]   So we didn't get that chance today.
[00:01:29.280 --> 00:01:30.280]   We had to push back.
[00:01:30.280 --> 00:01:34.440]   That date is being scheduled as well.
[00:01:34.440 --> 00:01:35.440]   Someone confirmed.
[00:01:35.440 --> 00:01:36.440]   Yes, all is good.
[00:01:36.440 --> 00:01:37.440]   So thanks for that.
[00:01:37.440 --> 00:01:40.080]   So for today, we'll continue with the book regardless.
[00:01:40.080 --> 00:01:43.240]   And here's what I have planned for the agenda.
[00:01:43.240 --> 00:01:48.480]   So we'll be taking another look at attention, transformers and NLP in Keras.
[00:01:48.480 --> 00:01:56.560]   We'll also further be going through this next chapter after that, which is generative stuff,
[00:01:56.560 --> 00:02:01.320]   broadly speaking, in Keras, which includes GANs, variable autoencoders, and even text
[00:02:01.320 --> 00:02:02.320]   generators.
[00:02:02.320 --> 00:02:07.600]   So we'll be going through that.
[00:02:07.600 --> 00:02:12.400]   This is the, like I mentioned, fifth part in the running series.
[00:02:12.400 --> 00:02:16.480]   So before this, we saw implementing convex and intro to time series.
[00:02:16.480 --> 00:02:20.920]   In the previous session, we also got a very vanilla introduction to attention.
[00:02:20.920 --> 00:02:27.720]   We have seen and learned about convex nets and advanced computer vision.
[00:02:27.720 --> 00:02:30.360]   I keep saying convex because that's happening tomorrow.
[00:02:30.360 --> 00:02:35.040]   I've been reading that paper just to polish my understanding.
[00:02:35.040 --> 00:02:39.960]   And we of course started with the awesome AMA with Franchot, who's kind enough to join
[00:02:39.960 --> 00:02:41.680]   with us.
[00:02:41.680 --> 00:02:47.160]   So for today's agenda, here are the broad topics that I plan to cover attention, transformers
[00:02:47.160 --> 00:02:52.360]   and generative deep learning.
[00:02:52.360 --> 00:02:56.400]   These would be from chapter 11 and 12.
[00:02:56.400 --> 00:03:00.160]   So as I mentioned, I won't be going through chapter 13 and 14.
[00:03:00.160 --> 00:03:05.080]   Throughout this study group, it's been an active thought of how to best share the knowledge
[00:03:05.080 --> 00:03:06.220]   in the book.
[00:03:06.220 --> 00:03:10.520]   Because again, this book is not freely available to everyone.
[00:03:10.520 --> 00:03:16.160]   So we of course have to be very respectful not to cross that line.
[00:03:16.160 --> 00:03:17.680]   So I won't be going through those chapters.
[00:03:17.680 --> 00:03:19.240]   I believe they're really straightforward.
[00:03:19.240 --> 00:03:23.120]   In my preparation, I go through the book at least once or twice.
[00:03:23.120 --> 00:03:24.280]   So I have gone through them.
[00:03:24.280 --> 00:03:25.840]   I invite everyone to read them.
[00:03:25.840 --> 00:03:28.200]   We'll still be meeting next week.
[00:03:28.200 --> 00:03:29.920]   And you're still welcome to ask any questions.
[00:03:29.920 --> 00:03:35.040]   We won't be actively going through chapter 13 and 14 because they're quite self sufficient
[00:03:35.040 --> 00:03:38.960]   and they don't have much to discuss outside.
[00:03:38.960 --> 00:03:46.740]   So and I'll announce a blog competition that we're planning to host around this series.
[00:03:46.740 --> 00:03:52.080]   So I'll announce the people that will be hosting really soon Akash Kumar Nain.
[00:03:52.080 --> 00:03:57.600]   He's a Google Dev expert in machine learning and really one of the Keras heroes to the
[00:03:57.600 --> 00:03:58.600]   broader community.
