
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:10.540]   - Welcome to another episode of Curious Mike.
[00:00:10.540 --> 00:00:14.700]   I'm here with Josh Kroenke, fellow Columbia, Missourian.
[00:00:14.700 --> 00:00:16.540]   I appreciate you on the podcast, man.
[00:00:16.540 --> 00:00:17.380]   - Absolutely, man.
[00:00:17.380 --> 00:00:18.960]   - I know you don't do a lot of media, so I appreciate it.
[00:00:18.960 --> 00:00:20.580]   - No, man, it's my pleasure to be here,
[00:00:20.580 --> 00:00:21.660]   especially like, as you said,
[00:00:21.660 --> 00:00:23.060]   with a fellow Columbia, Missourian.
[00:00:23.060 --> 00:00:23.900]   - Yes, sir.
[00:00:23.900 --> 00:00:25.060]   - We're a rare breed up here.
[00:00:25.060 --> 00:00:26.660]   - We are a rare breed, yeah.
[00:00:26.660 --> 00:00:29.600]   I wanna start off a little bit with your childhood
[00:00:29.600 --> 00:00:32.720]   because I find it interesting, you know,
[00:00:32.720 --> 00:00:35.300]   growing up, your father was obviously already very wealthy.
[00:00:35.300 --> 00:00:37.760]   I don't know if it was to the point that it is now,
[00:00:37.760 --> 00:00:40.320]   but like you just being around you
[00:00:40.320 --> 00:00:41.900]   and how down to earth you are,
[00:00:41.900 --> 00:00:44.040]   I find that intriguing just in the way you came up.
[00:00:44.040 --> 00:00:48.080]   So talk a little bit about, you know, growing up,
[00:00:48.080 --> 00:00:50.300]   regular things like high school and things like that.
[00:00:50.300 --> 00:00:52.320]   Talk about your childhood.
[00:00:52.320 --> 00:00:54.000]   - Well, yeah, I mean, and you know, you know,
[00:00:54.000 --> 00:00:57.600]   as we affectionately say back home, Como, very well.
[00:00:57.600 --> 00:01:00.300]   And I was born and raised in Central Missouri,
[00:01:00.300 --> 00:01:01.720]   Columbia to be exact.
[00:01:01.720 --> 00:01:05.000]   And yeah, I mean, I do come from a background
[00:01:05.000 --> 00:01:06.560]   where I've been financially secure,
[00:01:06.560 --> 00:01:08.180]   very secure my entire life.
[00:01:08.180 --> 00:01:11.120]   But, you know, my parents,
[00:01:11.120 --> 00:01:13.580]   I think they did an unbelievable job
[00:01:13.580 --> 00:01:17.800]   of raising both my older sister and I to understand that,
[00:01:17.800 --> 00:01:20.600]   you know, to feel blessed in the position that we're in,
[00:01:20.600 --> 00:01:23.160]   but don't let it define you in any way.
[00:01:23.160 --> 00:01:25.480]   We're all humans and we're all kind of going through
[00:01:25.480 --> 00:01:28.800]   this experience in our own kind of different versions
[00:01:28.800 --> 00:01:30.180]   of how we're experiencing life.
[00:01:30.180 --> 00:01:33.720]   And, but being from Columbia, I think is a,
[00:01:33.720 --> 00:01:35.720]   it's a college town.
[00:01:35.720 --> 00:01:37.600]   There's a lot of really good people in there.
[00:01:37.600 --> 00:01:41.900]   And, you know, the sport of basketball really is the thing
[00:01:41.900 --> 00:01:45.040]   that really kind of kept me grounded, you know,
[00:01:45.040 --> 00:01:47.440]   going through junior high and high school
[00:01:47.440 --> 00:01:50.340]   and then playing at Mizzou, you know,
[00:01:50.340 --> 00:01:52.640]   you experience people from all walks of life.
[00:01:52.640 --> 00:01:55.440]   And so some of my best friends from a very early age,
[00:01:55.440 --> 00:01:57.240]   I understood didn't come from as fortunate
[00:01:57.240 --> 00:02:00.280]   of a background as myself, from a two-parent home,
[00:02:00.280 --> 00:02:02.020]   from a financially secure home.
[00:02:02.020 --> 00:02:05.200]   And so I understand, or I understood at an early age
[00:02:05.200 --> 00:02:06.600]   how fortunate I was.
[00:02:06.600 --> 00:02:08.800]   And my parents didn't ever let me forget that.
[00:02:08.800 --> 00:02:09.920]   - Yeah.
[00:02:09.920 --> 00:02:11.680]   Yeah, I find, I think about it all the time,
[00:02:11.680 --> 00:02:14.440]   like even raising kids of my own one day,
[00:02:14.440 --> 00:02:18.080]   like people always talk about once you make money,
[00:02:18.080 --> 00:02:19.760]   you want to make money for your kids, kids,
[00:02:19.760 --> 00:02:20.580]   and all these things.
[00:02:20.580 --> 00:02:22.440]   But when you really think about it,
[00:02:22.440 --> 00:02:24.000]   I think about like, would I be here today
[00:02:24.000 --> 00:02:26.920]   if I had parents who were very stable?
[00:02:26.920 --> 00:02:29.240]   One of the things that pushed me to even be successful
[00:02:29.240 --> 00:02:31.660]   is the fact that I had, you know, my family,
