
[00:00:00.000 --> 00:00:06.440]   [APPLAUSE]
[00:00:06.440 --> 00:00:09.160]   Remember, Jack Bogle, you get what you don't pay for.
[00:00:09.160 --> 00:00:09.880]   It's true.
[00:00:09.880 --> 00:00:15.920]   So I want to convince you of two things.
[00:00:15.920 --> 00:00:21.720]   Get real, and arithmetic still works.
[00:00:21.720 --> 00:00:24.040]   Now, for get real, which is better,
[00:00:24.040 --> 00:00:27.600]   earning 10% when inflation is 12%
[00:00:27.600 --> 00:00:30.040]   or earning 3% when inflation is 2%?
[00:00:30.040 --> 00:00:36.120]   Which do you think makes people happier?
[00:00:36.120 --> 00:00:38.960]   We like to see the balance go up even if the spending
[00:00:38.960 --> 00:00:43.040]   power is going down.
[00:00:43.040 --> 00:00:46.640]   So stocks-- this is all speculative,
[00:00:46.640 --> 00:00:50.120]   but stocks may have a real inflation-adjusted return
[00:00:50.120 --> 00:00:52.480]   of, let's say, 5% annually.
[00:00:52.480 --> 00:00:56.920]   High-quality bonds, maybe 1%.
[00:00:56.920 --> 00:01:01.120]   So that means a 50/50 portfolio might, in the long run,
[00:01:01.120 --> 00:01:04.600]   beat inflation by 3%.
[00:01:04.600 --> 00:01:07.560]   So how much of it do you want to give away?
[00:01:07.560 --> 00:01:09.160]   Now, I ran something by Mike Piper
[00:01:09.160 --> 00:01:12.120]   on a spreadsheet last night, but I should have run this by--
[00:01:12.120 --> 00:01:14.600]   3 minus 2 does equal 1, right?
[00:01:14.600 --> 00:01:15.520]   Mike agrees.
[00:01:15.520 --> 00:01:17.680]   He's nodding.
[00:01:17.680 --> 00:01:21.120]   So the most brilliant paper you'll ever read
[00:01:21.120 --> 00:01:24.320]   is three pages and incredibly simple
[00:01:24.320 --> 00:01:26.480]   by Nobel laureate William Sharpe,
[00:01:26.480 --> 00:01:29.080]   Arithmetic of Active Management.
[00:01:29.080 --> 00:01:32.680]   And what it says is that if the stock market--
[00:01:32.680 --> 00:01:34.800]   let's just define it as the US stock market--
[00:01:34.800 --> 00:01:38.480]   earns 10%, the average dollar invested
[00:01:38.480 --> 00:01:41.440]   is going to earn 10% less the fees.
[00:01:41.440 --> 00:01:48.320]   And by the way, that's over any period of time--
[00:01:48.320 --> 00:01:51.920]   year to date, 20 years, et cetera.
[00:01:51.920 --> 00:01:53.240]   And Rick is right.
[00:01:53.240 --> 00:01:57.880]   Over the long period of time, the total stock funds
[00:01:57.880 --> 00:02:02.280]   do better and better and better.
[00:02:02.280 --> 00:02:04.120]   So the doctor analogy-- the first time
[00:02:04.120 --> 00:02:07.720]   I met Gus Sauter, who was the chief investment
[00:02:07.720 --> 00:02:14.840]   officer of Vanguard and launched the Vanguard Total Stock Index
[00:02:14.840 --> 00:02:17.000]   Fund, he gave me this analogy.
[00:02:17.000 --> 00:02:19.080]   If you needed heart surgery, would you
