
[00:00:00.000 --> 00:00:06.700]   Hello everyone, welcome back.
[00:00:06.700 --> 00:00:11.800]   This is the fifth screencast in our series on advanced behavioral testing for NLU.
[00:00:11.800 --> 00:00:17.120]   What we've done so far in the unit is reflect on the nature of behavioral testing and think
[00:00:17.120 --> 00:00:22.760]   about its motivations, and we've tried to come to grips with its strengths and its weaknesses.
[00:00:22.760 --> 00:00:27.320]   With that context in place, I thought it would be good to look at some recent prominent cases
[00:00:27.320 --> 00:00:32.320]   of adversarial tests to see what lessons they can teach us, especially taking a kind of
[00:00:32.320 --> 00:00:37.280]   historical perspective because we've learned a bunch of things about the nature of these
[00:00:37.280 --> 00:00:39.160]   challenges.
[00:00:39.160 --> 00:00:40.680]   Let's begin with squad.
[00:00:40.680 --> 00:00:45.200]   On this slide here, I have some screenshots from the squad leaderboard that I took recently.
[00:00:45.200 --> 00:00:49.920]   The squad leaderboard is nice and friendly to humans because it gives us this privileged
[00:00:49.920 --> 00:00:51.840]   place at the top of the leaderboard.
[00:00:51.840 --> 00:01:00.040]   You can see that humans are getting around 87% exact match, so 87% accuracy on squad.
[00:01:00.040 --> 00:01:05.120]   But be careful here, you actually have to travel all the way down to position 31 on
[00:01:05.120 --> 00:01:10.480]   the leaderboard to find a system that is worse than humans according to this metric.
[00:01:10.480 --> 00:01:15.680]   And many of the systems that are above humans are well above humans according to this metric
[00:01:15.680 --> 00:01:16.680]   on squad.
[00:01:16.680 --> 00:01:20.200]   So you can essentially picture the headlines.
[00:01:20.200 --> 00:01:24.760]   Players have gotten better at humans than answering questions, and the underlying evidence
[00:01:24.760 --> 00:01:25.760]   is squad.
[00:01:25.760 --> 00:01:31.600]   And I think that's the kind of headline that motivated this first and very prominent adversarial
[00:01:31.600 --> 00:01:34.000]   test from Jia and Liang, 2017.
[00:01:34.000 --> 00:01:41.360]   This is an important initial entry into this modern era of adversarial testing in NLU.
[00:01:41.360 --> 00:01:44.440]   To start, let me just remind you of what the squad task is like.
[00:01:44.440 --> 00:01:47.720]   We're given context passages for evidence.
[00:01:47.720 --> 00:01:51.880]   A question is posed, and the task is to find an answer to that question.
[00:01:51.880 --> 00:01:56.320]   And we have essentially a guarantee that that answer will be a substring of the context
[00:01:56.320 --> 00:01:58.640]   passage.
[00:01:58.640 --> 00:02:03.240]   Jia and Liang had the intuition that models might be overfit to the particular data that
[00:02:03.240 --> 00:02:07.640]   was in squad, and so they set up some adversaries to try to diagnose that problem.
[00:02:07.640 --> 00:02:12.800]   And the way their adversaries worked is that they would append misleading sentences to
[00:02:12.800 --> 00:02:14.240]   the ends of these passages.
[00:02:14.240 --> 00:02:19.520]   So in this case, I've appended quarterback Leland Stanford had jersey number 37 in Champ
[00:02:19.520 --> 00:02:22.120]   Bowl 34.
[00:02:22.120 --> 00:02:26.760]   And what Jia and Liang find is that with these appended sentences in place, models switch
[00:02:26.760 --> 00:02:29.120]   and start to answer Leland Stanford.
[00:02:29.120 --> 00:02:33.280]   They're distracted by this new and false evidence.
[00:02:33.280 --> 00:02:37.480]   So that's worrisome, but you might have an intuition that we can surely overcome this
[00:02:37.480 --> 00:02:38.480]   adversary.
[00:02:38.480 --> 00:02:43.200]   What we should do is take this augmented train set with these appended sentences on it and
[00:02:43.200 --> 00:02:47.520]   retrain our models, and then surely the models will overcome this adversary.
[00:02:47.520 --> 00:02:52.200]   And indeed, we find that they do overcome this particular adversary, and they will stop
[00:02:52.200 --> 00:02:55.360]   being misled by the appended sentence.
[00:02:55.360 --> 00:02:57.320]   But Jia and Liang are ahead of you.
[00:02:57.320 --> 00:03:02.160]   What about an adversary where we simply pre-pend these misleading sentences to the evidence
[00:03:02.160 --> 00:03:03.160]   passages?
[00:03:03.160 --> 00:03:06.960]   They find again that models are distracted and start to answer Leland Stanford using
[00:03:06.960 --> 00:03:09.800]   that first new sentence.
[00:03:09.800 --> 00:03:14.720]   And you could think, well, we can now train on the augmented train set that has the pre-pending
[00:03:14.720 --> 00:03:18.280]   and the appending, and maybe now we'll have overcome the adversary.
[00:03:18.280 --> 00:03:20.920]   But you can see what kind of dynamic we've set up.
[00:03:20.920 --> 00:03:24.560]   Now we could put the misleading sentences in the middle of the passage.
[00:03:24.560 --> 00:03:28.100]   And again, we'd probably see models start to fall down.
[00:03:28.100 --> 00:03:29.840]   And fall down they did.
[00:03:29.840 --> 00:03:35.800]   Here is a kind of leaderboard showing original system performance for what at the time were
[00:03:35.800 --> 00:03:40.720]   top performing systems for S.Q.U.A.D. as well as their performance on this adversary that
[00:03:40.720 --> 00:03:43.960]   Jia and Liang had set up.
[00:03:43.960 --> 00:03:48.320]   Obviously there's an enormous drop in overall system performance for this adversary, and
[00:03:48.320 --> 00:03:49.720]   that is worrisome enough.
[00:03:49.720 --> 00:03:52.640]   But I think we should look even more closely.
[00:03:52.640 --> 00:03:58.520]   It's noteworthy that the original ranking has gotten essentially totally shuffled on
[00:03:58.520 --> 00:04:00.600]   this adversarial leaderboard.
[00:04:00.600 --> 00:04:04.300]   The original number one system has fallen to position five.
[00:04:04.300 --> 00:04:08.680]   The original two position went all the way to 10, three to 12.
[00:04:08.680 --> 00:04:15.000]   I think the original seventh place position is now in the number one slot on the adversary.
[00:04:15.000 --> 00:04:19.160]   But the point is that there's essentially no relationship between original and adversary.
[00:04:19.160 --> 00:04:21.760]   This is a plot that kind of substantiates that.
[00:04:21.760 --> 00:04:27.960]   I have original system performance along the x-axis, adversarial along the y-axis, and
[00:04:27.960 --> 00:04:33.240]   it's just a cloud of dots showing no evident correlation between the two.
[00:04:33.240 --> 00:04:38.360]   So this probably suggests that systems were kind of overfit to the original S.Q.U.A.D.
[00:04:38.360 --> 00:04:43.080]   problem, and they're dealing with this adversary in pretty chaotic ways.
