
[00:00:00.000 --> 00:00:00.840]   I'm Josh Tobin.
[00:00:00.840 --> 00:00:03.440]   I'm a research scientist at OpenAI,
[00:00:03.440 --> 00:00:06.040]   working kind of right at the intersection
[00:00:06.040 --> 00:00:08.120]   of deep learning and robotics.
[00:00:08.120 --> 00:00:11.140]   So a lot of my work is on using deep neural networks
[00:00:11.140 --> 00:00:13.320]   to learn perception models,
[00:00:13.320 --> 00:00:14.520]   so that we can then have robots
[00:00:14.520 --> 00:00:16.380]   that do things in the real world.
[00:00:16.380 --> 00:00:19.640]   And one of the main focuses of my research and my PhD
[00:00:19.640 --> 00:00:22.720]   is on how to actually do that with synthetic data.
[00:00:22.720 --> 00:00:25.640]   So how to generate data from a physics simulator
[00:00:25.640 --> 00:00:27.800]   or a graphics engine,
[00:00:27.800 --> 00:00:30.760]   and then bridge the gap to make that data work
[00:00:30.760 --> 00:00:31.640]   in the real world.
[00:00:31.640 --> 00:00:36.360]   And I've been working in AI for about four years now.
[00:00:36.360 --> 00:00:40.120]   I got started when I got to Berkeley as a grad student.
[00:00:40.120 --> 00:00:42.880]   And I was actually, I had been kind of,
[00:00:42.880 --> 00:00:45.080]   I'd studied pure math as an undergrad.
[00:00:45.080 --> 00:00:47.000]   Like, you know, I like to tell people
[00:00:47.000 --> 00:00:48.440]   I was like a philosophy major
[00:00:48.440 --> 00:00:50.480]   who had taken four semesters of calculus.
[00:00:50.480 --> 00:00:52.600]   Like, I learned really all of the useless stuff
[00:00:52.600 --> 00:00:55.000]   and, you know, I didn't know how to program.
[00:00:55.000 --> 00:00:56.960]   And then I, you know, went and worked for a while
[00:00:56.960 --> 00:00:59.200]   as a consultant, and then coming back to grad school,
[00:00:59.200 --> 00:01:00.920]   I knew I wanted to, you know,
[00:01:00.920 --> 00:01:04.000]   find some way to apply math to technology.
[00:01:04.000 --> 00:01:07.320]   And then just took an amazing class with my, you know,
[00:01:07.320 --> 00:01:10.940]   my now advisor at Berkeley, Peter Abbeel,
[00:01:10.940 --> 00:01:12.920]   kind of working on deep learning and robotics,
[00:01:12.920 --> 00:01:15.560]   and just kind of immediately saw that this is like,
[00:01:15.560 --> 00:01:18.320]   this is the exciting thing to be working on right now.
[00:01:18.320 --> 00:01:21.080]   And I've just kind of gotten swept up in it ever since.
[00:01:21.080 --> 00:01:23.880]   So, you know, in addition to the organizers,
[00:01:23.880 --> 00:01:25.600]   we have an amazing set of guest lecturers
[00:01:25.600 --> 00:01:27.960]   over the next few weeks.
[00:01:27.960 --> 00:01:29.280]   You know, Peter Abbeel from Berkeley,
[00:01:29.280 --> 00:01:33.400]   kind of one of the foremost researchers in AI and robotics.
[00:01:33.400 --> 00:01:35.320]   Stuart Bowers from Tesla.
[00:01:35.320 --> 00:01:37.280]   Sergey Karayev, who built an amazing product
[00:01:37.280 --> 00:01:40.600]   called Gradescope, that recently got acquired by Turnitin.
[00:01:40.600 --> 00:01:42.080]   Neil Kozloff, who will be here tonight,
[00:01:42.080 --> 00:01:45.280]   who founded, you know, two AI startups.
[00:01:45.280 --> 00:01:47.280]   Roseanne Liu from Uber.
[00:01:47.280 --> 00:01:49.480]   Lee Redden from Blue River Technologies.
[00:01:49.480 --> 00:01:53.280]   Paroma Sharma, who kind of works on an amazing
[00:01:53.280 --> 00:01:55.080]   data labeling system at Stanford.
[00:01:55.080 --> 00:01:55.920]   And then Peter Wellender,
[00:01:55.920 --> 00:01:58.320]   who's one of my colleagues at OpenAI.
[00:01:58.320 --> 00:02:03.160]   So we're really excited to have all these great people here.
[00:02:03.160 --> 00:02:06.160]   I wanted to just say a few things about, you know,
[00:02:06.160 --> 00:02:08.920]   kind of why this class, like, why are we organizing this?
[00:02:08.920 --> 00:02:12.460]   You know, I think like all of you are probably familiar
[00:02:12.460 --> 00:02:16.160]   with lots of the successes of deep learning at this point.
[00:02:16.160 --> 00:02:18.400]   You know, this chart shows image error rate
[00:02:18.400 --> 00:02:20.800]   before and after deep learning.
[00:02:20.800 --> 00:02:22.680]   There are amazing successes in games.
[00:02:22.680 --> 00:02:25.360]   Recently, team at OpenAI beat the world champions
[00:02:25.360 --> 00:02:28.200]   at Dota 5v5, which is pretty amazing.
[00:02:28.200 --> 00:02:30.640]   A couple of years ago,
[00:02:30.640 --> 00:02:34.000]   DeepMind beat the best Go players in the world.
[00:02:34.000 --> 00:02:37.140]   Speech recognition kind of followed a similar trend.
[00:02:37.140 --> 00:02:41.000]   You know, before 2008 or 2009 or 2010,
[00:02:41.000 --> 00:02:43.560]   kind of all of the major successes
[00:02:43.560 --> 00:02:44.920]   had incremental progress.
[00:02:44.920 --> 00:02:47.120]   And then after deep learning came in,
[00:02:47.120 --> 00:02:50.800]   progress sort of became exponential for the next few years.
[00:02:50.800 --> 00:02:53.920]   Image captioning, applications in medicine,
[00:02:53.920 --> 00:02:54.840]   there's quite a lot.
[00:02:54.840 --> 00:02:57.680]   And the amazing thing about it to me is that,
