
[00:00:00.000 --> 00:00:03.040]   (upbeat music)
[00:00:03.040 --> 00:00:08.040]   I'm Cal Newport, and this is Deep Questions, episode 183.
[00:00:08.040 --> 00:00:16.960]   I'm here at my Deep Work HQ,
[00:00:16.960 --> 00:00:19.960]   joined by my producer, Jesse.
[00:00:19.960 --> 00:00:22.240]   Jesse, we weren't sure if we were even gonna be able
[00:00:22.240 --> 00:00:26.000]   to record this episode this week.
[00:00:26.000 --> 00:00:28.360]   I have a crazy schedule.
[00:00:28.360 --> 00:00:29.200]   It's not really crazy.
[00:00:29.200 --> 00:00:33.520]   It's just a schedule that has me on campus
[00:00:33.520 --> 00:00:34.760]   most days, all days.
[00:00:34.760 --> 00:00:37.880]   So it gets in the way of our podcast recording.
[00:00:37.880 --> 00:00:38.920]   So we didn't even know if we'd have time
[00:00:38.920 --> 00:00:40.520]   to record this episode.
[00:00:40.520 --> 00:00:43.720]   So what we were able to do is we're squeezing this in.
[00:00:43.720 --> 00:00:46.240]   We're doing a shorter form episode.
[00:00:46.240 --> 00:00:48.080]   Now, I always tell Jesse, people don't know this.
[00:00:48.080 --> 00:00:49.920]   I tell him at the beginning of every episode,
[00:00:49.920 --> 00:00:50.760]   we're gonna be quick today.
[00:00:50.760 --> 00:00:52.200]   We never are, but today we have to be
[00:00:52.200 --> 00:00:55.680]   because we have an actual sort of Damocles time limit
[00:00:55.680 --> 00:00:56.820]   hanging over our head here.
[00:00:56.820 --> 00:00:59.000]   So we're gonna be quick, 45 minutes in and out,
[00:00:59.000 --> 00:01:02.200]   clean, we're gonna slip this in.
[00:01:02.200 --> 00:01:04.920]   And then Thursday's episode, we're gonna do
[00:01:04.920 --> 00:01:08.320]   a classic episode from the vault.
[00:01:08.320 --> 00:01:10.760]   So you will get to hear a classic episode from the vault.
[00:01:10.760 --> 00:01:12.760]   We didn't have time to record both,
[00:01:12.760 --> 00:01:13.840]   but I think you'll enjoy it.
[00:01:13.840 --> 00:01:16.320]   You know, Jesse, I'm noticing from my letters
[00:01:16.320 --> 00:01:19.040]   and the statistics, the statistics we get,
[00:01:19.040 --> 00:01:22.000]   that there's a lot of people now who are going back
[00:01:22.000 --> 00:01:25.240]   to the beginning of the show and trying to work their way
[00:01:25.240 --> 00:01:26.080]   forward.
[00:01:26.080 --> 00:01:28.920]   So more and more people, I would say,
[00:01:28.920 --> 00:01:30.400]   typically like, oh, these old episodes,
[00:01:30.400 --> 00:01:31.640]   most people weren't around then,
[00:01:31.640 --> 00:01:33.940]   most people didn't hear them, but people are going back
[00:01:33.940 --> 00:01:37.600]   and playing through the old catalog
[00:01:37.600 --> 00:01:40.880]   'cause we're honing in now on, I don't know,
[00:01:40.880 --> 00:01:43.680]   say around 100,000 downloads a week.
[00:01:43.680 --> 00:01:48.560]   But no one episode is ever gonna get more than
[00:01:48.560 --> 00:01:51.360]   20 something thousand downloads in a given week.
[00:01:51.360 --> 00:01:54.320]   So like, actually most of the downloads in a given week
[00:01:54.320 --> 00:01:56.380]   are not for that week's episode.
[00:01:56.380 --> 00:01:59.840]   People that are doing the trip down memory lane,
[00:01:59.840 --> 00:02:02.680]   but we'll select a good one from the archive
[00:02:02.680 --> 00:02:04.320]   to play for Thursday.
[00:02:04.320 --> 00:02:06.600]   - I'm always a fan when you talk longer,
[00:02:06.600 --> 00:02:09.120]   'cause I think your audience wants you to talk long
[00:02:09.120 --> 00:02:11.080]   and wants to know what you have to say.
[00:02:11.080 --> 00:02:12.960]   That was always the case even before I started,
[00:02:12.960 --> 00:02:14.720]   you know, helping out with the show.
[00:02:14.720 --> 00:02:15.560]   - Oh, I know, yeah.
[00:02:15.560 --> 00:02:17.460]   I don't know if going shorter is good for the show.
[00:02:17.460 --> 00:02:18.920]   That's just my schedule stress.
[00:02:18.920 --> 00:02:20.960]   I'm always like, we're gonna get this thing down short,
[00:02:20.960 --> 00:02:23.080]   we're gonna get the footprint small.
[00:02:23.080 --> 00:02:26.200]   I think in this fantasy world in which I just sort of like
[00:02:26.200 --> 00:02:28.960]   walk by the studio on my way to somewhere else
[00:02:28.960 --> 00:02:30.380]   and Jesse puts a mic in front of me
[00:02:30.380 --> 00:02:32.600]   and without breaking my stride, we do the episode.
[00:02:32.600 --> 00:02:34.520]   No, I love it once we get going,
[00:02:34.520 --> 00:02:36.640]   but whenever I'm moving around the Jenga pieces
[00:02:36.640 --> 00:02:38.280]   on my schedule, I'm like,
[00:02:38.280 --> 00:02:40.000]   the more we can contain the recording,
[00:02:40.000 --> 00:02:43.240]   the more time we have to do innovation and writing.
[00:02:43.240 --> 00:02:44.800]   And so I always joke about that.
[00:02:44.800 --> 00:02:46.840]   But today we actually are,
[00:02:46.840 --> 00:02:48.280]   Joe the engineer is on his way.
[00:02:48.280 --> 00:02:49.760]   We're fixing some of our sound issues.
[00:02:49.760 --> 00:02:51.280]   So we have to be ready.
[00:02:51.280 --> 00:02:52.120]   We have to be ready.
[00:02:52.120 --> 00:02:54.760]   So we're actually gonna stick to it.
[00:02:54.760 --> 00:02:56.720]   We'll stick to it this time.
[00:02:56.720 --> 00:02:58.160]   Before we get into the questions
[00:02:58.160 --> 00:02:59.720]   and I've narrowed it down to five,
[00:02:59.720 --> 00:03:03.920]   we're doing five focus questions today.
[00:03:03.920 --> 00:03:06.320]   I thought we'd play a quick round of a new game show
[00:03:06.320 --> 00:03:08.400]   I came up with, which is called,
[00:03:08.400 --> 00:03:10.820]   Is This Crazy or Deep?
[00:03:10.820 --> 00:03:13.040]   All right, so you're the contestant, Jesse.
[00:03:13.040 --> 00:03:18.040]   I'm gonna explain one of the weird idiosyncratic things I do
[00:03:18.040 --> 00:03:19.960]   and you have to make the judgment,
