
[00:00:00.000 --> 00:00:01.600]   - Cover today.
[00:00:01.600 --> 00:00:04.560]   Just quick overview of what to expect from today.
[00:00:04.560 --> 00:00:07.480]   First, I'm gonna do a very, very quick recap
[00:00:07.480 --> 00:00:11.400]   of the lecture that you all watched from Sergey
[00:00:11.400 --> 00:00:13.480]   on testing and deployment.
[00:00:13.480 --> 00:00:15.200]   And it's gonna go by very, very fast,
[00:00:15.200 --> 00:00:17.120]   so if you did not do your homework,
[00:00:17.120 --> 00:00:21.960]   then I'm not sure that this will bring you back up to speed,
[00:00:21.960 --> 00:00:23.600]   but that's the intention.
[00:00:23.600 --> 00:00:26.780]   And then I wanna just check in briefly on projects
[00:00:26.780 --> 00:00:28.480]   and just kind of see how everyone is feeling
[00:00:28.480 --> 00:00:29.560]   about where they're at.
[00:00:29.560 --> 00:00:31.440]   We have a week left in the class,
[00:00:31.440 --> 00:00:34.480]   and so I wanna get a sense of how close to being done
[00:00:34.480 --> 00:00:35.560]   everyone feels.
[00:00:35.560 --> 00:00:37.880]   And then we have two amazing guest speakers
[00:00:37.880 --> 00:00:40.680]   to kind of conclude this part of the class.
[00:00:40.680 --> 00:00:42.980]   All right, any questions before I get started?
[00:00:42.980 --> 00:00:47.140]   Great.
[00:00:47.140 --> 00:00:51.520]   So just to briefly review the lecture
[00:00:51.520 --> 00:00:52.960]   that you watched from Sergey,
[00:00:52.960 --> 00:00:55.960]   he started by covering some concepts
[00:00:55.960 --> 00:00:57.780]   of testing and deployment.
[00:00:57.780 --> 00:00:59.800]   And so these concepts were kind of
[00:00:59.800 --> 00:01:02.360]   how to think about the entire structure
[00:01:02.360 --> 00:01:03.760]   of your machine learning projects
[00:01:03.760 --> 00:01:05.820]   and how different tests fit into that.
[00:01:05.820 --> 00:01:08.740]   And then he covered this idea of the ML test score,
[00:01:08.740 --> 00:01:10.740]   which is a rubric from Google of how to think about
[00:01:10.740 --> 00:01:13.900]   how production-ready your machine learning code base is.
[00:01:13.900 --> 00:01:15.880]   And then he talked about some of the infrastructure
[00:01:15.880 --> 00:01:18.060]   and tooling around this sort of part
[00:01:18.060 --> 00:01:20.200]   of machine learning projects.
[00:01:20.200 --> 00:01:24.000]   So we talked about continuous integration and testing,
[00:01:24.000 --> 00:01:26.360]   covered Docker in some depth,
[00:01:26.360 --> 00:01:28.340]   some ideas for deploying to the web,
[00:01:28.340 --> 00:01:32.160]   monitoring prediction systems once they've been deployed,
[00:01:32.160 --> 00:01:34.260]   and then a little bit on kind of how to think
[00:01:34.260 --> 00:01:35.980]   about deploying not to the web,
[00:01:35.980 --> 00:01:37.480]   but to hardware or to mobile.
[00:01:37.480 --> 00:01:41.880]   And so I'll talk through a couple of the key slides
[00:01:41.880 --> 00:01:42.720]   from the talk.
[00:01:42.720 --> 00:01:47.500]   The first that I really like is this kind of overview
[00:01:47.500 --> 00:01:49.140]   of machine learning systems.
[00:01:49.140 --> 00:01:50.960]   So you have your training system,
[00:01:50.960 --> 00:01:53.560]   and your training system is combined
[00:01:53.560 --> 00:01:55.220]   with your training and validation data
[00:01:55.220 --> 00:01:56.660]   to create a prediction system,
[00:01:56.660 --> 00:01:59.580]   which is then served into production.
[00:01:59.580 --> 00:02:02.600]   And the key concept here is the different types of tests
[00:02:02.600 --> 00:02:04.380]   that you might have for the different stages
[00:02:04.380 --> 00:02:07.260]   of this code base.
[00:02:07.260 --> 00:02:10.100]   So you have tests on your training system,
[00:02:10.100 --> 00:02:11.640]   and this is things like,
[00:02:11.640 --> 00:02:13.340]   if you push some update to your code,
[00:02:13.340 --> 00:02:16.460]   is it breaking your ability to achieve a certain score
[00:02:16.460 --> 00:02:17.300]   on your training set?
[00:02:17.300 --> 00:02:19.380]   And these are kind of longer tests that take,
[00:02:19.380 --> 00:02:21.260]   maybe up to a day to run.
[00:02:21.260 --> 00:02:24.380]   Then on your prediction system, you have validation sets,
[00:02:24.380 --> 00:02:28.380]   and these are testing regressions to your model itself.
[00:02:28.380 --> 00:02:30.440]   So if you push an update to your model,
[00:02:30.440 --> 00:02:31.820]   you wanna make sure that it's still performing
[00:02:31.820 --> 00:02:33.340]   as well as it did before.
[00:02:33.340 --> 00:02:35.840]   And then functionality tests, which are quicker tests
[00:02:35.840 --> 00:02:38.140]   that can catch kind of making sure that you perform well
[00:02:38.140 --> 00:02:40.240]   on really important examples or edge cases.
[00:02:40.240 --> 00:02:43.360]   And then finally, once you've deployed the system
[00:02:43.360 --> 00:02:44.800]   into production, you wanna monitor it.
[00:02:44.800 --> 00:02:47.380]   So you wanna make sure that it doesn't go down,
[00:02:47.380 --> 00:02:49.540]   you don't have data shifts,
[00:02:49.540 --> 00:02:50.880]   and you don't have more errors
[00:02:50.880 --> 00:02:52.340]   than you're expecting to have.
[00:02:53.020 --> 00:02:57.940]   This is a slide that covers some of what was talked about
[00:02:57.940 --> 00:03:00.100]   in the ML readiness score.
[00:03:00.100 --> 00:03:02.140]   And so it just talks about some of the different types
[00:03:02.140 --> 00:03:03.940]   of tests that you might wanna have for your data set,
[00:03:03.940 --> 00:03:05.580]   your model, your infrastructure,
[00:03:05.580 --> 00:03:07.420]   and then monitoring and production.
[00:03:07.420 --> 00:03:09.740]   I won't go through all of these now,
[00:03:09.740 --> 00:03:11.500]   but these are just some things to think about
[00:03:11.500 --> 00:03:15.840]   as you're writing tests for your code base for the project.
[00:03:15.840 --> 00:03:20.440]   And then diving into testing and continuous integration.
[00:03:20.440 --> 00:03:21.540]   There's a few concepts here.
[00:03:21.540 --> 00:03:23.620]   There's unit and integration tests.
[00:03:23.620 --> 00:03:27.620]   And so this is testing individual parts of your code base
[00:03:27.620 --> 00:03:29.100]   to make sure that they continue to function
[00:03:29.100 --> 00:03:30.380]   when you change your code,
[00:03:30.380 --> 00:03:34.060]   and possibly testing your entire system.
[00:03:34.060 --> 00:03:36.540]   And then there's a concept of continuous integration.
[00:03:36.540 --> 00:03:38.580]   And all this means is that every time
[00:03:38.580 --> 00:03:41.380]   that you push new code to your repo, let's say,
[00:03:41.380 --> 00:03:45.060]   before you deploy a new model into production,
[00:03:45.060 --> 00:03:46.620]   or sometimes even in some organizations
[00:03:46.620 --> 00:03:48.580]   before you merge that code into master,
[00:03:48.580 --> 00:03:51.380]   you wanna run some tests to make sure
[00:03:51.380 --> 00:03:54.720]   that that code is not broken what you were able to do before.
[00:03:54.720 --> 00:03:58.540]   There are a bunch of software as a service tools
[00:03:58.540 --> 00:04:00.120]   for continuous integration.
[00:04:00.120 --> 00:04:01.040]   Most of these are not.
[00:04:01.040 --> 00:04:02.620]   In fact, I think all of these are not specific
[00:04:02.620 --> 00:04:05.060]   to machine learning, but these are just some of the tools
[00:04:05.060 --> 00:04:06.620]   that you might experiment with.
[00:04:06.620 --> 00:04:09.340]   And then another core idea that Sergey talked about
[00:04:09.340 --> 00:04:11.540]   was containerization.
