
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:30.000]   Exclusions apply.
[00:00:30.000 --> 00:00:31.000]   See website for details.
[00:00:31.000 --> 00:00:32.000]   Today on Radical Personal Finance,
[00:00:32.000 --> 00:00:35.000]   I bring you a marketing mini class
[00:00:35.000 --> 00:00:38.000]   with an expert marketer named Anthony Tran.
[00:00:38.000 --> 00:00:41.000]   He's the president and founder of Marketing Access Pass,
[00:00:41.000 --> 00:00:43.000]   which is an all-in-one online marketing training
[00:00:43.000 --> 00:00:45.000]   and services website.
[00:00:45.000 --> 00:00:47.000]   Very knowledgeable in the online marketing space.
[00:00:47.000 --> 00:00:51.000]   And today, you get to hear me pick his brain.
[00:00:51.000 --> 00:00:52.000]   Kind of selfish.
[00:00:52.000 --> 00:00:53.000]   I kind of did it for me.
[00:00:53.000 --> 00:00:56.000]   But, eh, why not let you listen in?
[00:00:56.000 --> 00:00:59.000]   [MUSIC PLAYING]
[00:00:59.000 --> 00:01:13.000]   Welcome to the Radical Personal Finance Podcast.
[00:01:13.000 --> 00:01:15.000]   My name is Joshua Sheets, and I'm your host.
[00:01:15.000 --> 00:01:17.000]   Thank you so much for being with me today.
[00:01:17.000 --> 00:01:19.000]   This is the show where each and every day I work
[00:01:19.000 --> 00:01:22.000]   to try to bring you some useful nuggets of content
[00:01:22.000 --> 00:01:26.000]   that will help you achieve your own financial independence.
[00:01:26.000 --> 00:01:28.000]   And that covers multiple sides.
[00:01:28.000 --> 00:01:29.000]   That covers technical financial planning,
[00:01:29.000 --> 00:01:32.000]   but it also covers some technical business skills.
[00:01:32.000 --> 00:01:34.000]   Because in the world of the future,
[00:01:34.000 --> 00:01:36.000]   we're all going to be self-employed.
[00:01:36.000 --> 00:01:38.000]   And today, I'm going to give you some insight
[00:01:38.000 --> 00:01:41.000]   into how you can become an expert in online marketing.
[00:01:41.000 --> 00:01:44.000]   [MUSIC PLAYING]
[00:01:44.000 --> 00:01:47.000]   One of the opportunities that I have as a podcaster
[00:01:47.000 --> 00:01:49.000]   is I get to scratch my own itches.
[00:01:49.000 --> 00:01:51.000]   And that's basically what I do with this show.
[00:01:51.000 --> 00:01:54.000]   My entire design of how and why I do this show
[00:01:54.000 --> 00:01:56.000]   is I try to think to myself, what is the kind of show
[00:01:56.000 --> 00:01:58.000]   that I would like to listen to?
[00:01:58.000 --> 00:02:00.000]   And so the kind of show that I would like to listen to
[00:02:00.000 --> 00:02:04.000]   is a combination of many things.
[00:02:04.000 --> 00:02:07.000]   It's a combination of a little bit of, I guess,
[00:02:07.000 --> 00:02:08.000]   inspirational content.
[00:02:08.000 --> 00:02:11.000]   But I like that inspirational content to be very practical.
[00:02:11.000 --> 00:02:15.000]   I'm not much of a rah-rah guy, because I've been, I guess,
[00:02:15.000 --> 00:02:16.000]   rah-rahed up, motivated up.
