
[00:00:00.000 --> 00:00:18.560]   I guess as we're getting started, this talk is about productionizing AI, but I'm curious,
[00:00:18.560 --> 00:00:24.200]   I keep asking this question and it keeps changing, how many of you folks have LLM applications
[00:00:24.200 --> 00:00:32.000]   in production in your company? Wow, that's probably the highest I've ever seen, more than 70%.
[00:00:32.000 --> 00:00:37.520]   So why did you come to this talk? You figured it out, right?
[00:00:37.520 --> 00:00:39.660]   Not going great.
[00:00:39.660 --> 00:00:40.460]   Not going great?
[00:00:40.460 --> 00:00:52.400]   All right. You want to put it in slideshow mode? Oh, it is in slideshow mode? Okay.
[00:00:52.400 --> 00:00:59.240]   Okay. Hey, you're showing my IP to the whole audience.
[00:00:59.240 --> 00:01:09.680]   You might ask, is there custom solutions or purchased LLM solutions?
[00:01:09.680 --> 00:01:12.860]   Oh, good question. Yeah. How many is custom solutions?
[00:01:15.480 --> 00:01:23.120]   Interesting. That's maybe 30%? And how many purchased solutions? Wow, way, way less. What are you purchasing?
[00:01:28.320 --> 00:01:31.600]   Yeah. Okay. Well, if you put co-pilot in that category, how many have purchased solutions?
[00:01:31.600 --> 00:01:41.440]   It's got to be most, right? Interesting. Interesting. Thanks for the... Any more, should we crowdsource some more questions?
[00:01:41.440 --> 00:01:49.280]   No, we can begin. Awesome. All right. So I wanted to talk briefly about our experience with our customers,
[00:01:49.280 --> 00:01:53.360]   productionizing Gen AI models. But I want to give you a little bit of context. First of all,
[00:01:54.240 --> 00:02:00.200]   this is clearly preaching to the choir, but it's interesting to see that democratization of AI is here.
[00:02:00.200 --> 00:02:02.200]   I don't know. How many people were working in AI 10 years ago?
[00:02:02.200 --> 00:02:05.280]   Nice. 15 years ago?
[00:02:05.280 --> 00:02:12.160]   So yeah, ML totally counts. 100% ML counts. ML definitely counts as a type of AI. Absolutely.
[00:02:12.160 --> 00:02:20.260]   You know, I think people talked about the democratization of AI, you know, back when AI was kind of a lame term to use.
[00:02:20.720 --> 00:02:26.680]   But I think we thought that it might take the form of, you know, something like auto ML or more, you know, graphical user interfaces.
[00:02:26.680 --> 00:02:29.680]   But clearly, democratization of AI has happened in a way that we didn't expect.
[00:02:29.680 --> 00:02:38.680]   Clearly, through these kind of chat and conversational interfaces and LLMs, we now see AI in literally every company that we talk to in some way.
[00:02:38.680 --> 00:02:44.640]   And not just purchasing solutions, although there's, I think probably every company in this room purchases what I would call an AI solution.
[00:02:44.640 --> 00:02:52.640]   We also see quite a lot of custom solutions, and probably every Fortune 500 right now is investing in custom AI solutions.
[00:02:52.640 --> 00:02:58.240]   More LLMs, more Gen AI, but I would say most also some traditional ML.
[00:02:58.240 --> 00:03:00.200]   And it's moving into production, right?
[00:03:00.200 --> 00:03:08.040]   You see it in this audience, you see 70% of this audience, but everywhere I go to give a talk, even with companies that you wouldn't necessarily think of as the most forward-thinking,
[00:03:08.040 --> 00:03:10.600]   they are starting to have Gen AI applications in production.
[00:03:10.640 --> 00:03:14.800]   So people keep asking me, "When is Gen AI going to move into production?"
[00:03:14.800 --> 00:03:16.800]   It really has moved into production, right?
[00:03:16.800 --> 00:03:23.080]   There's a lot more that could happen, but Gen AI is in production right now in a lot of applications that you use today.
[00:03:23.080 --> 00:03:31.600]   But I think the challenge everybody has, and people keep saying it, important to say, AI is so easy to demo and so hard to productionize.
[00:03:31.600 --> 00:03:37.080]   You see this with a lot of AI apps getting released, there's something about AI that makes CEOs stupid.
[00:03:37.080 --> 00:03:42.760]   It makes them stop listening to their customers, it makes them willing to put things into production that are absolutely terrible.
[00:03:42.760 --> 00:03:48.840]   And I think the fundamental reason is that it's so easy to make an incredibly compelling demo.
[00:03:48.840 --> 00:03:54.360]   I get these all the time from my own team, I get them from startups, you know, pitching me on potentially angel investing.
[00:03:54.360 --> 00:04:00.440]   You can make just an absolutely astonishing demo, and it's so much further from production than we're used to.
[00:04:00.520 --> 00:04:08.120]   Even with software, which has this characteristic, AI is so much more easy to demo and so much harder to productionize.
[00:04:08.120 --> 00:04:09.720]   So let's talk about how to productionize it.
[00:04:09.720 --> 00:04:12.040]   I'll state, I come from Weights and Biases.
[00:04:12.040 --> 00:04:14.760]   This is a company I started that I feel very proud of.
[00:04:14.760 --> 00:04:24.040]   We've built an AI developer platform that helps develop AI engineers with ML applications or with Gen AI applications.
[00:04:24.040 --> 00:04:29.560]   And we started this company because we saw this massive tools gap for AI ops.
[00:04:29.560 --> 00:04:34.360]   We now see that we have three types of customers.
[00:04:34.360 --> 00:04:37.720]   We see foundation model builders, which we've long served since the beginning.
[00:04:37.720 --> 00:04:44.280]   We see a bigger group of AI engineers that are doing a blend of ML applications and Gen AI applications.
[00:04:44.280 --> 00:04:57.800]   And we see a new type of audience for our software in software developers that are now getting used to the fact that AI applications are so easy to demo and so hard to productionize and trying to figure out how to productionize those applications.
[00:04:57.800 --> 00:05:07.960]   What's exciting for us and exciting for everyone, I think, is that the software developers are so much more numerous than ML engineers and foundation model builders.
[00:05:07.960 --> 00:05:17.640]   Right now that companies can use software developers to do what traditionally would have taken a custom model, it opens us up to do so many more AI applications.
[00:05:17.640 --> 00:05:21.640]   And from our perspective, this is a really exciting development because the market is so much bigger.
[00:05:21.640 --> 00:05:27.720]   And that's why we see a whole LLM ops tools track at this conference and so many companies popping up to help with this problem.
[00:05:27.720 --> 00:05:32.760]   I feel really proud, and I always want to say, we work with nearly all the foundation model companies.
[00:05:32.760 --> 00:05:35.720]   They have special needs, but they do push our scale.
[00:05:35.720 --> 00:05:43.720]   So almost all the LLMs that you would have used, from OpenAS GPT to Mistral to LAMA, these were built using the weights and biases platform.
[00:05:43.720 --> 00:05:47.800]   So we have years of experience dealing with large scale.
[00:05:47.800 --> 00:05:53.560]   But it's also important to say almost all of our customers, and we have thousands of customers, are not foundation model builders.
[00:05:53.560 --> 00:05:55.880]   They're companies in nearly every industry.
[00:05:55.880 --> 00:06:01.560]   And the really fun part about being in the AI space right now is that there's applications to every industry.
[00:06:01.560 --> 00:06:04.680]   So we see healthcare, we see ag tech, we see manufacturing.
[00:06:04.680 --> 00:06:12.120]   I remember when I came out of school and wanted to get into the AI industry, it was really kind of ranking search results or going to Wall Street or targeting ads.
[00:06:12.120 --> 00:06:14.760]   Which aren't the most exciting applications now.
[00:06:14.760 --> 00:06:16.200]   It's things that you can touch and feel.
[00:06:16.200 --> 00:06:17.880]   It's things that you can explain to your parents.
[00:06:17.880 --> 00:06:19.640]   This is an incredibly exciting development.
[00:06:19.640 --> 00:06:22.840]   But what makes this hard?
[00:06:22.840 --> 00:06:24.920]   And I've thought a lot about this, what makes it hard?
[00:06:24.920 --> 00:06:30.920]   And what makes kind of AI engineering a different type of process with a different set of tools needed?
[00:06:30.920 --> 00:06:35.800]   Because every software company has now launched an AI tool version of itself, right?
[00:06:35.800 --> 00:06:37.960]   They call me up every day and they say, you know, what do you think?
[00:06:37.960 --> 00:06:46.920]   We're launching, you know, AI version of observability, we're launching AI version of CICD, we're launching AI version of, you know, code versioning.
[00:06:46.920 --> 00:06:49.320]   Why don't those take, right?
[00:06:49.320 --> 00:06:50.600]   Why do we need a new set of tools?
[00:06:50.600 --> 00:06:55.240]   Why is Weights and Bias is able to compete against companies that are, you know, much bigger and have lots of experience?
[00:06:55.240 --> 00:07:00.200]   And I think it's fundamentally that the software development process, which I love, is a linear process.
[00:07:00.200 --> 00:07:05.400]   You add features, you add code, and generally things improve over time.
[00:07:05.400 --> 00:07:09.000]   And the AI process is experimental.
[00:07:09.000 --> 00:07:15.000]   Almost all the things that you do when you're using an LLM is trying it, seeing what happens, right?
[00:07:15.000 --> 00:07:17.720]   And it's fundamentally non-deterministic.
[00:07:17.720 --> 00:07:19.000]   You don't know what's going to happen.
[00:07:19.000 --> 00:07:23.720]   You're never going to have a CICD test that's meaningful or 100% passes.
[00:07:23.720 --> 00:07:28.600]   So instead of kind of adding things all day long and like what you do when you write code, you're doing lots of experiments.
[00:07:28.600 --> 00:07:30.920]   I think this is a fundamentally different workflow.
[00:07:30.920 --> 00:07:34.760]   And what that means is that, you know, when you develop software, your code is your IP.
[00:07:34.760 --> 00:07:38.760]   Companies recognize this and they take a lot of pain to protect their IP.
[00:07:38.760 --> 00:07:41.640]   But when you're developing AI, it's the learning that's your IP.
[00:07:41.640 --> 00:07:45.400]   It's not the model that you build, right? The model is kind of an outcome, right?
[00:07:45.400 --> 00:07:47.720]   The prompt that you discover is kind of an outcome.
[00:07:47.720 --> 00:07:51.160]   But the things that you learned along the way, all the prompts that you tried,
[00:07:51.160 --> 00:07:54.120]   all the workflows that you tried that didn't work, that's really the learning.
[00:07:54.120 --> 00:07:55.480]   That's really the IP that you have.
[00:07:55.480 --> 00:07:59.240]   And if you're not saving that, when the person that figured out walks out the door,
[00:07:59.240 --> 00:08:03.320]   your IP walks out the door with them because you're not going to be able to iterate further from there.
[00:08:03.320 --> 00:08:06.760]   And so what that means is reproducibility matters, right?
[00:08:06.760 --> 00:08:11.320]   You don't really save your IP, you don't save your learnings if you can't reproduce your learnings, right?
[00:08:11.320 --> 00:08:14.520]   And this is the obvious thing. I think everybody asks for reproducibility.
[00:08:14.520 --> 00:08:19.000]   We've always talked about a reproducibility crisis in AI, but reproducibility is incredibly hard.
[00:08:19.000 --> 00:08:22.600]   It's incredibly painful to keep track of everything so you can reproduce your stuff,
[00:08:22.600 --> 00:08:25.000]   especially with these non-deterministic endpoints.
[00:08:25.000 --> 00:08:28.280]   And you see a reproducibility crisis in many fields, not just software.
[00:08:28.280 --> 00:08:33.720]   And so my perspective is what you should be doing is tracking everything.
[00:08:33.720 --> 00:08:36.680]   And the tracking needs to happen with outside processes.
[00:08:36.680 --> 00:08:40.520]   You can't rely on humans to write everything down. No matter how much they want to, they're going to
[00:08:40.520 --> 00:08:44.680]   forget. You need to track everything in the background passively to have real reproducibility.
[00:08:44.680 --> 00:08:48.520]   And the real reason that you want to do this is not just protecting your IP,
[00:08:48.520 --> 00:08:52.520]   but because now you can collaborate, right? Now someone else can pick up the learnings that some
[00:08:52.520 --> 00:08:59.160]   engineer had. And when you can collaborate well, you can iterate faster. And the iteration time is
[00:08:59.160 --> 00:09:03.640]   really the key to bringing things to market, right? If you want to go from demo to production quickly,
[00:09:03.880 --> 00:09:07.800]   you need to bring down that iteration time, you need to have good collaboration,
[00:09:07.800 --> 00:09:13.160]   and you need speed. So that's the real ROI, I think, of all these tools that we might be building.
[00:09:13.160 --> 00:09:19.080]   Now, we work with lots of enterprises, and I wanted to give you an enterprise example,
[00:09:19.080 --> 00:09:23.000]   but more than that, I wanted to give you a real-world example that mattered to me. So this is
[00:09:23.000 --> 00:09:27.800]   very similar to what many of our enterprise customers are doing, but this is actually a project that I did
[00:09:27.800 --> 00:09:37.400]   in a few weeks that I took after my second child was born. And actually, this is my first kid, Matilda,
[00:09:37.400 --> 00:09:42.760]   and she was really demanding my attention after my baby was born. We were talking a lot, and she was
[00:09:42.760 --> 00:09:47.720]   actually asking Alexa to play her favorite song. And it's really interesting. I mean, Alexa is an
[00:09:47.720 --> 00:09:53.400]   interesting product. I really love it. My daughter is kind of connected to it, talks to her a lot, but
[00:09:53.400 --> 00:09:57.000]   she was really kind of shocked when she asked Alexa to play her favorite song. And Alexa didn't know
[00:09:57.000 --> 00:10:01.640]   what her favorite song is, because she asked Alexa to play Baby Shark literally five times a day. So
[00:10:01.640 --> 00:10:08.280]   it's like there's no data science needed to know what the favorite song is, but Alexa didn't know this.
[00:10:08.280 --> 00:10:11.400]   And I think there's kind of data privacy reasons that Alexa doesn't keep this, but it's kind of
[00:10:11.400 --> 00:10:15.880]   remarkable with all these amazing applications out there to see Alexa not able to do it. And so my
[00:10:15.880 --> 00:10:19.880]   daughter is asking me, "Hey, could you build an Alexa?" And I was like, "I think maybe I could,
[00:10:19.880 --> 00:10:24.440]   actually, with LLMs today." So I kind of looked around with the open source Alexa alternatives,
[00:10:24.440 --> 00:10:30.360]   where there's something called Mycroft that's out there, but kind of out of date, doesn't really use LLMs.
[00:10:30.360 --> 00:10:36.840]   And then my neighbor actually was showing me that he got a seven billion model, I think Llama 2,
[00:10:36.840 --> 00:10:41.240]   running on a rock pile, which is like a $200 device, similar price to Alexa. So I thought, "Okay,
[00:10:41.240 --> 00:10:46.120]   if you have that, maybe we could build an architecture that would kind of do the things that Alexa does."
[00:10:46.120 --> 00:10:53.000]   So built a library of skills, things that we asked Alexa to do, like play music, ask what the weather is,
[00:10:53.000 --> 00:10:58.360]   do math problems, check the news, things like that. And these skills are really simple, right? So, you know,
