
[00:00:00.000 --> 00:00:18.420]   I've been thinking a lot about borders recently for no particular reason and borders are a very
[00:00:18.420 --> 00:00:23.320]   innately human thing if I don't have the right piece of paper I cannot cross this line in the
[00:00:23.320 --> 00:00:27.640]   sand like it's a very very real problem that I face and many many people face every single day
[00:00:27.640 --> 00:00:33.360]   and borders are just one kind of constraint that humans just make up and I think that's very
[00:00:33.360 --> 00:00:38.040]   interesting that we respect borders so much but AI does not AI is a border disrespector it is very
[00:00:38.040 --> 00:00:44.360]   very easily multilingual so if you trained an LLM on mostly mostly English text corpus it's going to
[00:00:44.360 --> 00:00:50.680]   learn other languages just as a side effect it's going to be very natively multimodal because it
[00:00:50.680 --> 00:00:55.320]   can you can turn llama into a vision language model with just like 100 bucks of just post training
[00:00:55.320 --> 00:01:01.360]   there's it's very disrespecting of ground truth borders because it can just doesn't know the
[00:01:01.360 --> 00:01:06.560]   difference between hallucination and memorizing from a world model and it also doesn't respect
[00:01:06.560 --> 00:01:10.340]   copyright which is a whole other topic that we won't get into today but it's also super fascinating
[00:01:10.340 --> 00:01:15.400]   and how does that relate to do with AI engineering right like I think a lot of you here are here
[00:01:15.400 --> 00:01:19.200]   because you are interested in that concept at least maybe you identify as an AI engineer maybe you're
[00:01:19.200 --> 00:01:25.220]   trying to hire an AI engineer so there are a lot of definitions floating around and I confess that
[00:01:25.220 --> 00:01:30.600]   you know I've contributed to that is engineering an API line right that's the that's the line a lot of
[00:01:30.600 --> 00:01:35.660]   people have and that's come under some debate recently and yeah that's one form of AI engineering and I think
[00:01:35.660 --> 00:01:40.280]   that is useful to some people for understanding like where the responsibilities in a team might stop
[00:01:40.280 --> 00:01:46.220]   in and start with the other people in the team or maybe it's there's different subtypes right like
[00:01:46.220 --> 00:01:51.760]   last AI engineer summit I talked about the three types of AI engineer that I was seeing emerge the AI
[00:01:51.760 --> 00:01:59.280]   enhanced engineer the AI products engineer and the non-human agentic AI engineer or it could be a job
[00:01:59.280 --> 00:02:03.860]   description that you try to sort of list out and this is something that on the latent space podcast we
[00:02:03.860 --> 00:02:08.860]   recently went through with illicit talking about the different roles that they see within their teams
[00:02:08.860 --> 00:02:15.360]   as well so okay if I broadly have any of these three things do I have I nailed down a good definition of
[00:02:15.360 --> 00:02:20.200]   AI engineer that is workable yes right but is that something that we're happy with this is something
[00:02:20.200 --> 00:02:24.580]   that we can is there nothing left to explore I think the answer is no I think there's more to explore
[00:02:24.580 --> 00:02:31.160]   I think the very easy cop-out as well for people discussing this is that you have your opinion I have my
[00:02:31.160 --> 00:02:35.760]   opinion you come from your point of view I come from my point of view we agree to disagree or we agree
[00:02:35.760 --> 00:02:40.500]   that you know the different different strokes different folks and we move on I don't really
[00:02:40.500 --> 00:02:45.960]   like that just because there's no shared agreement on the things that is ground truth to everybody
[00:02:45.960 --> 00:02:52.340]   so I want to raise that challenge a little bit more I was in a podcast with Fraza Habib who's one of
[00:02:52.340 --> 00:02:57.700]   the speakers today talking about what this conference is and why this conference is does what it does
[00:02:57.700 --> 00:03:03.220]   and I always say that AI engineer conferences are effectively my highest stakes expression of what
[00:03:03.220 --> 00:03:10.580]   I think the state of AI engineering is so this time last year 2023 AI years are two times of human years
[00:03:10.580 --> 00:03:17.440]   we had a few tracks and we had a few topics that were up for debate we had RAG code gen and then agents
[00:03:17.440 --> 00:03:23.000]   and multi-modality all those tracks are repeated here today I have some speakers illustrated here just for
[00:03:23.000 --> 00:03:28.520]   illustrative purposes these obviously are not every not everyone involved but I think just like
[00:03:28.520 --> 00:03:34.040]   the inside-out metaphor that I've been thinking a lot about as the engineer matures so there's the
[00:03:34.040 --> 00:03:38.900]   number of concerns that you have to juggle in your head so this year you know after you're a competent
[00:03:38.900 --> 00:03:44.120]   AI engineer this year you're now faced with like okay I have to migrate to open models I have to build up
[00:03:44.120 --> 00:03:48.920]   my evals maybe I should have done that first that's a whole topic of discussion maybe I should scale up my
[00:03:48.920 --> 00:03:54.120]   inference or maybe I should deploy it to the fortune 500 and maybe on the management side of things I
