
[00:00:00.000 --> 00:00:06.540]   (applause)
[00:00:06.540 --> 00:00:07.940]   All right, I'm gonna do my best to channel
[00:00:07.940 --> 00:00:09.440]   some Jack Bogle here.
[00:00:09.440 --> 00:00:10.840]   We're gonna talk about staying the course.
[00:00:10.840 --> 00:00:12.580]   I miss Jack.
[00:00:12.580 --> 00:00:14.340]   I tried to go to my first--
[00:00:14.340 --> 00:00:16.080]   or went to my first Bogle Heads meeting,
[00:00:16.080 --> 00:00:17.840]   I think it was 2008.
[00:00:17.840 --> 00:00:19.380]   So I wanted to meet Jack.
[00:00:19.380 --> 00:00:22.520]   And those who were there know he was in the hospital.
[00:00:22.520 --> 00:00:24.120]   He was in the hospital with some heart problems
[00:00:24.120 --> 00:00:25.820]   and he wasn't able to make it,
[00:00:25.820 --> 00:00:27.820]   but he called in from the hospital by video.
[00:00:27.820 --> 00:00:30.020]   So he did speak to us at that conference.
[00:00:30.020 --> 00:00:31.500]   But I had to come back to a later conference
[00:00:31.500 --> 00:00:33.100]   to actually meet Jack.
[00:00:33.100 --> 00:00:35.600]   And I wish you all were able to sit here
[00:00:35.600 --> 00:00:38.100]   and have Jack teach you this principle.
[00:00:38.100 --> 00:00:43.500]   So I'm gonna try to do the best I can in his place.
[00:00:43.500 --> 00:00:45.000]   Let's start with his words, though.
[00:00:45.000 --> 00:00:47.340]   In fact, we're mostly going to use his words
[00:00:47.340 --> 00:00:49.380]   for this section, because "stay the course"
[00:00:49.380 --> 00:00:52.780]   seems so easy that you all just wanna tune out
[00:00:52.780 --> 00:00:53.780]   and not even think about it.
[00:00:53.780 --> 00:00:55.420]   Of course, the last principle is "stay the course."
[00:00:55.420 --> 00:00:58.420]   But you know what? It's the hardest one to do.
[00:00:58.420 --> 00:01:00.860]   All the other ones are easy compared to this.
[00:01:00.860 --> 00:01:02.360]   So this is what Jack said.
[00:01:02.360 --> 00:01:04.400]   He said, "Stay the course.
[00:01:04.400 --> 00:01:07.260]   "No matter what happens, stick to your program.
[00:01:07.260 --> 00:01:10.100]   "I've said 'stay the course' 1,000 times,
[00:01:10.100 --> 00:01:11.940]   "and I meant it every time.
[00:01:11.940 --> 00:01:14.240]   "It is the most important single piece
[00:01:14.240 --> 00:01:18.380]   "of investment wisdom I can give to you."
[00:01:18.380 --> 00:01:20.040]   And he has said it so many times
[00:01:20.040 --> 00:01:21.820]   that he says it in a whole bunch of different ways.
[00:01:21.820 --> 00:01:24.920]   He says, "Press on regardless."
