
[00:00:00.000 --> 00:00:15.000]   Eugène Yen:
[00:00:15.000 --> 00:00:16.000]   Eugène Yen: Thank you.
[00:00:16.000 --> 00:00:17.000]   Thank you, everyone.
[00:00:17.000 --> 00:00:19.000]   I'm Eugène Yen, and today I want to share with you
[00:00:19.000 --> 00:00:23.000]   about some building blocks for LLM systems and products.
[00:00:23.000 --> 00:00:25.000]   Like many of you here, I'm trying to figure out
[00:00:25.000 --> 00:00:29.000]   how to effectively use these LLMs in production.
[00:00:29.000 --> 00:00:31.000]   So, a few months ago, to clarify my thinking,
[00:00:31.000 --> 00:00:34.000]   I wrote some patterns about building LLM systems and products,
[00:00:34.000 --> 00:00:36.000]   and the community seemed to like it.
[00:00:36.000 --> 00:00:39.000]   There's Jason asking for this to be seminar,
[00:00:39.000 --> 00:00:41.000]   so here you go, Jason.
[00:00:41.000 --> 00:00:44.000]   Today, I'm going to focus on four of those patterns:
[00:00:44.000 --> 00:00:47.000]   evaluations, retrieval-augmented generation,
[00:00:47.000 --> 00:00:50.000]   guardrails, and collecting feedback.
[00:00:50.000 --> 00:00:53.000]   All the slides will be made available after this talk,
[00:00:53.000 --> 00:00:55.000]   so I ask you to just focus.
[00:00:55.000 --> 00:00:58.000]   Buckle up, hang on tight, because you'll be going really fast.
[00:00:58.000 --> 00:01:01.000]   All right, let's start with e-vails,
[00:01:01.000 --> 00:01:04.000]   or what I really consider the foundation of it all.
[00:01:04.000 --> 00:01:06.000]   Why do we need e-vails?
[00:01:06.000 --> 00:01:09.000]   Well, e-vails help us understand if our prompt engineering,
[00:01:09.000 --> 00:01:11.000]   our retrieval augmentation, or our fine-tuning,
[00:01:11.000 --> 00:01:13.000]   isn't doing anything at all.
[00:01:13.000 --> 00:01:14.000]   Right?
[00:01:14.000 --> 00:01:16.000]   Consider e-vail-driven development,
[00:01:16.000 --> 00:01:19.000]   where e-vails guide how you build your system and product.
[00:01:19.000 --> 00:01:21.000]   We can also think of e-vails as test cases, right?
[00:01:21.000 --> 00:01:25.000]   Where we run these e-vails before deploying any new changes.
[00:01:25.000 --> 00:01:27.000]   It makes us feel safe.
[00:01:27.000 --> 00:01:31.000]   And finally, if managers at OpenAI take the time to write e-vails,
[00:01:31.000 --> 00:01:33.000]   or give feedback on them.
[00:01:33.000 --> 00:01:34.000]   You know it's pretty important.
[00:01:38.000 --> 00:01:39.000]   But building e-vails is hard.
[00:01:39.000 --> 00:01:42.000]   Here are some things I've seen folks trip up on.
[00:01:42.000 --> 00:01:46.000]   Firstly, we don't have a consistent approach to e-vails.
[00:01:46.000 --> 00:01:48.000]   If you think about more conventional machine learning,
[00:01:48.000 --> 00:01:50.000]   regression, we have root-mean-square error,
[00:01:50.000 --> 00:01:52.000]   classification, precision and recall,
[00:01:52.000 --> 00:01:54.000]   even ranking, NDCG.
[00:01:54.000 --> 00:01:56.000]   All these metrics are pretty straightforward,
[00:01:56.000 --> 00:01:58.000]   and there's usually only one way to compute them.
[00:01:58.000 --> 00:02:00.000]   But what about for LLMs?
[00:02:00.000 --> 00:02:03.000]   Well, we have this benchmark whereby we write a prompt,
[00:02:03.000 --> 00:02:05.000]   there's a multiple-choice question,
[00:02:05.000 --> 00:02:07.000]   we evaluate the model's ability to get it right.
[00:02:07.000 --> 00:02:10.000]   MMLU is an example that's widely used
[00:02:10.000 --> 00:02:13.000]   where it assesses LLMs on knowledge and reasonability,
[00:02:13.000 --> 00:02:16.000]   you know, computer science questions, math, US history, et cetera.
[00:02:16.000 --> 00:02:20.000]   But there's no consistent way to run MMLU.
[00:02:20.000 --> 00:02:23.000]   Less than a week ago, Avin and Sayash from Princeton
[00:02:23.000 --> 00:02:26.000]   Evaluating LLMs is a minefield.
[00:02:26.000 --> 00:02:30.000]   They ask, "Are we assessing prompt sensitivity?
[00:02:30.000 --> 00:02:33.000]   Are we assessing the LLM, or are we assessing our prompt
[00:02:33.000 --> 00:02:35.000]   to get the LLM to give us what we want?"
[00:02:35.000 --> 00:02:39.000]   On the same day, Entrophic noted that the simple MCQ
[00:02:39.000 --> 00:02:41.000]   may not be as simple as it seems.
[00:02:41.000 --> 00:02:44.000]   Simple formatting changes, such as different parentheses,
[00:02:44.000 --> 00:02:46.000]   lead to different changes in accuracy.
[00:02:46.000 --> 00:02:49.000]   And there's no consistent way to do this.
[00:02:49.000 --> 00:02:52.000]   As a result, it makes it really difficult to compare models
[00:02:52.000 --> 00:02:55.000]   based on these academic benchmarks.
[00:02:55.000 --> 00:02:57.000]   Now, speaking of academic benchmarks,
[00:02:57.000 --> 00:02:59.000]   we may have outgrown some of them.
[00:02:59.000 --> 00:03:01.000]   For example, this task of summarization.
[00:03:01.000 --> 00:03:04.000]   On the top, you see the human evaluation scores
[00:03:04.000 --> 00:03:05.000]   on the reference summaries.
[00:03:05.000 --> 00:03:10.000]   And on the bottom, you see the evaluation scores for the automated summaries.
[00:03:10.000 --> 00:03:14.000]   You don't have to go through all the numbers there, but the point is that all the numbers
[00:03:14.000 --> 00:03:18.000]   on the bottom are already higher than the numbers on top.
[00:03:18.000 --> 00:03:22.000]   Here's another one that's more recent on the XSUM dataset, extreme summarization,
[00:03:22.000 --> 00:03:27.000]   where you see that all the human evaluation scores are lower than instruct GPT.
[00:03:27.000 --> 00:03:30.000]   And that's not even GPT-4.
[00:03:30.000 --> 00:03:33.000]   Now, finally, with all these benchmarks being so easily available,
[00:03:33.000 --> 00:03:37.000]   we sometimes forget to ask ourselves, hey, is it a fit for our task?
[00:03:37.000 --> 00:03:42.000]   If you think about it, does MMLU really apply to your task?
[00:03:42.000 --> 00:03:45.000]   Maybe, if you're building a college-level chatbot, right?
[00:03:45.000 --> 00:03:51.000]   But here's Linus reminding us that we should be measuring our apps on our tasks
[00:03:51.000 --> 00:03:54.000]   and not just relying on academic e-vails.
[00:03:54.000 --> 00:03:56.000]   So how do we do e-vails?
[00:03:56.000 --> 00:03:58.000]   Well, I think as an industry, we're still figuring it out.
[00:03:58.000 --> 00:04:00.000]   Bar point out is the number one challenge out there.
[00:04:00.000 --> 00:04:02.000]   And we hear so many people talk about e-vails.
[00:04:02.000 --> 00:04:05.000]   I think there are some tenants emerging.
[00:04:05.000 --> 00:04:09.000]   Firstly, I think we should build e-vails for our specific task.
[00:04:09.000 --> 00:04:10.000]   And it's okay to start small.
[00:04:10.000 --> 00:04:12.000]   It may seem daunting, but it's okay to start small.
[00:04:12.000 --> 00:04:13.000]   How small?
[00:04:13.000 --> 00:04:14.000]   Well, here's Technium.
[00:04:14.000 --> 00:04:17.000]   You know, he releases a lot of open-source models.
[00:04:17.000 --> 00:04:21.000]   He starts with an e-vail set of 40 questions for his domain expert tasks.
[00:04:21.000 --> 00:04:22.000]   40 e-vails.
[00:04:22.000 --> 00:04:25.000]   That's all it takes, and it can go very far.
[00:04:25.000 --> 00:04:29.000]   Second, we should try to simplify the task as much as we can.
[00:04:29.000 --> 00:04:31.000]   You know, while LLMs are very flexible,
[00:04:31.000 --> 00:04:34.000]   I think we have a better chance if we try to make it more specific.
[00:04:34.000 --> 00:04:38.000]   For example, if you're using an LLM for content more efficient tasks,
[00:04:38.000 --> 00:04:40.000]   you can fall back to simple precision and recall.
[00:04:40.000 --> 00:04:42.000]   How often is it catching toxicity?
[00:04:42.000 --> 00:04:43.000]   How often is it catching bias?
[00:04:43.000 --> 00:04:46.000]   How often is it catching hallucination?
[00:04:46.000 --> 00:04:50.000]   Next, if it's something broader like writing SQL or extracting JSON,
[00:04:50.000 --> 00:04:52.000]   you know, you can try to run the SQL
[00:04:52.000 --> 00:04:54.000]   and see if it returns the expected result.
