
[00:00:00.000 --> 00:00:00.840]   Let's go.
[00:00:00.840 --> 00:00:10.600]   I'll kill time while Eric figures out
[00:00:10.600 --> 00:00:13.260]   how to share his computer.
[00:00:13.260 --> 00:00:17.280]   So why do we pick Bert today?
[00:00:17.280 --> 00:00:20.360]   I'm kind of curious.
[00:00:20.360 --> 00:00:25.380]   - Yeah, 'cause I'm working on a text classification problem
[00:00:25.380 --> 00:00:28.320]   at work and just wanna get the background.
[00:00:28.440 --> 00:00:29.280]   - Okay.
[00:00:29.280 --> 00:00:35.040]   - Yeah, I wonder if there is a microservice
[00:00:35.040 --> 00:00:37.040]   that is easy to set up.
[00:00:37.040 --> 00:00:39.040]   I wonder if OpenPipe does this,
[00:00:39.040 --> 00:00:44.040]   that only mirrors a structured output GPT-4-O call
[00:00:44.040 --> 00:00:50.000]   and just mirrors it until it has enough data for Bert
[00:00:50.000 --> 00:00:51.760]   and then just switches you to Bert.
[00:00:51.760 --> 00:00:56.880]   - What do you mean by mirrors?
[00:00:56.880 --> 00:00:58.880]   - Shadows it.
[00:00:58.880 --> 00:01:01.840]   - Basically, you just use it at the start
[00:01:01.840 --> 00:01:04.080]   until you have enough data and then do URLs
[00:01:04.080 --> 00:01:06.360]   and then just swap it, so it's cheap.
[00:01:06.360 --> 00:01:07.720]   - Yep.
[00:01:07.720 --> 00:01:09.360]   - I think OpenPipe actually does that,
[00:01:09.360 --> 00:01:11.520]   but I don't think it's as automatic and as seamless
[00:01:11.520 --> 00:01:14.520]   as how your vision is.
[00:01:14.520 --> 00:01:16.200]   - Yeah, I mean, like the amount of times
[00:01:16.200 --> 00:01:18.840]   people suggest using Bert for classification,
[00:01:18.840 --> 00:01:21.600]   it's cheap, like it's a path that is worth taking.
[00:01:21.600 --> 00:01:24.440]   Oh, Eric's rejoining, okay.
[00:01:24.440 --> 00:01:26.680]   - Bart and T5 are good,
[00:01:26.680 --> 00:01:29.640]   like they also got a host, you need to,
[00:01:29.640 --> 00:01:30.960]   like one thing is just switch,
[00:01:30.960 --> 00:01:32.680]   but like for OpenAI or routing,
[00:01:32.680 --> 00:01:36.520]   you have endpoints and hosted model and all that.
[00:01:36.520 --> 00:01:39.840]   So to do Bert, like you gotta go deploy it somewhere
[00:01:39.840 --> 00:01:42.160]   and handle that part.
[00:01:42.160 --> 00:01:44.000]   - Yeah.
[00:01:44.000 --> 00:01:47.600]   All right, Eric, we can see you.
[00:01:47.600 --> 00:01:48.880]   - Okay, perfect.
[00:01:48.880 --> 00:01:56.200]   So we'll start by going through the paper
[00:01:56.200 --> 00:02:01.200]   and then there's additional material out there on Bert.
[00:02:01.200 --> 00:02:05.720]   So depending how much time we have,
[00:02:05.720 --> 00:02:09.080]   we can look at some of the other things out there.
[00:02:09.080 --> 00:02:15.440]   So first of all, Bert stands for
[00:02:15.440 --> 00:02:19.400]   bi-directional encoder representations from transformers.
[00:02:19.400 --> 00:02:24.400]   So this is one of the first transformer papers,
[00:02:24.560 --> 00:02:28.520]   like I believe it was about a year after
