
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:05.320]   - Hello everyone, this is Tony
[00:00:05.320 --> 00:00:07.820]   with a special episode for you today.
[00:00:07.820 --> 00:00:10.380]   A special episode because we have a new book release
[00:00:10.380 --> 00:00:11.500]   this summer.
[00:00:11.500 --> 00:00:15.140]   Preachers and aspiring preachers will wanna know about it.
[00:00:15.140 --> 00:00:18.340]   Pastor John's book, "The Supremacy of God in Preaching"
[00:00:18.340 --> 00:00:21.980]   is now out as a hardcover for the very first time
[00:00:21.980 --> 00:00:23.940]   from our friends at Crossway Books.
[00:00:23.940 --> 00:00:25.260]   Here's the deal.
[00:00:25.260 --> 00:00:27.820]   If you order a print copy of this new printing
[00:00:27.820 --> 00:00:29.940]   of "The Supremacy of God in Preaching,"
[00:00:29.940 --> 00:00:32.660]   you'll receive a free copy of John Piper's other book
[00:00:32.660 --> 00:00:35.460]   I'm preaching, "Expository Exaltation,"
[00:00:35.460 --> 00:00:37.780]   free of charge to you.
[00:00:37.780 --> 00:00:39.620]   Two books I'm preaching for the price of one,
[00:00:39.620 --> 00:00:41.940]   available exclusively through our friends
[00:00:41.940 --> 00:00:46.340]   at Westminster Books online at WTSBooks.com,
[00:00:46.340 --> 00:00:49.140]   WTSBooks.com.
[00:00:49.140 --> 00:00:50.140]   Of these two preaching books,
[00:00:50.140 --> 00:00:52.020]   "The Supremacy of God in Preaching"
[00:00:52.020 --> 00:00:54.240]   and "Expository Exaltation,"
[00:00:54.240 --> 00:00:56.720]   Pastor John calls them bookends and quote,
[00:00:56.720 --> 00:00:59.380]   "The sum of what I want preachers to know
[00:00:59.380 --> 00:01:02.500]   "about the miracle of preaching," end quote.
[00:01:02.500 --> 00:01:04.100]   And you can get them both from Westminster Books
[00:01:04.100 --> 00:01:06.300]   for the price of one by the hardcover
[00:01:06.300 --> 00:01:07.900]   of "The Supremacy of God in Preaching"
[00:01:07.900 --> 00:01:10.840]   for 50% off, it's just $9.99.
[00:01:10.840 --> 00:01:13.260]   And with it, you'll get "Expository Exaltation,"
[00:01:13.260 --> 00:01:17.940]   a $30 book free of charge, all while supplies last.
[00:01:17.940 --> 00:01:19.000]   It's amazing.
[00:01:19.000 --> 00:01:20.180]   How is this possible?
[00:01:20.180 --> 00:01:22.620]   Well, it's made possible by the incredible generosity
[00:01:22.620 --> 00:01:24.980]   of Desiring God's ministry partners.
[00:01:24.980 --> 00:01:26.660]   And with that, today we have Pastor John
[00:01:26.660 --> 00:01:30.020]   reading his brief conclusion to "The Supremacy of God
[00:01:30.020 --> 00:01:31.100]   in Preaching."
[00:01:31.100 --> 00:01:32.980]   He did not record the full audio book, no,
[00:01:32.980 --> 00:01:36.180]   but he did record the conclusion for you,
[00:01:36.180 --> 00:01:37.860]   the APJ audience.
