
[00:00:00.000 --> 00:00:03.600]   I love sports. I love them so much I never want them to stop.
[00:00:03.600 --> 00:00:06.200]   But as the playoffs wind down, we get fewer games.
[00:00:06.200 --> 00:00:08.700]   And the sports aren't sporting like I want them to.
[00:00:08.700 --> 00:00:11.700]   But FanDuel lets me keep the sports going whenever I want.
[00:00:11.700 --> 00:00:15.600]   All I have to do is open the app and dream up bets any time I'm in the mood.
[00:00:15.600 --> 00:00:20.300]   And this summer, FanDuel is hooking up all customers with a boost or a bonus daily.
[00:00:20.300 --> 00:00:23.900]   That's right, there's something for everyone, every day, all summer long.
[00:00:23.900 --> 00:00:29.200]   So head over to fanduel.com/sportsfan and start making the most out of your summer.
[00:00:29.200 --> 00:00:33.100]   FanDuel, official sports betting partner of Major League Baseball.
[00:00:33.100 --> 00:00:38.400]   Must be 21+ and present in Arizona, Colorado, Connecticut, Iowa, Illinois, Indiana, Kansas, Kentucky,
[00:00:38.400 --> 00:00:43.200]   Louisiana, permitted parishes only, Massachusetts, Maryland, Michigan, New Jersey, New York, Ohio,
[00:00:43.200 --> 00:00:46.100]   Pennsylvania, Tennessee, Virginia, West Virginia, or Wyoming.
[00:00:46.100 --> 00:00:50.800]   FanDuel is offering online sports wagering in Kansas under an agreement with Kansas Star Casino, LLC.
[00:00:50.800 --> 00:00:53.800]   First online real money wager only. $10 first deposit required.
[00:00:53.800 --> 00:00:57.100]   Bonus issued is now withdrawable bonus bets that expire 7 days after receipt.
[00:00:57.100 --> 00:01:00.000]   Restrictions apply. See terms at sportsbook.fanduel.com.
[00:01:00.000 --> 00:01:06.200]   Gambling problem? Call 1-800-GAMBLER or visit fanduel.com/rg in Colorado, Iowa, Michigan, New Jersey, Ohio,
[00:01:06.200 --> 00:01:08.600]   Pennsylvania, Illinois, Kentucky, Tennessee, and Virginia.
[00:01:08.600 --> 00:01:14.900]   Call 1-800-NEXTSTEP or text NEXTSTEP to 53342 in Arizona, 1-888-789-7777
[00:01:14.900 --> 00:01:21.600]   or visit ccpg.org/chat in Connecticut, 1-800-9WITHIT in Indiana, 1-800-522-4700
[00:01:21.600 --> 00:01:26.700]   or visit ksgamblinghelp.com in Kansas, 1-877-770-STOP in Louisiana.
[00:01:26.700 --> 00:01:28.800]   Visit mdgamblinghelp.org in Maryland.
[00:01:28.800 --> 00:01:34.400]   Visit 1-800-GAMBLER.NET in West Virginia or call 1-800-522-4700 in Wyoming.
[00:01:34.400 --> 00:01:41.200]   Hope is here. Visit gamblinghelplinema.org or call 800-327-5050 for 24/7 support in Massachusetts
[00:01:41.200 --> 00:01:48.000]   or call 1-877-8HOPENY or text HOPENY in New York or visit oasas.ny.gov/gambling.
