
[00:00:00.000 --> 00:00:06.460]   I'm Cal Newport, and this is In Depth, a semi-regular series in which I talk to
[00:00:06.460 --> 00:00:12.880]   interesting people about the quest to cultivate deep life. Today's episode is brought to you by
[00:00:12.880 --> 00:00:18.320]   our presenting sponsor, Reclaim.ai. This is a product I'm actually really excited about. I mean,
[00:00:18.320 --> 00:00:24.460]   they use the word deep work when they describe it. So I'll come back a little later to tell you more
[00:00:24.460 --> 00:00:31.000]   about that. But what I want to tell you about right now is today's guest, the one and only
[00:00:31.000 --> 00:00:38.560]   Mr. Tim Ferriss. Tim, of course, rocketed to prominence with his 2007 book, The Four-Hour
[00:00:38.560 --> 00:00:44.660]   Workweek, which basically redefined my generation's relationship with work and meaning and the
[00:00:44.660 --> 00:00:49.980]   possibilities for building an interesting life, a major influence on my work for sure. He followed
[00:00:49.980 --> 00:00:54.660]   that up with a series of other massive bestsellers, including The Four-Hour Body, The Four-Hour
[00:00:54.660 --> 00:01:00.460]   Chef, Tools of Titans, and Tribes of Mentors. Most people probably know him today for the podcast
[00:01:00.460 --> 00:01:06.100]   he started right around the time he was wrapping up the four-hour series. It's called The Tim Ferriss
[00:01:06.100 --> 00:01:11.280]   Show, and it was one of the first big business interview sort of self-development podcast out
[00:01:11.280 --> 00:01:16.700]   there. Some people have called him The Oprah Podcast, and I see why. This show has been wildly
[00:01:16.700 --> 00:01:22.880]   successful. It's surpassed more than a billion downloads. Tim has interviewed countless major
[00:01:22.880 --> 00:01:29.240]   figures from Jane Goodall to Jerry Seinfeld to LeBron James, and his biggest get of all, of course,
[00:01:29.240 --> 00:01:36.340]   myself. More recently, Tim put out a card game. It's called Coyote, and he created it with one of the
[00:01:36.340 --> 00:01:42.960]   top designers in the game business, the same company that invented exploding kittens. The game is a blast.
[00:01:43.180 --> 00:01:49.820]   Okay, so given all of these things, what did Tim and I talk about in this discussion you're about
[00:01:49.820 --> 00:01:55.060]   to hear? Well, we started with Coyote. I wanted to know why did he build a card game, and more
[00:01:55.060 --> 00:02:02.100]   importantly, how does that world work? How do you become the top designer in the card game business?
[00:02:02.100 --> 00:02:07.820]   What does it take to really strike it big in game designing, and how is that different than what
[00:02:07.820 --> 00:02:12.360]   other people who try to strike it big in game designing don't succeed? What's the difference
[00:02:12.360 --> 00:02:18.500]   there? I'm just curious about that world, so we start there, but then we go deeper. Tim and I talk
[00:02:18.500 --> 00:02:26.120]   about his path to stardom. We talk about the autonomy and depth he had in his life circa the time when he
[00:02:26.120 --> 00:02:31.300]   was writing The 4-Hour Workweek, and then how his own success stripped some of that away, and his effort
[00:02:31.300 --> 00:02:38.320]   since then to get it back. We talk about his future plans for his podcast and for writing where he wants
[00:02:38.320 --> 00:02:44.920]   to go from here. We really get into some really interesting territory about one of the masters of
[00:02:44.920 --> 00:02:51.360]   this topic, how he feels, what he's thinking about, and what he wants to do. This is a must-listen
[00:02:51.360 --> 00:02:57.300]   episode if you have any interest in the deep life. Tim really is sort of the OG of the deep life as a
[00:02:57.300 --> 00:03:01.880]   concept, and he obviously has a lot of interesting things to say. He speaks from a place of deep
[00:03:01.880 --> 00:03:09.200]   deep experience. So anyways, let's get right into it. Without further ado, here is my conversation
