
[00:00:00.000 --> 00:00:05.000]   [PAUSE]
[00:00:05.000 --> 00:00:06.000]   Hi everyone.
[00:00:06.000 --> 00:00:11.000]   Welcome to the 224n Hugging Face Transformers tutorial.
[00:00:11.000 --> 00:00:17.000]   So this tutorial is just going to be about using the Hugging Face library.
[00:00:17.000 --> 00:00:22.000]   It's really useful and a super effective way of being able to use kind of some
[00:00:22.000 --> 00:00:24.000]   off-the-shelf NLP models,
[00:00:24.000 --> 00:00:28.000]   specifically models that are kind of transformer-based,
[00:00:28.000 --> 00:00:33.000]   and being able to use those for either your final project,
[00:00:33.000 --> 00:00:35.000]   your custom final project or something like that,
[00:00:35.000 --> 00:00:37.000]   just using it in the future.
[00:00:37.000 --> 00:00:41.000]   So these are -- it's a really helpful package to learn,
[00:00:41.000 --> 00:00:46.000]   and it interfaces really well with PyTorch in particular too.
[00:00:46.000 --> 00:00:51.000]   Okay, so first things first is in case there's anything else that you are
[00:00:51.000 --> 00:00:53.000]   missing from this kind of like tutorial,
[00:00:53.000 --> 00:00:56.000]   the Hugging Face documentation is really good.
[00:00:56.000 --> 00:01:01.000]   They also have lots of kind of tutorials and walkthroughs as well as other kind
[00:01:01.000 --> 00:01:04.000]   of like notebooks that you can play around with as well.
[00:01:04.000 --> 00:01:06.000]   So if you're ever wondering about something else,
[00:01:06.000 --> 00:01:08.000]   that's a really good place to look.
[00:01:08.000 --> 00:01:12.000]   Okay, so in the Colab, the first thing we're going to do that I already did
[00:01:12.000 --> 00:01:17.000]   but can maybe run again is just installing the Transformers Python package
[00:01:17.000 --> 00:01:20.000]   and then the Datasets Python package.
[00:01:20.000 --> 00:01:25.000]   So this corresponds to the Hugging Face Transformers and Datasets.
[00:01:25.000 --> 00:01:27.000]   And so those are really helpful.
[00:01:27.000 --> 00:01:31.000]   The Transformers is where we'll get a lot of these kind of pre-trained models
[00:01:31.000 --> 00:01:35.000]   from, and the Datasets will give us some helpful Datasets that we can
[00:01:35.000 --> 00:01:41.000]   potentially use for various tasks, so in this case, sentiment analysis.
[00:01:41.000 --> 00:01:45.000]   Okay, and so we'll use a bit of like a helper function for helping us
[00:01:45.000 --> 00:01:51.000]   understand what encoding is -- what encodings are actually happening as well.
[00:01:51.000 --> 00:01:57.000]   So we'll run this just to kind of kick things off and import a few more things.
[00:01:57.000 --> 00:02:03.000]   Okay, so first what we'll do is this is generally kind of like the step-by-step
