
[00:00:00.000 --> 00:00:00.960]   Hello, everyone.
[00:00:00.960 --> 00:00:04.520]   Welcome to my technical talk today about sequence models.
[00:00:04.520 --> 00:00:06.640]   Here's a preview of what's to come.
[00:00:06.640 --> 00:00:11.240]   First, we'll talk about how a neural network works,
[00:00:11.240 --> 00:00:13.000]   so also known as an RNN.
[00:00:13.000 --> 00:00:15.000]   Second, we'll zoom in--
[00:00:15.000 --> 00:00:17.460]   wow, saying zoom while on Zoom feels a little bit awkward.
[00:00:17.460 --> 00:00:23.000]   But we'll zoom in on the units of RNNs, LSTMs, and GRUs.
[00:00:23.000 --> 00:00:25.240]   Last, we'll look at more advanced RNNs,
[00:00:25.240 --> 00:00:29.920]   like the bidirectional RNN and deep RNNs.
[00:00:29.920 --> 00:00:33.520]   So I'm feeling funny, so let's start with a joke explaining
[00:00:33.520 --> 00:00:37.080]   why sequence models are useful.
[00:00:37.080 --> 00:00:39.920]   A human asks, what do we want?
[00:00:39.920 --> 00:00:43.100]   And a computer answers, natural language processing.
[00:00:43.100 --> 00:00:44.800]   I don't know about you, but I don't think
[00:00:44.800 --> 00:00:47.060]   natural language processing is in the top three things
[00:00:47.060 --> 00:00:47.920]   I want right now.
[00:00:47.920 --> 00:00:52.480]   Maybe not even my top 10, but anyhow, let's go with it.
[00:00:52.480 --> 00:00:55.420]   The human next asks, when do we want it?
[00:00:55.420 --> 00:00:56.840]   This is obviously a trick question,
[00:00:56.840 --> 00:01:00.480]   because humans, even with our relatively long attention
[00:01:00.480 --> 00:01:03.480]   spans, want everything immediately.
[00:01:03.480 --> 00:01:06.920]   By this point in the conversation,
[00:01:06.920 --> 00:01:08.600]   the computer has already forgotten
[00:01:08.600 --> 00:01:11.200]   what we were talking about and asks, when do we want what?
[00:01:11.200 --> 00:01:14.080]   Again, so that's the end of the joke.
[00:01:14.080 --> 00:01:17.900]   I wish Zoom had a laugh track or something to play here.
[00:01:17.900 --> 00:01:20.840]   The takeaway here is that a traditional neural network
[00:01:20.840 --> 00:01:24.640]   model can't follow dialogue or sequences of text well,
[00:01:24.640 --> 00:01:26.800]   which is why sequence models were invented.
[00:01:26.800 --> 00:01:35.720]   The basic sequence model is a recurrent neural network,
[00:01:35.720 --> 00:01:38.080]   so we'll start with that one.
[00:01:38.080 --> 00:01:42.280]   The GRU, LSTM, BiRNN, and DeepRNN,
[00:01:42.280 --> 00:01:44.000]   all of which we will be learning about next,
[00:01:44.000 --> 00:01:47.240]   are extensions of this basic RNN architecture.
[00:01:47.240 --> 00:01:51.280]   Let's start with an example.
[00:01:51.280 --> 00:01:54.480]   Imagine using an RNN for a named entity recognition
[00:01:54.480 --> 00:01:58.000]   problem, like recognize whether a word in a sentence
[00:01:58.000 --> 00:02:00.760]   is a person's name.
[00:02:00.760 --> 00:02:03.920]   In this example, the first word in the sentence or data set
[00:02:03.920 --> 00:02:05.440]   would be the input to an RNN.
[00:02:05.440 --> 00:02:13.200]   This first word is then passed to a hidden layer.
[00:02:13.200 --> 00:02:15.240]   We also pass in an initial vector
[00:02:15.240 --> 00:02:17.400]   that's all zero or randomly initialized
[00:02:17.400 --> 00:02:20.440]   to the same hidden layer.
[00:02:20.440 --> 00:02:23.200]   Inside the hidden layer, math happens and outputs
[00:02:23.200 --> 00:02:26.400]   an activation to pass on to the next hidden layer.
[00:02:26.400 --> 00:02:28.280]   We'll zoom into the math later when
[00:02:28.280 --> 00:02:31.760]   we learn about the recurrent neural unit.
[00:02:31.760 --> 00:02:36.680]   Next, multiple parameters are calculated,
[00:02:36.680 --> 00:02:38.280]   then more math happens.
[00:02:38.280 --> 00:02:41.840]   And the first word input vector of zeros and parameters
[00:02:41.840 --> 00:02:44.440]   are used to output a prediction.
[00:02:44.440 --> 00:02:46.500]   In the example of named entity recognition,
[00:02:46.500 --> 00:02:48.960]   the output would be zero or one.
[00:02:48.960 --> 00:02:52.060]   Zero if the word was not, and one
[00:02:52.060 --> 00:02:53.560]   if the word was a person's name.
