
[00:00:00.000 --> 00:00:06.040]   [ Silence ]
[00:00:06.040 --> 00:00:09.320]   Let's pick up here and we got to polish off the last part
[00:00:09.320 --> 00:00:13.480]   of this, the process dynamics in this hour.
[00:00:13.480 --> 00:00:16.480]   And I'm not going to spend a long time on this
[00:00:16.480 --> 00:00:21.640]   but the last thing has to do with P. In our series,
[00:00:21.640 --> 00:00:29.640]   remember a few weeks ago, the last letter in the acrostic is P
[00:00:29.640 --> 00:00:31.560]   to promote or permanentize.
[00:00:31.560 --> 00:00:34.320]   What are the necessary changes through the counseling elements
[00:00:34.320 --> 00:00:37.560]   of instruction, inducement, implementation, integration
[00:00:37.560 --> 00:00:40.840]   that we referred to several weeks ago as the eight I's.
[00:00:40.840 --> 00:00:44.400]   So instruction that is given through the homework
[00:00:44.400 --> 00:00:47.720]   that counselees do between the sessions.
[00:00:47.720 --> 00:00:50.800]   Sometimes you can give good instruction
[00:00:50.800 --> 00:00:52.960]   by giving really good homework.
[00:00:52.960 --> 00:00:55.240]   What are the benefits of that particular homework?
[00:00:55.240 --> 00:01:00.560]   Well, what it does is that it promotes the concept
[00:01:00.560 --> 00:01:01.720]   that people should be concerned
[00:01:01.720 --> 00:01:04.760]   about God's perspectives and solutions.
[00:01:04.760 --> 00:01:11.920]   It promotes the concept of that people should be concerned
[00:01:11.920 --> 00:01:15.960]   about God's perspectives and solutions, not just man.
[00:01:15.960 --> 00:01:21.800]   So your homework needs to always be biblically oriented.
[00:01:21.800 --> 00:01:23.600]   That doesn't mean you can't assign books
[00:01:23.600 --> 00:01:26.040]   that are extra biblical books.
[00:01:26.040 --> 00:01:30.480]   Hopefully they're based upon the Bible to read but primarily
[00:01:30.480 --> 00:01:32.480]   at the core of your homework, you're getting people
[00:01:32.480 --> 00:01:34.840]   into the Word of God, finding answers
[00:01:34.840 --> 00:01:37.680]   within the Word of God, that's our desire.
[00:01:37.680 --> 00:01:42.680]   It is also a way of teaching people how to use scriptures,
[00:01:42.680 --> 00:01:45.120]   teaching people how to use scriptures,
[00:01:45.120 --> 00:01:47.800]   how to handle them well.
[00:01:47.800 --> 00:01:49.840]   You'll find out a lot about your congregation
[00:01:49.840 --> 00:01:52.600]   and how they handle scripture by the homework that they do.
[00:01:52.600 --> 00:01:57.480]   It also sets a pattern for change and for action
[00:01:57.480 --> 00:02:01.920]   and change as well because as they complete their homework,
[00:02:01.920 --> 00:02:04.520]   they realize that the change is not just going
[00:02:04.520 --> 00:02:08.280]   to occur during one hour a week when you counsel
[00:02:08.280 --> 00:02:09.560]   because there are a lot of people who view
[00:02:09.560 --> 00:02:12.440]   that hour as magic hour of the week, all right.
[00:02:12.440 --> 00:02:14.480]   Well, I'm going to come together for the magic hour of the week.
[00:02:14.480 --> 00:02:16.640]   We've got counseling that hour.
[00:02:16.640 --> 00:02:18.160]   That's where I really change and grow.
[00:02:18.160 --> 00:02:20.240]   Well, they may change and grow during your counseling
[00:02:20.240 --> 00:02:23.960]   but when you give them homework, you're helping them
[00:02:23.960 --> 00:02:27.360]   understand that that change continues past
[00:02:27.360 --> 00:02:32.120]   outside of the counseling hour into the actual week itself.
[00:02:32.120 --> 00:02:35.160]   They can continue that change and growth.
[00:02:35.160 --> 00:02:39.880]   It also diminishes professional counselees.
[00:02:39.880 --> 00:02:41.480]   There are some people that would spend the rest
[00:02:41.480 --> 00:02:44.060]   of their life just meeting with you, you know that.
[00:02:44.060 --> 00:02:46.040]   They would, they would eat up all your time.
[00:02:46.040 --> 00:02:48.320]   No, no, no, you don't want that.
[00:02:48.320 --> 00:02:50.360]   Again, they may cling to your hope at first
[00:02:50.360 --> 00:02:52.440]   but you need to peel their fingers off of you
[00:02:52.440 --> 00:02:55.040]   and have them cling to the scriptures.
[00:02:55.040 --> 00:02:57.340]   And so you want to get them into the scriptures,
[00:02:57.340 --> 00:03:00.160]   solving problems in the scripture their way.
[00:03:00.160 --> 00:03:03.960]   Husbands, wives, parents, kids,
[00:03:03.960 --> 00:03:05.880]   that's what needs to be happening.
[00:03:05.880 --> 00:03:09.560]   So it diminishes the professional counselee.
[00:03:09.560 --> 00:03:13.400]   Homework also is a helpful means of gathering data.
[00:03:13.400 --> 00:03:16.480]   If they do their homework poorly
[00:03:16.480 --> 00:03:19.880]   or if they do it only partially,
[00:03:19.880 --> 00:03:22.320]   that tells you a lot about them, how lazy they are.
[00:03:22.320 --> 00:03:24.500]   There's so many other things going on in life.
[00:03:24.500 --> 00:03:26.520]   They're not really working on this particular problem.
[00:03:26.520 --> 00:03:28.560]   They want to come and talk about their problem
[00:03:28.560 --> 00:03:30.960]   and they want you to give them
[00:03:30.960 --> 00:03:32.920]   some kind of magical solution.
[00:03:32.920 --> 00:03:36.120]   And they may think that because you've had seminary training
[00:03:36.120 --> 00:03:37.880]   that you're automatically equipped
[00:03:37.880 --> 00:03:40.180]   with a bag of spiritual whiffle dust
[00:03:40.180 --> 00:03:42.440]   where you can dig into it and sprinkle it on their problem
[00:03:42.440 --> 00:03:43.680]   and all their problems will go away.
[00:03:43.680 --> 00:03:47.320]   No, that's not what happens here.
[00:03:47.320 --> 00:03:50.660]   They've got to be willing to work on their problems.
[00:03:50.660 --> 00:03:52.640]   And giving them homework and gathering data
[00:03:52.640 --> 00:03:54.520]   on how well they're doing the homework,
[00:03:54.520 --> 00:03:57.120]   homework helps to,
[00:03:57.120 --> 00:04:02.720]   it serves as a way to
[00:04:02.720 --> 00:04:07.080]   gather data on how well they're growing.
[00:04:08.760 --> 00:04:13.760]   Good homework then also tends to sustain motivation
[00:04:13.760 --> 00:04:17.800]   or momentum in the right direction
[00:04:17.800 --> 00:04:21.680]   as they do their homework and keep record of it
[00:04:21.680 --> 00:04:25.120]   and move on to bigger issues
[00:04:25.120 --> 00:04:28.860]   and resolve it in a God-honoring way.
[00:04:28.860 --> 00:04:32.120]   It also, good homework encourages concreteness.
[00:04:32.120 --> 00:04:37.120]   The more specific you can get your counselees to be,
[00:04:37.120 --> 00:04:39.720]   the more concrete you can get them to be,
[00:04:39.720 --> 00:04:41.280]   the quicker you're gonna see change.
[00:04:41.280 --> 00:04:42.320]   Jeff?
[00:04:42.320 --> 00:04:43.800]   >> It's a question back to number five.
[00:04:43.800 --> 00:04:45.280]   >> Yeah, number five.
[00:04:45.280 --> 00:04:48.600]   >> Gathering data, like if they don't do their homework,
[00:04:48.600 --> 00:04:49.560]   what's your philosophy?
[00:04:49.560 --> 00:04:51.720]   How many times do they have to come to you?
[00:04:51.720 --> 00:04:53.060]   >> Oh yeah. >> Not doing their homework.
[00:04:53.060 --> 00:04:54.800]   >> If they don't do their homework.
[00:04:54.800 --> 00:04:58.780]   When a person doesn't do their homework,
[00:04:58.780 --> 00:05:01.780]   the first time that happens, I'll reassign everything again.
[00:05:01.780 --> 00:05:04.360]   I'll say, hey, we're not gonna go anywhere
[00:05:04.360 --> 00:05:06.200]   until you get this done.
[00:05:06.200 --> 00:05:07.140]   So I'll reassign it.
[00:05:07.140 --> 00:05:09.700]   They come back and they still don't have it done,
