
[00:00:00.500 --> 00:00:19.960]   Hi everyone, thank you for joining us in today's REXIS, the inaugural REXIS track at the AI
[00:00:19.960 --> 00:00:25.280]   Engineer World's Fair. So today what I want to share about is what the future might look
[00:00:25.280 --> 00:00:32.360]   like when we try to merge recommendation systems and language models. So my wife looked
[00:00:32.360 --> 00:00:36.800]   at my slides and she's like, they're so plain. So therefore, I'll be giving a talk together
[00:00:36.800 --> 00:00:40.280]   with Latte and Mochi. You might have seen Mochi wandering the halls around somewhere,
[00:00:40.280 --> 00:00:45.100]   but there'll be a lot of doggos throughout these slides. I hope you enjoy. First, language
[00:00:45.100 --> 00:00:50.560]   modeling techniques are not new in recommendation systems. I mean, it started with World2Vac in
[00:00:50.560 --> 00:00:57.640]   2013. We started learning item embeddings across, from co-occurrences in user interaction sequences.
[00:00:57.640 --> 00:01:02.160]   And then after that, we started using GRU for REX. I don't know who here remembers recurrent
[00:01:02.160 --> 00:01:07.440]   neural networks, gated recurrent units. Yeah. So those were very short term, and we predict
[00:01:07.440 --> 00:01:12.980]   the next item from a short set of sequences. Then of course, transformers and attention came
[00:01:12.980 --> 00:01:18.660]   about, and we became better on attention on long-range dependencies. So that's where we
[00:01:18.660 --> 00:01:23.100]   started. Hey, you know, can we just process on everything in the user sequence, hundreds,
[00:01:23.100 --> 00:01:29.160]   2,000 item IDs long, and try to learn from that? And of course, now, today in this track,
[00:01:29.160 --> 00:01:33.480]   I wanted to share with you about three ideas that I think are worth thinking about. Semantic
[00:01:33.480 --> 00:01:40.580]   IDs, data augmentation, and unified models. So the first challenge we have is hash-based item
[00:01:40.580 --> 00:01:47.380]   IDs. Who here works on recommendation systems? So you probably know that hash-based item IDs
[00:01:47.380 --> 00:01:51.620]   actually don't encode the contents of the item itself. And then the problem is that every
[00:01:51.620 --> 00:01:56.000]   time you have a new item, you suffer from the cold start problem, which is that all you have
[00:01:56.000 --> 00:02:02.000]   to relearn about this item all over again. And therefore, then there's also sparsity, right,
[00:02:02.000 --> 00:02:05.580]   whereby you have a long set of tail items that have maybe one or two interactions, or even up
[00:02:05.580 --> 00:02:09.880]   10, but it's just not enough to learn. So recommendation systems have this issue of being
[00:02:09.880 --> 00:02:14.880]   very popularity bias. And they just struggle with cold start and sparsity. So the solution
[00:02:14.880 --> 00:02:22.300]   is semantic IDs that may even involve multimodal content. So here's an example of trainable multimodal
[00:02:22.300 --> 00:02:27.980]   semantic IDs from Kuaishou. So Kuaishou is kind of like TikTok or Xia Hongsu, it's a short video
[00:02:27.980 --> 00:02:31.900]   platform in China. I think it's the number two short video platform. You might have used their
[00:02:31.900 --> 00:02:36.860]   text-to-video model, Kling, which they released sometime last year. So the problem they had,
[00:02:36.860 --> 00:02:41.660]   you know, being a short video platform, users upload hundreds of millions of short videos every day.
[00:02:42.220 --> 00:02:47.660]   And it's really hard to learn from this short video. So how can we combine static content embeddings
[00:02:47.660 --> 00:02:54.700]   with dynamic user behavior? Here's how they did it with trainable multimodal semantic IDs. So I'm
[00:02:54.700 --> 00:03:01.100]   going to go through each step here. So this is the Kuaishou model. It's a standard two tower network.
[00:03:01.100 --> 00:03:10.060]   On the left, this is the embedding layer for the user, which is a standard sequence of IDs and the user ID.
[00:03:10.060 --> 00:03:14.300]   And on the right is the embedding layer for the item IDs. So these are fairly standard.
[00:03:14.300 --> 00:03:20.940]   What's new here is that they now take in content input. So all of these slides will be available
[00:03:20.940 --> 00:03:27.740]   online. Don't worry about it. I'll make it available right immediately after this. And to encode visual,
