
[00:00:00.040 --> 00:00:07.020]  oncé just over
[00:00:07.020 --> 00:00:27.920]   li li lucky. I for their
[00:00:27.920 --> 00:00:28.840]   Z play produce
[00:00:28.920 --> 00:00:57.740]   change
[00:00:57.740 --> 00:00:58.900]   tough I just dego creature Bou take I some at, and, and, and, or, especial lettingụ laisphere,iary,cribe,S,C,G,G,G. have a倍 or fun
[00:00:58.920 --> 00:01:16.320]   I teach how to fit into a world I don't want to live in.
[00:01:16.320 --> 00:01:18.300]   I just can't do it anymore.
[00:01:18.300 --> 00:01:21.920]   I can't train children to wait to be told what to do.
[00:01:21.920 --> 00:01:25.400]   I can't train people to drop what they're doing when a bell sounds.
[00:01:25.400 --> 00:01:28.920]   I can't persuade children to feel some justice in their lives.
[00:01:28.920 --> 00:01:28.920]   I can't persuade children to feel some justice in their lives.
[00:01:28.920 --> 00:01:28.920]   I can't persuade children to feel some justice in their lives.
[00:01:28.920 --> 00:01:28.920]   I can't persuade children to feel some justice in their lives.
[00:01:28.920 --> 00:01:28.920]   I can't persuade children to feel some justice in their lives.
[00:01:28.920 --> 00:01:28.920]   I can't persuade children to feel some justice in their lives.
[00:01:28.920 --> 00:01:28.920]   I can't persuade children to feel some justice in their lives.
[00:01:28.920 --> 00:01:28.920]   I can't persuade children to feel some justice in their lives.
[00:01:28.920 --> 00:01:28.920]   I can't persuade children to feel some justice in their lives.
[00:01:28.920 --> 00:01:28.920]   I can't persuade children to feel some justice in their lives.
[00:01:28.920 --> 00:01:58.940]   I can't persuade children to feel some justice in their lives.
[00:01:58.940 --> 00:01:58.940]   I can't persuade children to feel some justice in their lives.
[00:01:58.940 --> 00:01:58.940]   I can't persuade children to feel some justice in their lives.
[00:01:58.940 --> 00:01:58.940]   I can't persuade children to feel some justice in their lives.
[00:01:58.940 --> 00:01:58.940]   I can't persuade children to feel some justice in their lives.
[00:01:58.940 --> 00:01:58.940]   I can't persuade children to feel some justice in their lives.
[00:01:58.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:28.960]   I can't persuade children to feel some justice in their lives.
[00:02:28.960 --> 00:02:58.980]   I can't persuade children to feel some justice in their lives.
[00:02:58.980 --> 00:02:58.980]   I can't persuade children to feel some justice in their lives.
[00:02:58.980 --> 00:02:58.980]   I can't persuade children to feel some justice in their lives.
[00:02:58.980 --> 00:02:58.980]   I can't persuade children to feel some justice in their lives.
[00:02:58.980 --> 00:02:58.980]   I can't persuade children to feel some justice in their lives.
[00:02:59.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:29.000]   I can't persuade children to feel some justice in their lives.
[00:03:29.000 --> 00:03:59.020]   I can't persuade children to feel some justice in their lives.
[00:03:59.020 --> 00:03:59.020]   I can't persuade children to feel some justice in their lives.
[00:03:59.020 --> 00:03:59.020]   I can't persuade children to feel some justice in their lives.
[00:03:59.020 --> 00:03:59.020]   I can't persuade children to feel some justice in their lives.
[00:03:59.020 --> 00:03:59.020]   I can't persuade children to feel some justice in their lives.
[00:03:59.020 --> 00:03:59.020]   I can't persuade children to feel some justice in their lives.
[00:03:59.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:29.040]   I can't persuade children to feel some justice in their lives.
[00:04:29.040 --> 00:04:59.060]   I can't persuade children to feel some justice in their lives.
[00:04:59.060 --> 00:04:59.060]   I can't persuade children to feel some justice in their lives.
[00:04:59.060 --> 00:04:59.060]   I can't persuade children to feel some justice in their lives.
[00:04:59.060 --> 00:04:59.060]   I can't persuade children to feel some justice in their lives.
[00:04:59.060 --> 00:04:59.060]   I can't persuade children to feel some justice in their lives.
[00:04:59.060 --> 00:04:59.060]   I can't persuade children to feel some justice in their lives.
[00:04:59.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:29.080]   I can't persuade children to feel some justice in their lives.
[00:05:29.080 --> 00:05:59.100]   I can't persuade children to feel some justice in their lives.
[00:05:59.100 --> 00:05:59.100]   I can't persuade children to feel some justice in their lives.
[00:05:59.100 --> 00:05:59.100]   I can't persuade children to feel some justice in their lives.
[00:05:59.100 --> 00:05:59.100]   I can't persuade children to feel some justice in their lives.
[00:05:59.100 --> 00:05:59.100]   I can't persuade children to feel some justice in their lives.
[00:05:59.100 --> 00:05:59.100]   I can't persuade children to feel some justice in their lives.
[00:05:59.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:29.120]   I can't persuade children to feel some justice in their lives.
[00:06:29.120 --> 00:06:59.140]   I can't persuade children to feel some justice in their lives.
[00:06:59.140 --> 00:06:59.140]   I can't persuade children to feel some justice in their lives.
[00:06:59.140 --> 00:06:59.140]   I can't persuade children to feel some justice in their lives.
[00:06:59.140 --> 00:06:59.140]   I can't persuade children to feel some justice in their lives.
[00:06:59.140 --> 00:06:59.140]   I can't persuade children to feel some justice in their lives.
[00:06:59.140 --> 00:06:59.140]   I can't persuade children to feel some justice in their lives.
