
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.120]   - Welcome back to the podcast.
[00:00:06.120 --> 00:00:08.440]   We talked about entertainment on Friday,
[00:00:08.440 --> 00:00:11.960]   about how much entertainment is too much entertainment.
[00:00:11.960 --> 00:00:13.920]   And today we push the conversation forward
[00:00:13.920 --> 00:00:15.240]   a little bit further.
[00:00:15.240 --> 00:00:18.440]   What if entertainment has become an addiction?
[00:00:18.440 --> 00:00:20.400]   How do we get unstuck?
[00:00:20.400 --> 00:00:21.960]   Here's the email for today.
[00:00:21.960 --> 00:00:24.440]   Hello, Pastor John, my name is Cesar,
[00:00:24.440 --> 00:00:26.960]   and I am writing to you from Peru.
[00:00:26.960 --> 00:00:28.800]   I thank the Lord for the blessing
[00:00:28.800 --> 00:00:30.740]   that is your ministry to me.
[00:00:30.740 --> 00:00:32.680]   In the past three weeks,
[00:00:32.680 --> 00:00:35.800]   I've been disturbed by the following situation.
[00:00:35.800 --> 00:00:39.000]   I cannot break my addiction to entertainment.
[00:00:39.000 --> 00:00:41.120]   I'm convinced that the short-lived emotions
[00:00:41.120 --> 00:00:42.660]   of entertainment do not compare
[00:00:42.660 --> 00:00:46.540]   to the pleasures found in a deep life of communion with God.
[00:00:46.540 --> 00:00:49.000]   But I can play a video game for three hours
[00:00:49.000 --> 00:00:53.600]   and feel my emptiness and dissatisfaction as a result.
[00:00:53.600 --> 00:00:55.480]   But the next day, my desire for more entertainment
[00:00:55.480 --> 00:00:57.200]   is renewed and this has turned
[00:00:57.200 --> 00:01:00.520]   into a horrible, vicious cycle.
[00:01:00.520 --> 00:01:02.320]   I'm very stressed with this situation.
[00:01:02.320 --> 00:01:04.280]   I wanna grow spiritually.
[00:01:04.280 --> 00:01:07.240]   I do not wanna waste my life in trifles.
[00:01:07.240 --> 00:01:09.760]   Pastor John, what would you say to Cesar?
[00:01:09.760 --> 00:01:14.760]   - As I prayed for Cesar and what I might say to him,
[00:01:14.760 --> 00:01:20.840]   what seemed good to do is to take three of his statements
[00:01:20.840 --> 00:01:25.480]   and show how they're not accurate.
[00:01:25.480 --> 00:01:26.880]   Give me space here, give me time now.
[00:01:26.880 --> 00:01:29.480]   This is gonna sound a little blunt
[00:01:29.480 --> 00:01:33.840]   and how one of them points a way forward.
[00:01:33.840 --> 00:01:35.800]   Number one, he says,
[00:01:35.800 --> 00:01:39.520]   "I cannot break my addiction for entertainment."
[00:01:39.520 --> 00:01:42.480]   No, Cesar, that's not true.
[00:01:42.480 --> 00:01:46.360]   You can stop playing these games three hours a day,
[00:01:46.360 --> 00:01:47.760]   wasting your time.
[00:01:47.760 --> 00:01:51.500]   By labeling this habit an addiction,
[00:01:51.500 --> 00:01:54.680]   you might be giving yourself a partial pass.
[00:01:55.720 --> 00:01:58.920]   Whatever you think addiction means,
[00:01:58.920 --> 00:02:01.920]   it's probably not what you think it is.
