
[00:00:00.000 --> 00:00:04.760]   [intro music]
[00:00:04.760 --> 00:00:11.440]   All right, well, I thought we'd get started today with something I haven't done in recent weeks, but I miss which is a deep dive.
[00:00:11.440 --> 00:00:19.960]   The deep dive I want to do today is on the question, why are we burnt out?
[00:00:19.960 --> 00:00:27.600]   Now this deep dive is drawing from a New Yorker article that I published a couple weeks ago,
[00:00:27.600 --> 00:00:31.400]   it was a New Yorker article where I was introducing to the New Yorker audience
[00:00:31.400 --> 00:00:36.280]   this idea of slow productivity that we have talked about here on this show,
[00:00:36.280 --> 00:00:42.080]   but I was also using this article as an excuse to help refine my thinking on that topic.
[00:00:42.080 --> 00:00:49.320]   Now I opened that article talking about a bill that has been proposed in the US Congress.
[00:00:49.320 --> 00:00:53.480]   It was originally written by a California representative, Mark Takano,
[00:00:53.760 --> 00:00:59.840]   and has since been endorsed by the Congressional Progressive Caucus, that's a hundred different congressmen and women.
[00:00:59.840 --> 00:01:04.640]   And this was a bill that was arguing that the federal work week,
[00:01:04.640 --> 00:01:08.880]   so the federally recognized work week, should go down from 40 hours to 32.
[00:01:08.880 --> 00:01:11.960]   I opened my article talking about this bill.
[00:01:11.960 --> 00:01:16.720]   Now, reducing the federally recognized work week down to roughly four days
[00:01:16.720 --> 00:01:20.520]   would most directly impact people who are hourly workers,
[00:01:20.520 --> 00:01:26.440]   because technically what that means is that if you work beyond the federal work week number of hours,
[00:01:26.440 --> 00:01:27.800]   you have to get paid overtime.
[00:01:27.800 --> 00:01:32.200]   So salaried workers, and most knowledge worker types are salaried,
[00:01:32.200 --> 00:01:35.320]   wouldn't be directly impacted by this law.
[00:01:35.320 --> 00:01:37.880]   But as Representative Takano made clear,
[00:01:37.880 --> 00:01:47.120]   he also had overworked computer screen and email types in his mind when he put together this bill.
[00:01:47.120 --> 00:01:49.120]   If you change the federally recognized work week,
[00:01:49.120 --> 00:01:51.920]   there would be a pressure even on salaried positions
[00:01:51.920 --> 00:01:55.480]   to think about reducing the length of the work week.
[00:01:55.480 --> 00:01:56.840]   There would be other things that would happen,
[00:01:56.840 --> 00:02:00.040]   such as many government knowledge worker style jobs would go to that work week.
[00:02:00.040 --> 00:02:01.120]   There would be a lot of pressures.
[00:02:01.120 --> 00:02:04.800]   And he acknowledged this in quotes he had about the bill,
[00:02:04.800 --> 00:02:10.920]   that he was keeping these computer screen and email style workers in mind when he proposed this bill.
[00:02:10.920 --> 00:02:16.880]   He actually responded to my New Yorker article and emphasized that point.
[00:02:16.880 --> 00:02:18.320]   Yes, he had knowledge workers in mind,
[00:02:18.320 --> 00:02:21.920]   among other constituencies, of course, when writing that bill.
[00:02:21.920 --> 00:02:29.600]   All right, so why are we considering potentially a four-day work week?
[00:02:29.600 --> 00:02:31.120]   Well, the issue is burnout.
[00:02:31.120 --> 00:02:36.480]   If you dive into the data on what they're calling the great resignation,
[00:02:36.480 --> 00:02:37.840]   something which I've written about before,
[00:02:37.840 --> 00:02:39.920]   but if you dive into the data, what you see is,
[00:02:39.920 --> 00:02:43.120]   yes, there's a lot of people who are quitting their jobs,
[00:02:43.680 --> 00:02:46.640]   but not really among the ranks of knowledge workers,
[00:02:46.640 --> 00:02:51.520]   the heavy turnover seems to be happening more in service and hospitality type sectors.
[00:02:51.520 --> 00:02:53.760]   What we are seeing, the data is clear about this,
[00:02:53.760 --> 00:02:58.480]   in the knowledge work sector, the sector of people who use Zoom all day,
[00:02:58.480 --> 00:03:03.760]   what you are seeing there is maybe not a huge rash of quitting, but burnout on the rise.
[00:03:03.760 --> 00:03:08.080]   There's many different ways you can measure this that all seem to be coming together to the same point,
[00:03:08.080 --> 00:03:12.320]   which is knowledge workers are burning out.
[00:03:12.320 --> 00:03:15.040]   And this burnout got much worse during the pandemic.
[00:03:15.040 --> 00:03:21.120]   So this four-day work week was being proposed in part
[00:03:21.120 --> 00:03:26.880]   in response to the burnout that you're seeing among knowledge workers.
[00:03:26.880 --> 00:03:31.600]   So I opened my article on that point, but then I gave the kicker,
[00:03:31.600 --> 00:03:34.080]   which is, I don't think it's going to help them.
[00:03:34.080 --> 00:03:38.080]   I think there are clearly other sectors of the economy
[00:03:38.080 --> 00:03:40.480]   where reducing the recognized work week would be useful,
[00:03:41.840 --> 00:03:47.920]   could create good, but it's not going to solve what is burning out knowledge workers.
[00:03:47.920 --> 00:03:52.640]   All right, so well, this brings us to the question of what is burning out knowledge workers?
[00:03:52.640 --> 00:03:55.200]   If it's not, they have to work too long.
[00:03:55.200 --> 00:03:57.120]   What is it that is burning out knowledge workers?
[00:03:57.120 --> 00:04:01.280]   And here my argument was that you need to look past
[00:04:01.280 --> 00:04:08.160]   how many hours are you expected to work and instead look at what I call work volume.
[00:04:09.120 --> 00:04:13.680]   If you take an individual worker, what is the total number of commitments
[00:04:13.680 --> 00:04:17.360]   that is currently on their plate, be them big or small, major projects,
[00:04:17.360 --> 00:04:21.200]   just need to get back with someone with some information and everything in between.
[00:04:21.200 --> 00:04:24.400]   What is the total amount of commitments on their plate?
[00:04:24.400 --> 00:04:25.840]   This is the work volume.
[00:04:25.840 --> 00:04:33.280]   My argument is that when work volume gets too large, burnout follows.
[00:04:33.280 --> 00:04:35.680]   There's two reasons for this.
[00:04:35.680 --> 00:04:37.280]   The first reason is neurological.
[00:04:37.840 --> 00:04:41.440]   We actually have in our brain, and by we, I mean our species,
[00:04:41.440 --> 00:04:44.320]   because this is unique to Homo sapiens as far as we're concerned.
[00:04:44.320 --> 00:04:47.680]   We've studied similar primate cousins like macaque monkeys
[00:04:47.680 --> 00:04:49.520]   and cannot find the same brain region.
[00:04:49.520 --> 00:04:54.960]   We have a region in our brain that finds what makes humans humans that specializes
[00:04:54.960 --> 00:05:00.080]   in looking at what we need to get done and making a long-term plan.
[00:05:00.080 --> 00:05:02.720]   You know, it's getting cold.
[00:05:02.720 --> 00:05:06.400]   We need our cave to be ready for the winter,
[00:05:06.960 --> 00:05:09.520]   whatever that means in 100,000 years ago.
[00:05:09.520 --> 00:05:10.240]   Let's make a plan.
[00:05:10.240 --> 00:05:11.520]   Let's execute the plan.
[00:05:11.520 --> 00:05:13.600]   We're motivated to actually pursue the plan.
[00:05:13.600 --> 00:05:15.920]   We feel good when the plan is executed.
[00:05:15.920 --> 00:05:17.840]   This is fundamental to human nature.
[00:05:17.840 --> 00:05:21.680]   It is why, in some sense, this fundamental neurological productivity,
[00:05:21.680 --> 00:05:25.760]   why we were able to leverage our brains to really separate from other species, right?
[00:05:25.760 --> 00:05:30.800]   So we're wired to figure out how to do things, how to get things done and to execute it.
[00:05:30.800 --> 00:05:35.280]   When you have excessive work volume, what happens is you have more on your plate
[00:05:35.280 --> 00:05:41.680]   than this region of your brain can reasonably actually consider and plan how to get it done.
[00:05:41.680 --> 00:05:45.120]   You short-circuit those planning circuits.
[00:05:45.120 --> 00:05:48.240]   And when you short-circuit that, it feels really bad.
[00:05:48.240 --> 00:05:48.960]   You feel anxious.
[00:05:48.960 --> 00:05:50.080]   You feel unnerved.
[00:05:50.080 --> 00:05:52.480]   It's just like how we crave sugar.
[00:05:52.480 --> 00:05:58.080]   The metabolic processes of our body crave sugar because we have a evolutionary reason to do so.
[00:05:58.080 --> 00:06:02.640]   But when we eat seven Snickers bars, it completely overloads our body and bad things happen.
[00:06:02.640 --> 00:06:03.280]   So the same thing.
[00:06:03.280 --> 00:06:04.880]   We crave, "Give me something to do.
[00:06:04.880 --> 00:06:06.560]   Let me make a plan and execute and feel good."
[00:06:06.560 --> 00:06:09.520]   But if we put 75 things on our to-do list,
[00:06:09.520 --> 00:06:14.720]   we can't even conceive of how we're going to get all of those things done.
[00:06:14.720 --> 00:06:16.240]   We feel bad.
[00:06:16.240 --> 00:06:19.840]   All right, so there's a neurological source of burnout here.
[00:06:19.840 --> 00:06:22.320]   My editor at The New Yorker wisely cut that out.
[00:06:22.320 --> 00:06:25.920]   I did actually get into some of the actual brain stuff going on in the article,
[00:06:25.920 --> 00:06:27.440]   but it got in the way of the narrative.
[00:06:27.440 --> 00:06:28.000]   We cut it out.
[00:06:28.000 --> 00:06:31.680]   But there is, let's just rest assured, good neurological backing to this point.
[00:06:32.640 --> 00:06:37.440]   The second issue with excessive work volume, and maybe even the worst issue,
[00:06:37.440 --> 00:06:40.320]   is what I dub the overhead spiral.
[00:06:40.320 --> 00:06:42.480]   So here's the thing.
[00:06:42.480 --> 00:06:46.560]   Most non-trivial commitments that you make in a knowledge work setting
[00:06:46.560 --> 00:06:51.040]   bring with it a fixed amount of overhead.
[00:06:51.040 --> 00:06:55.280]   A fixed amount of overhead that involves you needing to collaborate with other people to get
[00:06:55.280 --> 00:06:56.480]   that work done.
[00:06:56.480 --> 00:06:59.600]   So if there's some project that you're supposed to be doing,
[00:06:59.600 --> 00:07:03.040]   there's some number of meetings you probably have to have with people who are involved.
[00:07:03.040 --> 00:07:06.880]   There's some number of phone calls or emails that have to be sent to gather all the information
[00:07:06.880 --> 00:07:09.360]   you will need to get that project done.
[00:07:09.360 --> 00:07:11.360]   This, of course, is very reasonable.
[00:07:11.360 --> 00:07:12.640]   Hey, I work in an organization.
[00:07:12.640 --> 00:07:13.440]   I'm trying to do this.
[00:07:13.440 --> 00:07:14.640]   I'm going to need help from other people.
[00:07:14.640 --> 00:07:16.240]   I'm going to need information from other people.
[00:07:16.240 --> 00:07:18.240]   So I will have to send some emails.
[00:07:18.240 --> 00:07:19.200]   I'll have to have some meetings.
[00:07:19.200 --> 00:07:20.160]   Completely reasonable.
[00:07:20.160 --> 00:07:25.440]   The issue is everything you are committed to do, however, brings with it its own,
[00:07:26.080 --> 00:07:29.680]   in isolation, reasonable amount of this overhead.
[00:07:29.680 --> 00:07:33.600]   So if you increase the number of things that are on your plate,
[00:07:33.600 --> 00:07:40.240]   you are responsible for the amount of this overhead begins to grow until it takes over
[00:07:40.240 --> 00:07:43.120]   most of your schedule until most of your work.
[00:07:43.120 --> 00:07:48.400]   Most of your work time is actually being dedicated to a the meetings that have to happen to
[00:07:48.400 --> 00:07:53.040]   touch base on every one of these projects and the back and forth emails and phone calls needed
[00:07:54.080 --> 00:07:55.840]   to keep each of these projects moving.
[00:07:55.840 --> 00:08:00.240]   And soon you find yourself doing almost nothing but this overhead work and very little actually
[00:08:00.240 --> 00:08:00.800]   gets done.
[00:08:00.800 --> 00:08:07.280]   We saw this very clearly early in the pandemic where what happened is when we shifted and by
[00:08:07.280 --> 00:08:10.880]   we I'm talking again, knowledge workers right now people who work in offices.
[00:08:10.880 --> 00:08:18.320]   And the pandemic began, it created a sudden increase in work volumes because a lot of
[00:08:18.320 --> 00:08:21.840]   things had to be figured out and changed when companies went remote.
