
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.760]   - Welcome friends to this episode
[00:00:06.760 --> 00:00:09.240]   of the Everyday Educator podcast.
[00:00:09.240 --> 00:00:10.960]   I'm your host, Lisa Bailey,
[00:00:10.960 --> 00:00:14.480]   and I am excited to spend some time with you today
[00:00:14.480 --> 00:00:17.760]   as we encourage one another, learn together,
[00:00:17.760 --> 00:00:20.440]   and ponder the delights and challenges
[00:00:20.440 --> 00:00:23.600]   that make homeschooling the adventure of a lifetime.
[00:00:23.600 --> 00:00:25.840]   Whether you're just considering
[00:00:25.840 --> 00:00:28.060]   this homeschooling possibility
[00:00:28.060 --> 00:00:32.160]   or deep into the daily delight of family learning,
[00:00:32.160 --> 00:00:35.960]   I believe you'll enjoy thinking along with us.
[00:00:35.960 --> 00:00:37.320]   But don't forget,
[00:00:37.320 --> 00:00:40.560]   although this online community is awesome,
[00:00:40.560 --> 00:00:45.420]   you'll find even closer support in a local CC community.
[00:00:45.420 --> 00:00:48.660]   So go to classicalconversations.com
[00:00:48.660 --> 00:00:52.580]   and find a community near you today.
[00:00:52.580 --> 00:00:54.520]   Well, listeners, I can't believe it
[00:00:54.520 --> 00:00:56.400]   and I bet you can't either.
[00:00:56.400 --> 00:00:58.960]   It's January again.
[00:00:58.960 --> 00:01:01.820]   A whole new year is here again.
[00:01:01.820 --> 00:01:06.400]   I hope that your family was blessed by fellowship
[00:01:06.400 --> 00:01:10.880]   and deep conversations over the holiday.
[00:01:10.880 --> 00:01:15.560]   But I know that a lot of us are looking 2024 in the face
[00:01:15.560 --> 00:01:17.960]   and thinking, oh my goodness,
[00:01:17.960 --> 00:01:19.600]   now I have to get started again.
[00:01:19.600 --> 00:01:22.080]   I don't know if I have it in me.
[00:01:22.080 --> 00:01:24.740]   You do, and we're here to encourage you.
[00:01:24.740 --> 00:01:28.140]   And I brought one of the best encouragers ever.
[00:01:28.140 --> 00:01:33.140]   One of my best classical learning compatriots,
[00:01:33.140 --> 00:01:36.340]   Jennifer Courtney, is here with me today.
[00:01:36.340 --> 00:01:38.600]   And we are gonna encourage you
[00:01:38.600 --> 00:01:41.500]   so that we are all ready to get started again.
[00:01:41.500 --> 00:01:44.280]   Jennifer, thank you for coming in today.
[00:01:44.280 --> 00:01:46.640]   - Oh, thanks for having me, I'm excited.
[00:01:46.640 --> 00:01:50.600]   - I know that you and I have been through
[00:01:50.600 --> 00:01:54.780]   a lot of ready, reset, go moments
[00:01:54.780 --> 00:01:56.800]   in our long years of homeschooling.
[00:01:56.800 --> 00:01:58.640]   How long, I want you to tell the listeners,
[00:01:58.640 --> 00:02:01.760]   how long have you been homeschooling?
[00:02:01.760 --> 00:02:05.960]   - So I have been homeschooling since 2005.
[00:02:05.960 --> 00:02:09.480]   Three of my kids have now graduated from my homeschool
[00:02:09.480 --> 00:02:11.960]   and one of them has graduated college
[00:02:11.960 --> 00:02:13.780]   and is in the workforce.
[00:02:13.780 --> 00:02:16.960]   - I think, listeners, that you're probably thinking,
[00:02:16.960 --> 00:02:20.600]   oh my gosh, she has the wisdom of the ages.
[00:02:20.600 --> 00:02:23.480]   And she does, she has lots of wisdom.
[00:02:23.480 --> 00:02:26.480]   But I happen to know that just like me,
[00:02:26.480 --> 00:02:30.040]   lots of Jennifer's wisdom was hard fought for.
[00:02:30.040 --> 00:02:34.080]   And we did a lot of the wrong thing
[00:02:34.080 --> 00:02:36.600]   on the way to finding a better way.
[00:02:36.600 --> 00:02:38.660]   Jennifer, would you agree?
[00:02:38.660 --> 00:02:41.720]   - Yes, and it seems like every year,
[00:02:41.720 --> 00:02:44.780]   you might think, well, I made a couple of mistakes
[00:02:44.780 --> 00:02:46.080]   in all the years I was homeschooling.
[00:02:46.080 --> 00:02:47.440]   But really the truth is,
[00:02:47.440 --> 00:02:50.120]   it's a little bit of an experiment as you go,
[00:02:50.120 --> 00:02:52.760]   finding out what works with that particular child
[00:02:52.760 --> 00:02:54.020]   in that particular season.
[00:02:54.020 --> 00:02:57.120]   And so usually, I love your title for this podcast
[00:02:57.120 --> 00:03:00.060]   because every year I found that I needed,
[00:03:00.060 --> 00:03:01.880]   I would make all these great plans in August
[00:03:01.880 --> 00:03:04.340]   and then after the Christmas holidays,
[00:03:04.340 --> 00:03:09.140]   I needed to definitely reset for the winter.
[00:03:09.140 --> 00:03:12.200]   - Yep, it's just there's something different
[00:03:12.200 --> 00:03:17.200]   about restarting at the beginning of the second semester
[00:03:17.200 --> 00:03:23.300]   than the beginning of the year when everybody's fresh.
[00:03:23.300 --> 00:03:26.200]   And it's like Anne Shirley used to say,
[00:03:26.200 --> 00:03:28.260]   every day is fresh with no mistakes.
[00:03:28.260 --> 00:03:32.560]   And so I always felt more like that
[00:03:32.560 --> 00:03:36.240]   at the end of the summer than I felt in January.
[00:03:36.240 --> 00:03:38.160]   So why is hard?
[00:03:38.160 --> 00:03:40.260]   Well, I gave it away for me.
[00:03:40.260 --> 00:03:42.820]   I was gonna ask you, which is harder
[00:03:42.820 --> 00:03:46.220]   for you beginning the year each fall
[00:03:46.220 --> 00:03:51.220]   or restarting the academics after the long holiday break?
[00:03:51.220 --> 00:03:53.320]   - For me, it was always restarting.
[00:03:53.320 --> 00:03:57.400]   I'm in your camp 'cause it felt like in August,
[00:03:57.400 --> 00:03:59.780]   I live in Oklahoma, it's hot.
[00:03:59.780 --> 00:04:02.460]   And by August, we had been through a lot of summer
[00:04:02.460 --> 00:04:04.520]   and we were tired of swimming
[00:04:04.520 --> 00:04:07.100]   and tired of not having a schedule.
[00:04:07.100 --> 00:04:09.700]   And we were eager to dive into our new books
[00:04:09.700 --> 00:04:12.040]   and use our new school supplies and all those things.
[00:04:12.040 --> 00:04:15.340]   So it was pretty easy to get us started
