
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:07.480]   - All right.
[00:00:07.480 --> 00:00:08.760]   Folks, welcome back.
[00:00:08.760 --> 00:00:10.960]   Most of you already know I am John Luskin
[00:00:10.960 --> 00:00:15.360]   and I'm gonna be moderating our withdrawal rate rumble today.
[00:00:15.360 --> 00:00:17.840]   We've got three very special guests.
[00:00:17.840 --> 00:00:20.480]   One was just interviewed about an hour ago,
[00:00:20.480 --> 00:00:22.320]   so he doesn't need much of an introduction,
[00:00:22.320 --> 00:00:25.120]   if he did anyway in the first place.
[00:00:25.120 --> 00:00:29.400]   That's Mr. Bengen, creator of the so-called 4% rule.
[00:00:30.080 --> 00:00:31.760]   And then on the other side of the panel,
[00:00:31.760 --> 00:00:33.080]   we have Christine Benz,
[00:00:33.080 --> 00:00:35.640]   Director of Personal Finance and Retirement Planning
[00:00:35.640 --> 00:00:37.080]   at Morningstar.
[00:00:37.080 --> 00:00:39.800]   Her latest book is entitled How to Retire,
[00:00:39.800 --> 00:00:43.800]   20 Lessons for a Happy, Successful, and Wealthy Retirement.
[00:00:43.800 --> 00:00:46.080]   Christine was recently on the Bogleheads
[00:00:46.080 --> 00:00:48.760]   on Investing podcast with host, Rick Ferry,
[00:00:48.760 --> 00:00:51.040]   talking about those 20 lessons.
[00:00:51.040 --> 00:00:54.200]   So you folks can check that out on boglecenter.net.
[00:00:54.200 --> 00:00:57.760]   That's episode 73, the most recent episode.
[00:00:57.760 --> 00:00:59.160]   And then last but not least,
[00:00:59.160 --> 00:01:00.720]   our gentleman in the middle,
[00:01:00.720 --> 00:01:04.560]   Carsten Biggern-Jeske, retired in 2018
[00:01:04.560 --> 00:01:06.600]   after a long career in academia, government,
[00:01:06.600 --> 00:01:08.280]   and corporate America.
[00:01:08.280 --> 00:01:10.440]   On his blog, Early Retirement Now,
[00:01:10.440 --> 00:01:14.080]   he writes on all topics related to personal finance.
[00:01:14.080 --> 00:01:16.920]   He's best known for his comprehensive series
[00:01:16.920 --> 00:01:19.000]   on safe withdrawal rates.
[00:01:19.000 --> 00:01:20.520]   Now folks, just like last time,
[00:01:20.520 --> 00:01:23.000]   I have some questions I prepared ahead of time,
[00:01:23.000 --> 00:01:24.520]   but I know you have your questions,
[00:01:24.520 --> 00:01:27.520]   so please write them down on piece of paper,
[00:01:27.520 --> 00:01:30.640]   hold them up, and then Mike Piper right over there,
[00:01:30.640 --> 00:01:32.360]   give us a wave, Mike.
[00:01:32.360 --> 00:01:35.200]   He is gonna be collecting them.
[00:01:35.200 --> 00:01:39.720]   All right, let's get started with a quick review
[00:01:39.720 --> 00:01:42.760]   of all your research on retirement planning.
[00:01:42.760 --> 00:01:44.680]   Again, we recently just had Mr. Bingen
[00:01:44.680 --> 00:01:46.640]   talk about the 4% rule.
[00:01:46.640 --> 00:01:49.200]   Let's turn it over to Carsten and Christine.
[00:01:49.200 --> 00:01:51.080]   Tell us a little bit about what you found
[00:01:51.080 --> 00:01:54.200]   about sustainable spending in retirement.
[00:01:54.200 --> 00:01:55.920]   - Yeah, so hi, I'm Carsten,
[00:01:55.920 --> 00:01:57.560]   and people often ask me,
[00:01:57.560 --> 00:02:00.240]   Carsten, you write so much about safe withdrawal rates,
[00:02:00.240 --> 00:02:01.240]   you must be really nervous
[00:02:01.240 --> 00:02:03.440]   about running out of money in retirement.
[00:02:03.440 --> 00:02:07.920]   And actually, it's the other way around.
[00:02:07.920 --> 00:02:10.000]   So people ask me, you must be really nervous
[00:02:10.000 --> 00:02:10.960]   about running out of money,
[00:02:10.960 --> 00:02:13.440]   and I say, no, it's actually the other way around,
[00:02:13.440 --> 00:02:14.960]   by doing your analysis right,
[00:02:14.960 --> 00:02:16.200]   and looking at your numbers,
[00:02:16.200 --> 00:02:17.240]   and looking at your plan,
[00:02:17.240 --> 00:02:20.840]   and kicking the tires from every possible angle
[00:02:20.840 --> 00:02:22.840]   that gives you more confidence to retire,
[00:02:22.840 --> 00:02:23.800]   and gives you more courage
[00:02:23.800 --> 00:02:25.680]   to actually take money out of your account, right?
[00:02:25.680 --> 00:02:27.800]   So unlike maybe some other fire bloggers,
[00:02:27.800 --> 00:02:29.520]   I actually take money out of my account.
[00:02:29.520 --> 00:02:31.480]   So I get a little bit of revenue from my blog,
[00:02:31.480 --> 00:02:34.320]   but most of my retirement spending
[00:02:34.320 --> 00:02:36.120]   comes out of my portfolio.
[00:02:36.120 --> 00:02:38.920]   And so when I got ready to retire,
[00:02:38.920 --> 00:02:41.480]   I mean, obviously I knew about Bill's work, right?
[00:02:41.480 --> 00:02:45.840]   It's legendary, and it's not Bill's fault,
[00:02:45.840 --> 00:02:48.200]   but it was too generic for me personally, right?
[00:02:48.200 --> 00:02:50.840]   I'm not a 30-year traditional retiree,
[00:02:50.840 --> 00:02:53.440]   retiring at age 65 with a flat spending profile.
[00:02:53.440 --> 00:02:55.520]   I had all sorts of other parameters,
[00:02:55.520 --> 00:02:58.480]   longer horizon, some positive cash flows,
[00:02:58.480 --> 00:03:01.160]   some negative cash flows in the future, right?
[00:03:01.160 --> 00:03:02.240]   I had a bequest motive.
[00:03:02.240 --> 00:03:04.680]   I don't want to run out of money after 30 years,
[00:03:04.680 --> 00:03:06.440]   because that would still be considered a success
[00:03:06.440 --> 00:03:08.800]   in some retirement calculators.
[00:03:08.800 --> 00:03:12.240]   So I needed to personalize what I do
[00:03:12.240 --> 00:03:13.800]   for my personal retirement.
[00:03:13.800 --> 00:03:14.720]   And some people say,
[00:03:14.720 --> 00:03:19.160]   obviously 4% rule is a good starting point, and it is,
[00:03:19.160 --> 00:03:21.240]   but these personal parameters,
[00:03:21.240 --> 00:03:22.640]   they can shift it all the way down
[00:03:22.640 --> 00:03:24.080]   to maybe three and a quarter percent
[00:03:24.080 --> 00:03:25.680]   for somebody who is 30 years old
[00:03:25.680 --> 00:03:28.640]   and has a 60 or 65-year horizon,
[00:03:28.640 --> 00:03:30.640]   or you could go up all the way up to 5%
[00:03:30.640 --> 00:03:32.560]   for somebody who retires a little bit later
[00:03:32.560 --> 00:03:35.160]   who has social security right around the corner.
[00:03:35.160 --> 00:03:37.320]   And so I wanted to do that exercise right.
