
[00:00:00.000 --> 00:00:05.240]   I write the script in December, January, Josh Arnett, Marlee Shelton, come down, fly Frank in,
[00:00:05.240 --> 00:00:08.420]   shooting for 10 hours on my green screen. We shoot that opening sequence.
[00:00:08.420 --> 00:00:13.080]   Incredible opening sequence. And the visual look, we've never seen that. I want to just take this
[00:00:13.080 --> 00:00:17.460]   and make it move. I just want the comic to move. Any other studio would just go make it look like
[00:00:17.460 --> 00:00:23.520]   any gritty crime movie and they would miss the point that the visual is half of it. I want it
[00:00:23.520 --> 00:00:26.920]   to look just like this because it would be the boldest movie anyone's seen because that's how
[00:00:26.920 --> 00:00:30.360]   it reads when I read the book. It's like, if this was moving, it would be the most phenomenal movie.
[00:00:30.360 --> 00:00:36.260]   Just by being around him and working with him, you get, by osmosis, you learn stuff.
[00:00:36.260 --> 00:00:42.480]   And it just ups your game because they're just swing way beyond you. Jim Cameron was like that.
[00:00:42.480 --> 00:00:45.500]   So like when I first met him, I was trying to impress the hell out of him, you know,
[00:00:45.500 --> 00:00:48.200]   because I was such a big fan. I was about to go do Desperado and I went, hey,
[00:00:48.200 --> 00:00:52.660]   I just took a three-day Steadicam course because I can't afford a Steadicam operator. So I'm going
[00:00:52.660 --> 00:00:57.220]   to operate Steadicam myself on Desperado. Now, if he was just my peer, he'd say, oh,
[00:00:57.220 --> 00:01:01.160]   I did the same thing and I'm going to do the same thing. That would be like hanging out with somebody
[00:01:01.160 --> 00:01:04.740]   of your ilk, but you don't, you want somebody who's above that. Do you know what he said? He goes,
[00:01:04.740 --> 00:01:10.820]   I bought a Steadicam, but not to operate it. I'm going to take it apart and design a better one.
[00:01:10.820 --> 00:01:17.860]   Us mere mortals trying to learn how to operate the camera. He's designing all new systems. That's the guy
[00:01:17.860 --> 00:01:21.900]   you want to hang out with. Not someone who's doing what you're doing. We put so much of the world
[00:01:21.900 --> 00:01:25.980]   around them. Like when you see the city, we put like a blue screen way in the back to just make the
[00:01:25.980 --> 00:01:31.340]   city keep going. But we built the sets there, the town, we built the real set. So everything was very
[00:01:31.340 --> 00:01:38.300]   tangible and real. And that way she had to fit into that world and be as real as that. Because if it was
[00:01:38.300 --> 00:01:42.640]   all done in CG, well, then now you can fudge everything. But if you put her in a real environment,
[00:01:42.640 --> 00:01:47.060]   that's a real challenge. And just like with our movies, you watch it all fall apart. You watch this
[00:01:47.060 --> 00:01:51.400]   thing blow up. You watch this thing not work. Everything just falls apart in front of your
[00:01:51.400 --> 00:01:56.440]   face. Then that's when you roll up your sleeves and creatively figure out a way around it. And by
[00:01:56.440 --> 00:02:01.100]   the end, you have a result that's better than what you sought out. Sift through the ashes of your
[00:02:01.100 --> 00:02:05.140]   failure and you'll find the key to your next success is in there. But if you're not looking for it,
[00:02:05.140 --> 00:02:13.260]   you don't find it. The following is a conversation with Robert Rodriguez, a legendary filmmaker and creator
[00:02:13.260 --> 00:02:20.600]   of Sin City, El Mariachi, Desperado, Spy Kids, Machete, From Dusk Till Dawn, Alita, Battle Angel,
[00:02:20.600 --> 00:02:27.780]   The Faculty, and many more. Robert inspired a generation of independent filmmakers with his
[00:02:27.780 --> 00:02:35.440]   first film, El Mariachi, that he famously made for just $7,000. On that film, and many since,
[00:02:35.880 --> 00:02:42.800]   he was not only the director, he was also the writer, producer, cinematographer, editor, visual effects
[00:02:42.800 --> 00:02:50.800]   supervisor, sound designer, composer, basically the full stack of filmmaking. He has shown incredible
[00:02:50.800 --> 00:02:58.160]   versatility across genres, including action, horror, family films, and sci-fi. With some epic collaborations
[00:02:58.160 --> 00:03:06.400]   with Quentin Tarantino, James Cameron, and many other legendary actors and filmmakers. He has often operated at the
[00:03:06.400 --> 00:03:14.880]   technological cutting edge, pioneering using HD filmmaking, digital backlots, and 3D tech. And always, through all of that,
[00:03:14.880 --> 00:03:23.340]   he's been a champion of independent filmmaking, running his own studio here in Austin, Texas, which, in many ways, is very far away
[00:03:23.340 --> 00:03:31.440]   from Hollywood. He's building a new thing now, called Brass Knuckle Films, where he's opening up the filmmaking
[00:03:31.440 --> 00:03:39.680]   process so that fans can be a part of it, as he creates his next four action films. I'll probably go hang out at his
[00:03:39.680 --> 00:03:47.340]   film studio a bunch, as this is all coming to life. His work has inspired a very large number of people, including
[00:03:47.340 --> 00:03:54.300]   me, to be more creative in whatever pursuit you take on in life, and have fun doing it.
[00:03:54.300 --> 00:03:57.440]   This is the Lex Friedman Podcast. To support
[00:03:57.440 --> 00:04:01.220]   it, please check out our sponsors in the description. And now,
[00:04:01.220 --> 00:04:05.020]   dear friends, here's Robert Rodriguez.
[00:04:05.020 --> 00:04:07.520]   Has there been a
[00:04:07.520 --> 00:04:11.520]   time when there was like one take, and you only have one take to get it
[00:04:11.520 --> 00:04:15.360]   right? Oh, all the time, where you're just like, or just you know how long it'll
[00:04:15.360 --> 00:04:19.620]   take to reset, and you're just, but then you know what you, you, you gotta just work
[00:04:19.620 --> 00:04:22.160]   with what you got, you know, you gotta look with, work with your results.
[00:04:22.160 --> 00:04:24.220]   You get nervous, or no, in that moment?
[00:04:24.220 --> 00:04:29.020]   Oh, yeah, you're, you're nervous going like, just, I hope it goes off, because then, to fix
[00:04:29.020 --> 00:04:32.980]   it, I'll have to go do a bunch of other steps, which we don't have time for. But a lot of times,
[00:04:32.980 --> 00:04:36.800]   you know, I've just learned that if something happens, it's just meant to be that way.
[00:04:36.800 --> 00:04:41.400]   And, uh, and I got used to doing things in one take, and just living with it, it didn't bother
[00:04:41.400 --> 00:04:48.180]   me. One movie, it was even a low-budget movie, they had, um, rigged a car to implode, because
[00:04:48.180 --> 00:04:51.040]   I was going to throw a guy at it. So we needed a car to implode, and then we're going to throw
[00:04:51.040 --> 00:04:57.100]   them and marry it together, right? And, um, the stunt, and the, the car guy goes, yeah, we're
[00:04:57.100 --> 00:05:01.480]   going to have three cars rigged. Three cars? Why are you not, well, in case one doesn't
[00:05:01.480 --> 00:05:03.700]   work, and then we have a second one, I have to throw them. We said, we don't have all night
[00:05:03.700 --> 00:05:07.760]   to go shoot take after take. We're doing just, just get one car, and if it doesn't work, we'll
[00:05:07.760 --> 00:05:11.800]   figure it out. You know, because you don't have time to do it again sometimes. It's such a long
[00:05:11.800 --> 00:05:16.320]   setup. So I'll go, no, I'm, I'm good with just going, what, in a grindhouse movie, they only had
[00:05:16.320 --> 00:05:22.220]   one take, so that'll make it more authentic. When it all goes to shit, when it fails, you just,
[00:05:22.220 --> 00:05:26.980]   what's the next thought? So I'll tell you, two things happen on Just Till Done. First was,
[00:05:26.980 --> 00:05:31.560]   okay, you know how those explosions, when somebody walks away in slow motion from an explosion,
[00:05:31.560 --> 00:05:35.980]   that's become kind of, you know, that started with Desperado? Desperado's the first. If you
[00:05:35.980 --> 00:05:39.700]   look at all the montages, Desperado's the first. That's right. That is the meme. Because it was an
[00:05:39.700 --> 00:05:43.880]   accident, it was just supposed to be, it was just two grenades, not a nuclear bomb. He throws them
[00:05:43.880 --> 00:05:46.860]   over the side, and I just wanted, like, some body parts or, you know, something to fly up, some
[00:05:46.860 --> 00:05:51.920]   shrapnel. It literally says shrapnel, and my effects guy was so ragged, running so ragged, we get to
[00:05:51.920 --> 00:05:56.920]   there, and I go, do you have any body parts of stuff we can throw up, or something you can shoot up?
[00:05:56.920 --> 00:06:01.460]   Pat, I didn't realize it's so high to get past that second floor. He's like, no, I don't. I can give
[00:06:01.460 --> 00:06:06.660]   you a fireball. I can give you a nice, you know, fireball with propane, but it burns away really
[00:06:06.660 --> 00:06:11.720]   quick. Like, how fast? Like that, but it'll be big and orange. Okay, we'll shoot it in slow motion,
[00:06:11.720 --> 00:06:16.680]   so it lasts a little longer, because it just goes poof. So I told the actors, I know how big this
[00:06:16.680 --> 00:06:21.740]   fireball is going to be, but just walk really fast, and just look real determined, and then just keep
[00:06:21.740 --> 00:06:26.360]   walking. Don't stop and turn around, because you might get your eyebrows singed. So they take off,
[00:06:26.360 --> 00:06:31.440]   and boom, it goes, and in slow motion, it looks great, right? I remember showing it Jim Cameron
[00:06:31.440 --> 00:06:36.080]   before it came out, and his hand went up, like, you've never seen that before, you know. Six months
[00:06:36.080 --> 00:06:41.080]   later, Dust Till Dawn came out. So I liked how much it looked so much that in Dust Till Dawn,
[00:06:41.080 --> 00:06:46.020]   I did it again. So those movies came out within six months of each other. That's why it turned into a
[00:06:46.020 --> 00:06:52.220]   thing, because people saw it. And so I thought, how about for the opening of George Clooney and Quentin
[00:06:52.220 --> 00:06:58.140]   walking out of the gas station, that we have the whole place just blowing up, and they just keep
[00:06:58.140 --> 00:07:01.580]   talking like it's not happening. You know, like, take it another step further, so I'm not just doing
[00:07:01.580 --> 00:07:07.060]   the same thing. Okay, that one, it's like, okay, you're going to walk out, and it's all in one take.
[00:07:07.060 --> 00:07:11.380]   So we're only going to do one take. We're going to blow the thing up. We're going to start with just,
[00:07:11.380 --> 00:07:14.440]   you know, some smaller explosions, and then when they're further away, and it's safer, then we'll do
