
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:09.880]   Before we start, I gave the same talk at Stanford
[00:00:09.880 --> 00:00:10.900]   quite recently.
[00:00:10.900 --> 00:00:13.440]   I suggested to the people inviting me,
[00:00:13.440 --> 00:00:15.680]   I could just give one talk and both audiences come,
[00:00:15.680 --> 00:00:18.320]   but they will prefer it as two separate talks.
[00:00:18.320 --> 00:00:20.620]   So if you went to this talk recently,
[00:00:20.620 --> 00:00:22.400]   I suggest you leave now.
[00:00:22.400 --> 00:00:24.280]   You won't learn anything new.
[00:00:24.280 --> 00:00:25.120]   Okay.
[00:00:28.440 --> 00:00:30.920]   What I'm gonna do is combine some recent ideas
[00:00:30.920 --> 00:00:33.960]   in neural networks to try to explain
[00:00:33.960 --> 00:00:36.880]   how a neural network could represent part-whole hierarchies
[00:00:36.880 --> 00:00:41.040]   without violating any of the basic principles
[00:00:41.040 --> 00:00:42.220]   of how neurons work.
[00:00:42.220 --> 00:00:47.640]   And I'm gonna explain these ideas
[00:00:47.640 --> 00:00:50.340]   in terms of an imaginary system.
[00:00:50.340 --> 00:00:52.440]   I started writing a design document for a system
[00:00:52.440 --> 00:00:54.400]   and in the end, I decided the design document
[00:00:54.400 --> 00:00:56.280]   by itself was quite interesting.
[00:00:56.280 --> 00:00:58.840]   So this is just vaporware, it's stuff that doesn't exist.
[00:00:58.840 --> 00:00:59.960]   Little bits of it now exist,
[00:00:59.960 --> 00:01:04.060]   but somehow I find it easy to explain the ideas
[00:01:04.060 --> 00:01:05.960]   in the context of an imaginary system.
[00:01:05.960 --> 00:01:14.400]   So most people now studying neural networks
[00:01:14.400 --> 00:01:16.800]   are doing engineering and they don't really care
[00:01:16.800 --> 00:01:18.800]   if it's exactly how the brain works.
[00:01:18.800 --> 00:01:20.280]   They're not trying to understand how the brain works,
[00:01:20.280 --> 00:01:22.760]   they're trying to make cool technology.
[00:01:22.760 --> 00:01:25.380]   And so a hundred layers is fine in a ResNet,
[00:01:25.380 --> 00:01:27.980]   weight sharing is fine in a convolutional neural net.
[00:01:27.980 --> 00:01:32.760]   Some researchers, particularly computational neuroscientists
[00:01:32.760 --> 00:01:35.680]   investigate neural networks, artificial neural networks
[00:01:35.680 --> 00:01:36.680]   in an attempt to understand
[00:01:36.680 --> 00:01:38.800]   how the brain might actually work.
[00:01:38.800 --> 00:01:41.640]   I think we still got a lot to learn from the brain
[00:01:41.640 --> 00:01:43.720]   and I think it's worth remembering
[00:01:43.720 --> 00:01:45.200]   that for about half a century,
[00:01:45.200 --> 00:01:48.200]   the only thing that kept research on neural networks going
[00:01:48.200 --> 00:01:49.880]   was the belief that it must be possible
[00:01:49.880 --> 00:01:51.640]   to make these things learn complicated things
[00:01:51.640 --> 00:01:52.740]   'cause the brain does.
[00:01:53.500 --> 00:01:58.500]   So every image has a different parse tree,
[00:01:58.500 --> 00:02:02.680]   that is the structure of the holes
[00:02:02.680 --> 00:02:03.980]   in the parts in the image.
[00:02:03.980 --> 00:02:07.760]   And in a real neural network,
[00:02:07.760 --> 00:02:09.560]   you can't dynamically allocate,
[00:02:09.560 --> 00:02:11.320]   you can't just grab a bunch of neurons and say,
[00:02:11.320 --> 00:02:15.000]   "Okay, you now represent this,"
[00:02:15.000 --> 00:02:16.800]   because you don't have random access memory.
[00:02:16.800 --> 00:02:19.280]   You can't just set the weights of the neurons
[00:02:19.280 --> 00:02:20.520]   to be whatever you like.
[00:02:20.520 --> 00:02:22.900]   What a neuron does is determined by its connections
[00:02:22.900 --> 00:02:26.320]   and they only change slowly, at least probably,
[00:02:26.320 --> 00:02:27.620]   mostly they change slowly.
[00:02:27.620 --> 00:02:30.500]   So the question is,
[00:02:30.500 --> 00:02:33.260]   if you can't change what neurons do quickly,
[00:02:33.260 --> 00:02:35.660]   how can you represent a dynamic parse tree?
[00:02:35.660 --> 00:02:42.080]   In symbolic AI, it's not a problem.
[00:02:42.080 --> 00:02:44.060]   You just grab a piece of memory,
[00:02:44.060 --> 00:02:45.700]   that's what it normally amounts to,
[00:02:45.700 --> 00:02:48.740]   and say, "This is gonna represent a node in the parse tree
[00:02:48.740 --> 00:02:50.860]   and I'm gonna give it pointers to other nodes,
[00:02:50.860 --> 00:02:53.020]   other bits of memory that represent other nodes."
[00:02:53.020 --> 00:02:54.660]   So there's no problem.
[00:02:54.660 --> 00:02:55.900]   For about five years,
[00:02:55.900 --> 00:02:58.620]   I played with a theory called capsules,
[00:02:58.620 --> 00:03:00.620]   where you say,
[00:03:00.620 --> 00:03:03.340]   "Because you can't allocate neurons on the fly,
[00:03:03.340 --> 00:03:05.240]   you're gonna allocate them in advance."
[00:03:05.240 --> 00:03:06.700]   So we're gonna take groups of neurons
[00:03:06.700 --> 00:03:07.740]   and we're gonna allocate them
[00:03:07.740 --> 00:03:10.600]   to different possible nodes in a parse tree.
[00:03:10.600 --> 00:03:13.700]   And most of these groups of neurons for most images
[00:03:13.700 --> 00:03:17.300]   are gonna be silent, a few are gonna be active.
[00:03:17.300 --> 00:03:18.500]   And then the ones that are active,
[00:03:18.500 --> 00:03:21.340]   we have to dynamically hook them up into a parse tree.
[00:03:21.340 --> 00:03:22.940]   So we have to have a way of rooting
[00:03:22.940 --> 00:03:25.240]   between these groups of neurons.
[00:03:25.240 --> 00:03:28.260]   So that was the capsules theory.
[00:03:28.260 --> 00:03:31.780]   And I had some very competent people working with me
[00:03:31.780 --> 00:03:33.340]   who actually made it work,
[00:03:33.340 --> 00:03:36.960]   but it was tough going.
[00:03:36.960 --> 00:03:38.640]   My view is that some ideas want to work
[00:03:38.640 --> 00:03:40.140]   and some ideas don't want to work.
[00:03:40.140 --> 00:03:42.000]   And capsules was sort of in between.
[00:03:42.000 --> 00:03:43.740]   Things like backpropagation just wanna work,
[00:03:43.740 --> 00:03:45.100]   you try them and they work.
[00:03:46.020 --> 00:03:49.020]   There's other ideas I've had that just don't wanna work.
[00:03:49.020 --> 00:03:52.060]   Capsules was sort of in between and we got it working.
[00:03:52.060 --> 00:03:53.980]   But I now have a new theory
[00:03:53.980 --> 00:03:57.740]   that could be seen as a funny kind of capsules model
[00:03:57.740 --> 00:03:59.860]   in which each capsule is universal.
[00:03:59.860 --> 00:04:02.540]   That is instead of a capsule being dedicated
[00:04:02.540 --> 00:04:04.640]   to a particular kind of thing,
[00:04:04.640 --> 00:04:07.100]   each capsule can represent any kind of thing.
[00:04:07.100 --> 00:04:11.500]   But hardware still comes in capsules,
[00:04:11.500 --> 00:04:13.920]   which are also called embedding sometimes.
[00:04:14.640 --> 00:04:19.640]   So the imaginary system I'll talk about is called Glom.
[00:04:19.640 --> 00:04:25.240]   And in Glom, hardware gets allocated to columns
[00:04:25.240 --> 00:04:29.920]   and each column contains multiple levels of representation
[00:04:29.920 --> 00:04:32.400]   of what's happening in a small patch of the image.
[00:04:32.400 --> 00:04:35.240]   So within a column,
[00:04:35.240 --> 00:04:38.120]   you might have a lower level representation
[00:04:38.120 --> 00:04:39.480]   that says it's a nostril
[00:04:39.480 --> 00:04:42.280]   and the next level up might say it's a nose
[00:04:42.280 --> 00:04:43.680]   and the next level up might say a face,
[00:04:43.680 --> 00:04:45.120]   the next level up a person
[00:04:45.120 --> 00:04:47.120]   and the top level might say it's a party.
[00:04:47.120 --> 00:04:48.680]   That's what the whole scene is.
[00:04:48.680 --> 00:04:52.760]   And the idea for representing part-whole hierarchies
[00:04:52.760 --> 00:04:54.860]   is to use islands of agreement
[00:04:54.860 --> 00:04:57.320]   between the embeddings at these different levels.
[00:04:57.320 --> 00:05:00.760]   So at the scene level, at the top level,
[00:05:00.760 --> 00:05:03.760]   you'd like the same embedding for every patch of the image
[00:05:03.760 --> 00:05:07.200]   'cause that patch is a patch of the same scene everywhere.
[00:05:07.200 --> 00:05:08.400]   At the object level,
[00:05:08.400 --> 00:05:11.400]   you'd like the embeddings of all the different patches
[00:05:11.400 --> 00:05:14.600]   that belong to the object to be the same.
