
[00:00:00.040 --> 00:00:09.520]  ihad
[00:00:09.520 --> 00:00:28.260]   N Z I do
[00:01:26.280 --> 00:01:26.280]   I do it now while building a plan for financial freedom in 10 years or less. My name is Joshua. I am your host. I am your fellow traveler down this road of financial freedom. And I am your friendly local financial philosopher here today to try to see if we can sort truth from fiction. On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:26.280 --> 00:01:26.280]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:26.280 --> 00:01:26.280]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:26.280 --> 00:01:26.280]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:26.280 --> 00:01:26.280]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:26.280 --> 00:01:26.280]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:55.640 --> 00:01:55.700]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:55.700 --> 00:01:55.740]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:55.740 --> 00:01:55.780]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:55.780 --> 00:01:55.840]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:55.840 --> 00:01:55.880]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:55.880 --> 00:01:55.900]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:01:55.920 --> 00:02:25.540]  ,
[00:02:25.540 --> 00:02:25.940]   So if you'd like to join us as a patron at radicalpersonalfinance.com/patron, I would dearly love to have you there.
[00:02:25.940 --> 00:02:25.940]   On each Friday that I am able to arrange the technology to record a call, I host a call.
[00:02:25.940 --> 00:02:25.940]   I have members of my email list. From time to time, I'll try to incentivize and give an unexpected bonus to those of you who connect with me in other formats.
[00:02:25.940 --> 00:02:25.940]   Today it is for my email subscribers. So all of our callers today are calling in from the email group. Of course, some of them could also be patrons. So if you'd like to join us as a patron, I would love to do that.
[00:02:25.960 --> 00:02:55.960]   I have members of my email list. So all of our callers today are calling in from the email group. Of course, some of them could also be patrons. So all of our callers today are calling in from the email group.
[00:02:55.960 --> 00:02:55.960]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:02:55.960 --> 00:02:55.960]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:02:55.960 --> 00:02:55.960]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:02:55.960 --> 00:02:55.960]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:02:55.960 --> 00:02:55.960]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:02:55.960 --> 00:02:55.960]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:02:55.980 --> 00:03:25.980]  , I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:25.980 --> 00:03:25.980]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:25.980 --> 00:03:25.980]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:25.980 --> 00:03:25.980]   I have members of my email list. So all of our callers today are calling in from the email group.
