
[00:00:00.000 --> 00:00:02.400]   [silence]
[00:00:02.400 --> 00:00:04.220]   We know that one of the things
[00:00:04.220 --> 00:00:05.860]   that can trigger the onset of puberty,
[00:00:05.860 --> 00:00:07.900]   in particular in females,
[00:00:07.900 --> 00:00:11.420]   is that when enough body fat accumulates,
[00:00:11.420 --> 00:00:14.860]   that body fat releases a hormone called leptin.
[00:00:14.860 --> 00:00:17.580]   And that hormone leptin travels in the bloodstream
[00:00:17.580 --> 00:00:18.880]   across the blood-brain barrier
[00:00:18.880 --> 00:00:20.420]   and goes to the hypothalamus
[00:00:20.420 --> 00:00:22.020]   and can trigger the onset of puberty
[00:00:22.020 --> 00:00:24.060]   by activating the neurons
[00:00:24.060 --> 00:00:26.720]   that release gonadotropin-releasing hormone.
[00:00:26.720 --> 00:00:29.380]   So many people believe that one of the reasons
[00:00:29.380 --> 00:00:32.880]   that puberty is happening earlier and earlier in females
[00:00:32.880 --> 00:00:36.340]   is because of the accumulation of more body fat
[00:00:36.340 --> 00:00:40.260]   at younger ages than was observed 30 or 40
[00:00:40.260 --> 00:00:42.020]   and certainly 100 years ago.
[00:00:42.020 --> 00:00:44.740]   Now, I can already imagine a number of people are thinking,
[00:00:44.740 --> 00:00:46.980]   oh, this must relate to the obesity crisis.
[00:00:46.980 --> 00:00:48.860]   And indeed, there is a crisis of obesity.
[00:00:48.860 --> 00:00:53.860]   Obesity is something that is causing all sorts of problems
[00:00:53.860 --> 00:00:57.140]   with people's health at various levels, brain and body,
[00:00:57.140 --> 00:00:58.780]   and that is far more frequent today
[00:00:58.780 --> 00:01:00.820]   than it was even 20 years ago.
[00:01:00.820 --> 00:01:02.200]   So it is indeed a crisis
[00:01:02.200 --> 00:01:04.440]   because it has enormous detrimental effects
[00:01:04.440 --> 00:01:09.420]   for so many aspects of brain and body health and longevity.
[00:01:09.420 --> 00:01:11.900]   But this whole process of thinking about body fat
[00:01:11.900 --> 00:01:13.460]   signaling leptin to the hypothalamus
[00:01:13.460 --> 00:01:14.340]   and the onset of puberty
[00:01:14.340 --> 00:01:17.500]   doesn't necessarily have to do with the obesity crisis.
[00:01:17.500 --> 00:01:20.060]   It might relate, but it could also relate to,
[00:01:20.060 --> 00:01:21.500]   for instance, improved nutrition,
[00:01:21.500 --> 00:01:24.380]   which is allowing body fat stores to accumulate,
[00:01:24.380 --> 00:01:28.140]   maybe not to the level of obesity, but to accumulate earlier
[00:01:28.140 --> 00:01:29.700]   and at younger ages in females,
[00:01:29.700 --> 00:01:33.460]   which is then causing earlier puberty in females.
[00:01:33.460 --> 00:01:35.780]   To just highlight how that might be possible,
[00:01:35.780 --> 00:01:37.180]   I want to review some data
[00:01:37.180 --> 00:01:40.700]   that talk about the onset of menses, menstruation,
[00:01:40.700 --> 00:01:44.220]   that is puberty, in females according to country
[00:01:44.220 --> 00:01:47.980]   and according to age over the last 100 or more years.
[00:01:47.980 --> 00:01:49.460]   So what are the general trends
[00:01:49.460 --> 00:01:51.240]   in terms of the onset of puberty in females?
[00:01:51.240 --> 00:01:54.020]   Well, that's an easy one to answer.
[00:01:54.020 --> 00:01:56.160]   Over the last 100 years or so,
[00:01:57.240 --> 00:02:01.460]   the onset of puberty has been occurring much earlier
[00:02:01.460 --> 00:02:02.940]   with each passing decade.
[00:02:02.940 --> 00:02:06.320]   It's really an incredible set of statistics.
[00:02:06.320 --> 00:02:07.780]   I will provide a link to these data
[00:02:07.780 --> 00:02:09.100]   since I know a number of you are listening
[00:02:09.100 --> 00:02:10.780]   and not just watching on YouTube.
[00:02:10.780 --> 00:02:14.500]   This is from a study in which the onset of puberty
[00:02:14.500 --> 00:02:18.300]   has been analyzed from as early as the 1850s, right?
[00:02:18.300 --> 00:02:20.660]   In certain countries, there are data on that,
[00:02:20.660 --> 00:02:22.500]   out to the 1970s and in other countries,
[00:02:22.500 --> 00:02:26.540]   starting at about 1900, extending out to about 1990.
[00:02:26.540 --> 00:02:29.100]   These are ongoing collections of data,
[00:02:29.100 --> 00:02:30.500]   but just to give you a sense
[00:02:30.500 --> 00:02:32.140]   how the data are falling out
[00:02:32.140 --> 00:02:33.500]   in a couple of different countries,
[00:02:33.500 --> 00:02:35.220]   just to give you a flavor,
[00:02:35.220 --> 00:02:37.260]   but for those of you listening
