
[00:00:00.040 --> 00:00:09.480]   ち
[00:00:09.480 --> 00:00:10.840]   que came,,,
[00:00:10.840 --> 00:00:13.320]   present there ir
[00:00:13.320 --> 00:00:26.420]  assen Many He H Or Not Red on 1939in, to serve my. I, I, I, I, I, I, I, I, w, of, de, voyez, property.urez. porte. .. .. way. :. .. is a .. .. ,. ., Ang. cor .. meaning . Ce機. , Gray - show the -
[00:00:26.420 --> 00:00:27.840]   thank uh.иваем a
[00:00:27.840 --> 00:00:28.580]   scap
[00:00:28.680 --> 00:00:57.320]   . . .
[00:00:57.320 --> 00:00:57.320]   . . .
[00:00:57.320 --> 00:00:57.320]   . . . .
[00:00:57.360 --> 00:01:03.700]   L
[00:01:03.700 --> 00:01:08.120]   SAS E in the don
[00:01:25.660 --> 00:01:36.680]   I'm going to lean heavily on this idea of independence.
[00:01:36.680 --> 00:01:41.680]   Of course, that is a core function of who I am and what I talk about.
[00:01:41.680 --> 00:01:44.680]   If I were to place values and priorities,
[00:01:44.680 --> 00:01:49.680]   sorry, if I were to share with you a little bit about my own values and priorities,
[00:01:49.680 --> 00:01:53.960]   I would say that liberty is very, very high on the list.
[00:01:53.960 --> 00:01:53.960]   The other thing that I would say is that liberty is very, very high on the list.
[00:01:53.960 --> 00:02:22.280]   and I try to practice them and live them out and walk them out.
[00:02:22.280 --> 00:02:22.280]   But I've learned that I'm not alone in that.
[00:02:22.280 --> 00:02:22.280]   I'm certainly in a minority to the extreme that I take those ideas, that I take those concepts,
[00:02:22.280 --> 00:02:22.280]   but I'm not a minority in my desire for those things.
[00:02:22.280 --> 00:02:22.280]   I'm convinced this idea of independence frankly is not a minority.
[00:02:22.280 --> 00:02:22.280]   I'm convinced this idea of independence frankly is not a minority in my desire for those things.
[00:02:22.280 --> 00:02:22.280]   I'm convinced this idea of independence frankly is not a minority in my desire for those things.
[00:02:22.280 --> 00:02:22.280]   I'm convinced this idea of independence frankly is not a minority in my desire for those things.
[00:02:22.280 --> 00:02:22.280]   I'm convinced this idea of independence frankly is not a minority in my desire for those things.
