
[00:00:00.000 --> 00:00:21.200]   Hi everyone. That's a little loud. I'm Danielle and I'm a cognitive scientist working at the
[00:00:21.200 --> 00:00:26.880]   experimental new Amazon AGI SF lab. And throughout this conference you're going to hear a lot of
[00:00:26.880 --> 00:00:32.720]   talks about building and scaling agents including some from my colleagues at AWS. But this talk is
[00:00:32.720 --> 00:00:37.040]   going to be a little different. I want to think about how we can co-evolve with general purpose
[00:00:37.040 --> 00:00:43.280]   agents and what it will take to make them reliable and aligned with our own intelligence. So I'd like
[00:00:43.280 --> 00:00:50.880]   to set the stage by reminding us of a fact about the reliability of our own minds. We're all
[00:00:50.880 --> 00:00:57.840]   hallucinating right now. Our brains don't have direct access to reality so they're stuck inside
[00:00:57.840 --> 00:01:04.640]   our heads so they can only really do a few things. They can make predictions with their world models.
[00:01:04.640 --> 00:01:10.720]   They can take in sensory information and they can reconcile errors between the two. That's about it.
[00:01:10.720 --> 00:01:16.480]   And that's why neuroscientists call our brains prediction machines and say that perception is
[00:01:16.480 --> 00:01:22.640]   controlled hallucination. But there's no way of course that I could be standing up here in front
[00:01:22.640 --> 00:01:26.640]   of you if I didn't have my hallucinations under control. The controlled part is the critical bit.
[00:01:26.640 --> 00:01:32.880]   But that's not all that's happening right now. If you're understanding my words then I'm also influencing
[00:01:32.880 --> 00:01:38.960]   your hallucinations. And assuming you do understand my words then your brain just did something else.
[00:01:38.960 --> 00:01:46.240]   It activated all meanings of the word hallucination including this one. So today we rely upon
[00:01:46.240 --> 00:01:53.840]   hallucinating chatbots for brainstorming, generating content and code, and images of themselves like this.
[00:01:53.840 --> 00:01:59.760]   But what they can't yet do is think, learn, or act in a reliable general purpose way. And we're not
[00:01:59.760 --> 00:02:06.560]   satisfied with that because we've set our sights on building AI that more closely resembles our own
[00:02:06.560 --> 00:02:13.760]   intelligence. But what makes our intelligence general? Well one thing we know is that hallucinations
[00:02:13.760 --> 00:02:20.560]   are necessary because they allow us to go beyond the data. They're features rather than bugs of AI that's
[00:02:20.560 --> 00:02:26.160]   flexible like ours. So we just need to figure out how to control them. I'm going to be drawing a lot of
[00:02:26.160 --> 00:02:32.240]   parallels to our intelligence. But I'm not saying that we are or should be building something like a human
[00:02:32.240 --> 00:02:40.480]   brain. We don't want AI to replace us or replicate us. We want it to complement us. We want AI plus humans
[00:02:40.480 --> 00:02:46.640]   to be greater than the sum of our parts. Now this isn't typically what we think about when we hear AGI.
[00:02:46.640 --> 00:02:54.480]   we think about the AI becoming more advanced. But this reflects a category error about how our intelligence
[00:02:54.480 --> 00:03:00.560]   actually works. And that error is that general intelligence can exist within a thinking machine.
[00:03:00.560 --> 00:03:07.600]   So when you think about AGI, you probably think about something like this. And you might think that
[00:03:07.600 --> 00:03:14.320]   it's right around the corner. But why does it then feel like agents are closer to something like this?
