
[00:00:00.000 --> 00:00:02.880]   - What is real?
[00:00:02.880 --> 00:00:05.080]   Let's start with an easy question.
[00:00:05.080 --> 00:00:07.800]   Put another way, how do we know what is real
[00:00:07.800 --> 00:00:09.320]   and what is merely a creation
[00:00:09.320 --> 00:00:12.860]   of our human perception and imagination?
[00:00:12.860 --> 00:00:14.300]   - We don't know.
[00:00:14.300 --> 00:00:15.140]   We don't know.
[00:00:15.140 --> 00:00:15.960]   This is science.
[00:00:15.960 --> 00:00:18.580]   I presume we're talking about science.
[00:00:18.580 --> 00:00:21.920]   And we believe, or I believe,
[00:00:21.920 --> 00:00:27.160]   that there is a world that is independent of my existence
[00:00:27.160 --> 00:00:31.160]   and my experience about it and my knowledge of it.
[00:00:31.160 --> 00:00:33.460]   And this I call the real world.
[00:00:33.460 --> 00:00:37.760]   - So you said science, but even bigger than science.
[00:00:37.760 --> 00:00:38.760]   - Sure, sure.
[00:00:38.760 --> 00:00:41.020]   I need not have said this is science.
[00:00:41.020 --> 00:00:42.980]   I just was warming up.
[00:00:42.980 --> 00:00:45.120]   - Warming up.
[00:00:45.120 --> 00:00:46.440]   Okay, now that we're warmed up,
[00:00:46.440 --> 00:00:49.680]   let's take a brief step outside of science.
[00:00:49.680 --> 00:00:53.040]   Is it completely a crazy idea to you
[00:00:53.040 --> 00:00:55.040]   that everything that exists
[00:00:55.040 --> 00:00:57.440]   is merely a creation of our mind?
[00:00:57.440 --> 00:01:00.520]   So there's a few, not many,
[00:01:00.520 --> 00:01:02.840]   this is outside of science now,
[00:01:02.840 --> 00:01:06.760]   people who believe perception is fundamentally
[00:01:06.760 --> 00:01:08.620]   what's in our human perception,
[00:01:08.620 --> 00:01:10.240]   the visual cortex and so on,
[00:01:10.240 --> 00:01:14.880]   the cognitive constructs that's being formed there
[00:01:14.880 --> 00:01:18.320]   is the reality, and that anything outside
[00:01:18.320 --> 00:01:21.120]   is something that we can never really grasp.
[00:01:21.120 --> 00:01:22.720]   Is that a crazy idea to you?
[00:01:22.720 --> 00:01:26.400]   - There's a version of that that is not crazy at all.
[00:01:26.400 --> 00:01:31.000]   What we experience is constructed by our brains
[00:01:31.000 --> 00:01:34.840]   and by our brains in an active mode.
[00:01:34.840 --> 00:01:40.560]   So we don't see the raw world,
[00:01:40.560 --> 00:01:42.460]   we see a very processed world.
[00:01:42.460 --> 00:01:46.120]   We feel something that's very processed through our brains,
[00:01:46.120 --> 00:01:47.760]   and our brains are incredible.
[00:01:48.760 --> 00:01:53.760]   But I still believe that behind that experience,
[00:01:53.760 --> 00:01:58.040]   that mirror, veil, or whatever you wanna call it,
[00:01:58.040 --> 00:02:01.160]   there is a real world, and I'm curious about it.
[00:02:01.160 --> 00:02:05.360]   - Can we truly, how do we get a sense of that real world?
[00:02:05.360 --> 00:02:07.260]   Is it through the tools of physics,
[00:02:07.260 --> 00:02:10.040]   from theory to the experiments?
[00:02:10.040 --> 00:02:13.960]   Or can we actually grasp it in some intuitive way
[00:02:13.960 --> 00:02:18.960]   that's more connected to our ape ancestors?
[00:02:18.960 --> 00:02:23.800]   Or is it still fundamentally the tools of math and physics
[00:02:23.800 --> 00:02:24.640]   that really allow us to grasp it?
[00:02:24.640 --> 00:02:27.680]   - Well, let's talk about what tools they are,
