
[00:00:00.040 --> 00:00:19.320]   We're here to talk about real-time conversational video with PipeCat, that's me, and with Tavis,
[00:00:19.320 --> 00:00:22.600]   that's Brian. We'll introduce ourselves a little bit more, but in the interest of keeping it moving,
[00:00:22.600 --> 00:00:28.080]   let's talk about what we're here for. Have any of you ever seen one of these robot concierge things?
[00:00:28.080 --> 00:00:34.380]   Do they work? No, they don't. They're terrible, right? It's actually possible nowadays to build this kind of thing,
[00:00:34.380 --> 00:00:39.360]   but actually good. It's a little bit tricky, but that's what we're here to show you how to do.
[00:00:39.360 --> 00:00:46.620]   There are three things you need to think about when you want to build real-time AI. The first is your
[00:00:46.620 --> 00:00:51.680]   models. Obviously, we all know what models are. That's why we're here at this conference. The thing
[00:00:51.680 --> 00:00:56.220]   that you don't necessarily know you need to think about is your orchestration layer. We're going to
[00:00:56.220 --> 00:01:00.420]   talk a little bit about that. Then, of course, you need to deploy these bots somewhere. That's the
[00:01:00.420 --> 00:01:08.040]   third step, deployment. We'll talk about that as well. Step one, models. I come from a little bit
[00:01:08.040 --> 00:01:13.560]   more of a traditional, funny to say that, voice AI world where the traditional pipeline people talk
[00:01:13.560 --> 00:01:19.620]   about is speech-to-text, so transcription, and then LLMs for your inference, and then text-to-speech.
[00:01:19.620 --> 00:01:24.660]   That's the typical kind of cascading pipeline you hear. Sure enough, people nowadays are using some
[00:01:24.660 --> 00:01:28.500]   voice-to-voice models. That is a use case for this kind of thing, but there are reasons sometimes you
[00:01:28.500 --> 00:01:35.760]   might use one or the other. Real-time video is a lot more complicated. It doesn't have to be,
[00:01:35.760 --> 00:01:40.440]   but it can be, and I think Brian will tell you that it should be. There's a lot more stuff you need to
[00:01:40.440 --> 00:01:46.620]   think about to do video generation in real-time. So, Brian, you want to tell us a little bit
[00:01:46.620 --> 00:01:51.960]   about Tavis and how you all are thinking about this? Thanks, Chad. So, Tavis started out as an AI
[00:01:51.960 --> 00:01:57.920]   research company, and we started off with a single model that was like a rendering model. What we
[00:01:57.920 --> 00:02:03.680]   quickly realized is that we need to be able to put this into a real-time context for it to be useful,
[00:02:03.680 --> 00:02:09.060]   so it needs to be fast. And once we did that, we started realizing there are a lot of missing pieces,
[00:02:09.060 --> 00:02:16.980]   things like turn detection, response timing, picking up signals and orchestration. And we started off in
[00:02:16.980 --> 00:02:21.420]   the beginning, we didn't know about PipeCat when we first built it, but we've been partnering with
[00:02:21.420 --> 00:02:26.160]   PipeCat over the last year, and it's come to our realization that like a lot of the stuff PipeCat
[00:02:26.160 --> 00:02:33.660]   does is going to be very important for conversational AI and making it real. I think we can go to the next
[00:02:33.660 --> 00:02:38.300]   one. Yep. We have a demo. You can go to our site, Tavis.io. I was going to do it live,
[00:02:38.300 --> 00:02:43.220]   but for the sake of time, just check it out. You can go check it out on our website, Tavis.io.
[00:02:43.220 --> 00:02:50.220]   And I'll hand it back. Well, no, there's one more thing. Yep. So what we do at Tavis now is we
[00:02:50.220 --> 00:02:56.060]   offer a conversational video interface. It is an end-to-end pipeline that allows you to have a
[00:02:56.060 --> 00:03:01.180]   conversation with a replica of anyone. You can create your own replica of yourself, you can put
[00:03:01.180 --> 00:03:06.920]   it online, and you can have a conversation. The response time is around 600 milliseconds, but that's not
