
[00:00:00.000 --> 00:00:08.000]   The CEO of OpenAI said just two days ago that AI models have reached the level of human reasoning,
[00:00:08.000 --> 00:00:14.020]   human level problem solving. In a sea of hype though, claims like this have to be taken with
[00:00:14.020 --> 00:00:19.920]   a gallon of salt naturally. But my question is this, is it not now easier to come up with
[00:00:19.920 --> 00:00:26.280]   a reasoning challenge that the new O1 family of models passes and an educated adult would fail
[00:00:26.400 --> 00:00:32.400]   than the other way around? Yes, of course, while O1 still makes plenty of embarrassing mistakes,
[00:00:32.400 --> 00:00:39.200]   so do we. So is this not a watershed moment? Either way, I'm going to analyse four new key
[00:00:39.200 --> 00:00:47.480]   quotes from Sam Altman, give you the backdrop of OpenAI's new $157 billion valuation and provide
[00:00:47.480 --> 00:00:53.800]   as much context as I can for his key claim. The key claim that Sam Altman made at DevDay less
[00:00:53.800 --> 00:01:00.780]   than 48 hours ago was that the new O1 series of models are human level problem solvers. They
[00:01:00.780 --> 00:01:06.320]   don't output the first thing that comes to mind, so to speak, they reason their way through
[00:01:06.320 --> 00:01:13.280]   challenging problems. This chart released in July, I've realised, is OpenAI's version of a levels of
[00:01:13.280 --> 00:01:20.780]   AGI chart. For me, it sets a very high bar for what would count as an AGI, but it does mimic five things
[00:01:20.780 --> 00:01:27.260]   that humans can do in increasing order of difficulty. We can chat, we can reason our way through problems,
[00:01:27.260 --> 00:01:32.540]   we can take actions in the world, we can innovate, and we can organise together. Forget levels three and
[00:01:32.540 --> 00:01:37.500]   above for a moment, just claiming we've reached level two is a bold enough announcement already.
[00:01:37.500 --> 00:01:42.300]   Here is a 60 second extract from DevDay, and if you're wondering about the strange video setup,
[00:01:42.300 --> 00:01:47.580]   it's actually a massive improvement from the super shaky footage that's circulating online. Essentially,
[00:01:47.580 --> 00:01:53.900]   I used Adobe Warp Stabiliser, so it's a bit easier to watch. Altman here claims we are at level two.
[00:01:53.900 --> 00:02:00.380]   How close are we to AGI?
[00:02:00.380 --> 00:02:05.500]   You know, we used to, every time we finished the system, we would say, like, in one way, this is not an AGI.
[00:02:05.500 --> 00:02:17.180]   And it used to be, like, very easy. You could, like, make a little robotic hand that doesn't believe it is a game or a DotaBot, and it's like, oh, it does some things, but definitely not an AGI.
[00:02:17.180 --> 00:02:24.540]   It's obviously harder to say no. So we're trying to, like, stop talking about AGI as this general thing,
[00:02:24.540 --> 00:02:38.220]   I mean, we have this levels framework, because the word AGI has become so overloaded. So, like, real quickly, we used one for chatbots, two for reasoners, three for agents, four for innovators, five for organizations, like, roughly.
[00:02:38.220 --> 00:02:50.220]   I think we clearly got to level two, or we clearly got to level two with O1, and it, you know, can do really quite impressive cognitive tasks. It's a very smart model.
[00:02:50.220 --> 00:03:09.020]   It doesn't feel AGI-like in a few important ways, but I think if you just do the one next step of making it, you know, very agent-like, which is on level three, and which I think we will be able to do in the not distant future, it will feel surprisingly capable.
