
[00:00:00.000 --> 00:00:02.000]   Let us pray.
[00:00:02.000 --> 00:00:12.000]   Almighty God, our Heavenly Father, we come to Thee, and we come to worship and to offer our praise and our thanksgiving.
[00:00:12.000 --> 00:00:21.000]   We do thank Thee, O Lord, that Thou hast ever created within us this desire to come before Thee and to seek Thy face.
[00:00:21.000 --> 00:00:27.000]   We thank Thee for the realization we have of Thy goodness to us and all Thy loving kindness.
[00:00:28.000 --> 00:00:37.000]   And yet, O Lord, as we contemplate Thy manifold goodness and kindness toward us, we feel that our praise and our acknowledgement of it is ever so small.
[00:00:37.000 --> 00:00:41.000]   We would therefore ask Thee to tune our hearts to sing Thy praise aright.
[00:00:41.000 --> 00:00:52.000]   And, O Lord, we pray that Thou wouldst so grant us Thy Spirit that we shall likewise praise Thee in our lives as well as with our lips.
[00:00:53.000 --> 00:00:58.000]   We do indeed desire with the whole of our being to tell forth Thy praise.
[00:00:58.000 --> 00:01:03.000]   Bless the Lord, O my soul, and all that is within me. Bless His holy name.
[00:01:03.000 --> 00:01:06.000]   That is the desire of our hearts.
[00:01:06.000 --> 00:01:14.000]   And so we ask Thee once more as we come to consider together how those of us especially who are called to preach and to proclaim Thy word
[00:01:14.000 --> 00:01:18.000]   can show forth Thy glory as we expound the truth of the Scriptures.
[00:01:19.000 --> 00:01:24.000]   We ask that Thou wouldst give us further enlightenment and further understanding
[00:01:24.000 --> 00:01:32.000]   so that we may perform this great and wonderful task always in a manner that shall be well-pleasing in Thy holy sight.
[00:01:32.000 --> 00:01:38.000]   So we leave ourselves in Thy hands once more and pray that Thou wouldst bless us to this end.
[00:01:38.000 --> 00:01:47.000]   Pardon and forgive us for all the imperfection of our service and all our failure and all our sin in Thy most holy sight.
[00:01:48.000 --> 00:01:56.000]   We have nothing to plead save the blood and the merit of Thy dear Son, our Lord and Saviour Jesus Christ. Amen.
[00:01:56.000 --> 00:02:09.000]   Well, you will remember, I take it, that I announced last time that this would be my last lecture
[00:02:09.000 --> 00:02:15.000]   so that we are left with two sessions then for questions and for discussion.
[00:02:17.000 --> 00:02:19.000]   I hope this has proved to be satisfactory for you.
[00:02:19.000 --> 00:02:25.000]   But as you will have observed, I have certain ideas with regard to this whole question of preaching
[00:02:25.000 --> 00:02:34.000]   and I felt I should like to state my case and put my position first before we came to questions and to discussion.
[00:02:34.000 --> 00:02:39.000]   Very well. We come to the last and I keep and have reserved to the last
[00:02:39.000 --> 00:02:45.000]   what is after all the greatest essential of all in connection with preaching.
[00:02:46.000 --> 00:02:53.000]   And that is unction, the unction and the anointing of the Holy Spirit.
[00:02:53.000 --> 00:02:59.000]   It may seem odd to some of you that I keep the most important thing of all to the end.
[00:02:59.000 --> 00:03:02.000]   You may ask why didn't I start with it.
[00:03:02.000 --> 00:03:10.000]   Well, the reason for that is this, that I believe we are to do or to attempt to do all that I have been trying to say first
[00:03:10.000 --> 00:03:13.000]   and then the unction comes upon this.
[00:03:14.000 --> 00:03:18.000]   I have already indicated in making certain points
[00:03:18.000 --> 00:03:23.000]   that there is a danger for some men to rely upon the unction only
[00:03:23.000 --> 00:03:29.000]   instead of doing all they can by way of preparation and so on first.
[00:03:29.000 --> 00:03:33.000]   I think that is the right way to look upon the unction of the Spirit.
[00:03:33.000 --> 00:03:37.000]   It is that which comes upon the preparation.
[00:03:38.000 --> 00:03:44.000]   If I may use an illustration, I hope you are clear that this is an illustration
[00:03:44.000 --> 00:03:47.000]   and that I am not spiritualizing something.
[00:03:47.000 --> 00:03:53.000]   The illustration is what happened on Mount Carmel, you remember, with Elijah.
[00:03:53.000 --> 00:03:57.000]   He built the altar, he cut the wood and put it in pieces.
[00:03:57.000 --> 00:04:01.000]   He took the bullock and cut him in pieces and put it on the wood.
[00:04:01.000 --> 00:04:05.000]   And then he prayed for the fire to descend and the fire came.
[00:04:06.000 --> 00:04:08.000]   Many other examples are the same thing.
[00:04:08.000 --> 00:04:15.000]   I was giving one on a Thursday night in the case of the erection of the tabernacle in the wilderness.
[00:04:15.000 --> 00:04:19.000]   Moses first did everything that God had told him to do
[00:04:19.000 --> 00:04:23.000]   and it was only after Moses had done all that
[00:04:23.000 --> 00:04:29.000]   that the glory of the Lord came down upon the tabernacle.
[00:04:29.000 --> 00:04:33.000]   So you see, this is the reason for reserving this
[00:04:34.000 --> 00:04:37.000]   which is the most important thing of all, to the end.
[00:04:37.000 --> 00:04:46.000]   God helps those who help themselves, is fairly true in this connection as it is in other connections.
[00:04:46.000 --> 00:04:49.000]   So we mustn't put these things as opposites.
[00:04:49.000 --> 00:04:55.000]   I'm delaying this because I think this is a most important point.
[00:04:55.000 --> 00:04:58.000]   We all tend to be people of extremes.
[00:04:58.000 --> 00:05:02.000]   Some rely only on their own preparation and look for nothing more
[00:05:03.000 --> 00:05:06.000]   while others, as I say, tend to despise preparation
[00:05:06.000 --> 00:05:11.000]   and trust to the anointing and the inspiration of the Spirit.
[00:05:11.000 --> 00:05:14.000]   Well, it isn't either/or here, it's birth and.
[00:05:14.000 --> 00:05:17.000]   These two things must go together.
[00:05:17.000 --> 00:05:22.000]   Now, what do I mean by this anointing and this anointing?
[00:05:22.000 --> 00:05:32.000]   I believe the best way to approach this is to show you from the Scriptures, first of all, what I mean by this.
[00:05:32.000 --> 00:05:36.000]   But perhaps before I do even that, it would be good for me to ask a question.
[00:05:36.000 --> 00:05:42.000]   Those of you who have preached, do you look for this unction and anointing?
[00:05:42.000 --> 00:05:45.000]   Has this been of concern to you?
[00:05:45.000 --> 00:05:51.000]   It's a very good test because, as I'm suggesting, it is the most important thing of all.
[00:05:51.000 --> 00:06:00.000]   Well, what is this? Well, this is a special pouring of the Spirit upon the preacher.
[00:06:01.000 --> 00:06:03.000]   It's an access of power.
[00:06:03.000 --> 00:06:11.000]   It is something that God gives through the Spirit to enable one to do this work
[00:06:11.000 --> 00:06:18.000]   in a manner that lifts it up beyond the efforts and endeavors of men
[00:06:18.000 --> 00:06:24.000]   to a position in which the preacher is being used by the Spirit
[00:06:24.000 --> 00:06:28.000]   and becomes the channel whom the Spirit uses.
[00:06:29.000 --> 00:06:34.000]   Now, I think that this is something that comes out very clearly in the Scriptures.
[00:06:34.000 --> 00:06:40.000]   I've got to try and give you the Scriptural aspect of this and the historical
[00:06:40.000 --> 00:06:45.000]   and make some comments as best I can this afternoon.
[00:06:45.000 --> 00:06:52.000]   Now, the first, I think, that one would start with would be, therefore, John the Baptist
[00:06:52.000 --> 00:06:57.000]   because he is the forerunner, and this is what we are told about him.
[00:06:58.000 --> 00:07:00.000]   The message that was given to his father Zacharias was this.
[00:07:00.000 --> 00:07:04.000]   You find it in Luke 1, verses 15 and following.
[00:07:04.000 --> 00:07:09.000]   "For he shall be great in the sight of the Lord, and shall drink neither wine nor strong drink.
[00:07:09.000 --> 00:07:14.000]   And he shall be filled with the Holy Ghost even from his mother's womb.
[00:07:14.000 --> 00:07:18.000]   And many of the children of Israel shall he turn to the Lord their God,
[00:07:18.000 --> 00:07:22.000]   and he shall go before him in the spirit and power of Elias
[00:07:22.000 --> 00:07:25.000]   to turn the hearts of the fathers to the children
[00:07:26.000 --> 00:07:28.000]   of the wisdom of the just," and so on.
[00:07:28.000 --> 00:07:32.000]   Now, this, you see, is an excellent summary
[00:07:32.000 --> 00:07:36.000]   of what was the position of the prophets of the Old Testament.
[00:07:36.000 --> 00:07:42.000]   You remember how these men were aware of a kind of a flirtus which came upon them.
[00:07:42.000 --> 00:07:46.000]   The Spirit took hold of them, and they were given a message
[00:07:46.000 --> 00:07:49.000]   and given power to deliver it.
[00:07:49.000 --> 00:07:54.000]   It is the great characteristic of the prophets, and John is the last of the prophets.
[00:07:55.000 --> 00:07:58.000]   And we are told about him in this way, that he shall be endued
[00:07:58.000 --> 00:08:03.000]   in this very special way with the Holy Ghost and the power of the Holy Ghost to do his work.
[00:08:03.000 --> 00:08:07.000]   And when you read the accounts of his ministry, this is obvious.
[00:08:07.000 --> 00:08:11.000]   "For he spoke in such a manner that people came under terrible conviction."
[00:08:11.000 --> 00:08:15.000]   The preaching of John the Baptist could convict even Pharisees,
[00:08:15.000 --> 00:08:18.000]   and that's the test of the ministry.
[00:08:18.000 --> 00:08:23.000]   But there it is, you see, even in the case of the forerunner himself.
[00:08:24.000 --> 00:08:27.000]   But John, you remember, ends his ministry in a sense by saying
[00:08:27.000 --> 00:08:30.000]   that this is all preparatory.
[00:08:30.000 --> 00:08:34.000]   "I am not the Christ," he says, "that cometh one mightier than I,
[00:08:34.000 --> 00:08:38.000]   the lecher to whose shoes I am unworthy to unloose.
[00:08:38.000 --> 00:08:45.000]   I indeed baptize you with water; he shall baptize you with the Holy Ghost and with fire."
[00:08:45.000 --> 00:08:48.000]   Now, here is something further.
[00:08:48.000 --> 00:08:51.000]   And what is so interesting is that we get this
[00:08:52.000 --> 00:08:54.000]   even with regard to our Lord himself.
[00:08:54.000 --> 00:08:57.000]   This is a point I think that's very often missed.
[00:08:57.000 --> 00:09:01.000]   The way in which the Holy Ghost descended upon our Lord
[00:09:01.000 --> 00:09:05.000]   as he was coming up out of the Jordan when John had baptized him.
[00:09:05.000 --> 00:09:09.000]   The Spirit came upon him in the form of a dove.
[00:09:09.000 --> 00:09:13.000]   And afterwards, this is how he puts it.
[00:09:13.000 --> 00:09:17.000]   You remember when he went into the synagogue in his hometown of Nazareth,
[00:09:17.000 --> 00:09:19.000]   Luke 4, 18, and so on.
[00:09:20.000 --> 00:09:23.000]   "The Spirit of the Lord is upon me,
[00:09:23.000 --> 00:09:27.000]   because he hath anointed me to preach the gospel to the poor."
[00:09:27.000 --> 00:09:29.000]   And you remember the rest of the quotation.
[00:09:29.000 --> 00:09:32.000]   But what I'm concerned about now is this.
[00:09:32.000 --> 00:09:36.000]   That he says that what happened to him there at Jordan was
[00:09:36.000 --> 00:09:39.000]   that he was anointed by the Spirit
[00:09:39.000 --> 00:09:43.000]   to preach this gospel of salvation,
[00:09:43.000 --> 00:09:46.000]   to preach the acceptable year of the Lord.
[00:09:46.000 --> 00:09:48.000]   Now, this is a very striking thing.
[00:09:49.000 --> 00:09:53.000]   It throws great light, of course, upon the real meaning of the Incarnation.
[00:09:53.000 --> 00:09:57.000]   But it's clear that even our Lord himself, the Son of God,
[00:09:57.000 --> 00:10:00.000]   could not have exercised his ministry
[00:10:00.000 --> 00:10:04.000]   unless he had received this special, peculiar anointing
[00:10:04.000 --> 00:10:09.000]   of the Holy Spirit to perform his task.
[00:10:09.000 --> 00:10:12.000]   It is true even of him.
[00:10:12.000 --> 00:10:17.000]   Then I'm picking out what I regard as the most important passages
[00:10:18.000 --> 00:10:19.000]   dealing with this matter.
[00:10:19.000 --> 00:10:23.000]   You then go on, of course, to the book of the Acts of the Apostles.
[00:10:23.000 --> 00:10:26.000]   And you get it in Acts 1, 8.
[00:10:26.000 --> 00:10:29.000]   "But ye shall receive power
[00:10:29.000 --> 00:10:32.000]   after that the Holy Ghost is come upon you.
[00:10:32.000 --> 00:10:35.000]   And ye shall be witnesses unto me,
[00:10:35.000 --> 00:10:39.000]   both in Jerusalem and in all Judea and in Samaria
[00:10:39.000 --> 00:10:42.000]   and the uttermost parts of the earth."
[00:10:42.000 --> 00:10:45.000]   Now, it's good to link that up always with the last chapter
[00:10:45.000 --> 00:10:47.000]   of the Gospel according to St. Luke.
[00:10:47.000 --> 00:10:50.000]   Where you remember our Lord is speaking to those
[00:10:50.000 --> 00:10:53.000]   assembled disciples in the upper room.
[00:10:53.000 --> 00:10:56.000]   He says he's sending them out.
[00:10:56.000 --> 00:10:59.000]   "Thus it is written, and thus it behold,
[00:10:59.000 --> 00:11:02.000]   Christ to suffer and to rise from the dead the third day
[00:11:02.000 --> 00:11:05.000]   and that repentance and remission of sin should be preached in his name
[00:11:05.000 --> 00:11:07.000]   among all nations beginning at Jerusalem.
[00:11:07.000 --> 00:11:09.000]   And you are witnesses of these things.
[00:11:09.000 --> 00:11:13.000]   And behold, I send the promise of the Father upon you.
[00:11:14.000 --> 00:11:16.000]   And so he in the city of Jerusalem
[00:11:16.000 --> 00:11:20.000]   until ye be endued with power from on high."
[00:11:20.000 --> 00:11:25.000]   That, you see, leads on to Acts 1, 8.
[00:11:25.000 --> 00:11:30.000]   And, of course, to the fulfillment of all this in Acts 2.
[00:11:30.000 --> 00:11:34.000]   Now, the significance of this as I see it is this.
[00:11:34.000 --> 00:11:38.000]   That here were men whom you would have thought
[00:11:38.000 --> 00:11:41.000]   were in a perfect position and condition already
[00:11:41.000 --> 00:11:43.000]   to act as preachers.
[00:11:43.000 --> 00:11:45.000]   They'd been with our Lord for three years.
[00:11:45.000 --> 00:11:48.000]   They'd heard all his discourses, his instruction.
[00:11:48.000 --> 00:11:50.000]   They'd seen all his miracles.
[00:11:50.000 --> 00:11:54.000]   They'd had the benefit of being with him, looking into his face.
[00:11:54.000 --> 00:11:58.000]   This personal conversation and communion with him.
[00:11:58.000 --> 00:12:01.000]   They'd been witnesses of the crucifixion,
[00:12:01.000 --> 00:12:04.000]   some three of them, even of the transfiguration.
