
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:09.660]   ♪ A new dev daylights, code ignites ♪
[00:00:09.660 --> 00:00:12.760]   ♪ Real time voice streams reach new heights ♪
[00:00:12.760 --> 00:00:16.560]   ♪ O1 and GPT for O in flight ♪
[00:00:16.560 --> 00:00:20.020]   ♪ Finds when the future data in sight ♪
[00:00:20.020 --> 00:00:23.640]   ♪ Schema sync up, outputs precise ♪
[00:00:23.640 --> 00:00:28.640]   ♪ Distill the models, efficiency spliced ♪
[00:00:28.680 --> 00:00:31.620]   ♪ Pip sockets blaze, connections flow ♪
[00:00:31.620 --> 00:00:34.000]   ♪ Voice AI live, watch innovation grow ♪
[00:00:34.000 --> 00:00:35.000]   - Happy October.
[00:00:35.000 --> 00:00:38.200]   This is your AI co-host, Charlie.
[00:00:38.200 --> 00:00:40.120]   One of our longest standing traditions
[00:00:40.120 --> 00:00:44.160]   is covering major AI and ML conferences in podcast format.
[00:00:44.160 --> 00:00:46.640]   Delving, yes delving, into the vibes
[00:00:46.640 --> 00:00:48.640]   of what it is like to be there stitched in
[00:00:48.640 --> 00:00:51.600]   with short samples of conversations with key players
[00:00:51.600 --> 00:00:54.360]   just to help you feel like you were there.
[00:00:54.360 --> 00:00:55.880]   Covering this year's dev day
[00:00:55.880 --> 00:00:57.960]   was significantly more challenging
[00:00:57.960 --> 00:00:59.840]   because we were all requested
[00:00:59.840 --> 00:01:02.600]   not to record the opening keynotes.
[00:01:02.600 --> 00:01:04.880]   So in place of the opening keynotes,
[00:01:04.880 --> 00:01:08.040]   we had the viral notebook LM deep dive crew,
[00:01:08.040 --> 00:01:10.800]   my new AI podcast, Nemesis,
[00:01:10.800 --> 00:01:12.640]   give you a seven minute recap
[00:01:12.640 --> 00:01:15.120]   of everything that was announced.
[00:01:15.120 --> 00:01:18.280]   Of course, you can also check the show notes for details.
[00:01:18.280 --> 00:01:20.000]   I'll then come back with an explainer
[00:01:20.000 --> 00:01:22.080]   of all the interviews we have for you today.
[00:01:22.080 --> 00:01:23.920]   Watch out and take care.
[00:01:23.920 --> 00:01:27.520]   All right, so we've got a pretty hefty stack
[00:01:27.520 --> 00:01:29.360]   of articles and blog posts here
[00:01:29.360 --> 00:01:33.120]   all about OpenAI's dev day 2024.
[00:01:33.120 --> 00:01:34.720]   - Yeah, lots to dig into there.
[00:01:34.720 --> 00:01:37.480]   - Seems like you're really interested in what's new with AI.
[00:01:37.480 --> 00:01:38.320]   - Definitely.
[00:01:38.320 --> 00:01:41.360]   And it seems like OpenAI had a lot to announce.
[00:01:41.360 --> 00:01:44.080]   New tools, changes to the company, it's a lot.
[00:01:44.080 --> 00:01:46.240]   - It is, and especially since you're interested
[00:01:46.240 --> 00:01:49.200]   in how AI can be used in the real world,
[00:01:49.200 --> 00:01:51.720]   you know, practical applications, we'll focus on that.
[00:01:51.720 --> 00:01:52.560]   - Perfect.
[00:01:52.560 --> 00:01:55.040]   So for example, this new real-time API,
[00:01:55.040 --> 00:01:56.560]   they announced that, right?
[00:01:56.560 --> 00:01:58.960]   That seems like a big deal if we want AI to sound,
[00:01:58.960 --> 00:02:00.440]   well, less like a robot.
[00:02:00.440 --> 00:02:01.800]   - It could be huge.
[00:02:01.800 --> 00:02:04.160]   The real-time API could completely change
[00:02:04.160 --> 00:02:06.360]   how we like interact with AI.
[00:02:06.360 --> 00:02:07.840]   Like imagine if your voice assistant
[00:02:07.840 --> 00:02:09.520]   could actually handle it if you interrupted it.
[00:02:09.520 --> 00:02:11.360]   - Or like have an actual conversation.
[00:02:11.360 --> 00:02:13.440]   - Right, not just these clunky back and forth
[00:02:13.440 --> 00:02:14.720]   things we're used to.
[00:02:14.720 --> 00:02:16.000]   - And they actually showed it off, didn't they?
[00:02:16.000 --> 00:02:19.240]   I read something about a travel app, one for languages.
[00:02:19.240 --> 00:02:22.480]   Even one where the AI ordered takeout.
[00:02:22.480 --> 00:02:23.880]   Those demos were really interesting,
[00:02:23.880 --> 00:02:26.640]   and I think they show how this real-time API
[00:02:26.640 --> 00:02:28.760]   can be used in so many ways.
[00:02:28.760 --> 00:02:31.600]   And the tech behind it is fascinating, by the way.
[00:02:31.600 --> 00:02:34.280]   It uses persistent web socket connections
[00:02:34.280 --> 00:02:36.520]   and this thing called function calling,
[00:02:36.520 --> 00:02:39.040]   so it can respond in real time.
[00:02:39.040 --> 00:02:40.200]   - So the function calling thing,
[00:02:40.200 --> 00:02:41.360]   that sounds kind of complicated.
[00:02:41.360 --> 00:02:43.520]   Can you like explain how that works?
[00:02:43.520 --> 00:02:47.480]   - So imagine giving the AI access to this whole toolbox,
[00:02:47.480 --> 00:02:50.160]   right, information, capabilities, all sorts of things.
[00:02:50.160 --> 00:02:52.080]   So take the travel agent demo, for example.
[00:02:52.080 --> 00:02:55.080]   With function calling, the AI can pull up details,
[00:02:55.080 --> 00:02:58.480]   let's say about Fort Mason, right, from some database,
[00:02:58.480 --> 00:03:00.080]   like nearby restaurants, stuff like that.
[00:03:00.080 --> 00:03:01.680]   - Ah, I get it.
[00:03:01.680 --> 00:03:04.200]   So instead of being limited to what it already knows,
[00:03:04.200 --> 00:03:06.680]   it can go and find the information it needs
[00:03:06.680 --> 00:03:08.320]   like a human travel agent would.
[00:03:08.320 --> 00:03:09.360]   - Precisely.
[00:03:09.360 --> 00:03:11.840]   And someone on Hacker News pointed out a cool detail.
[00:03:11.840 --> 00:03:14.760]   The API actually gives you a text version
[00:03:14.760 --> 00:03:18.040]   of what's being said, so you can store that, analyze it.
[00:03:18.040 --> 00:03:19.280]   - That's smart.
[00:03:19.280 --> 00:03:21.360]   It seems like OpenAI put a lot of thought
[00:03:21.360 --> 00:03:24.880]   into making this API easy for developers to use.
[00:03:24.880 --> 00:03:28.320]   But while we're on OpenAI, you know, besides their tech,
[00:03:28.320 --> 00:03:31.360]   there's been some news about like internal changes too.
[00:03:31.360 --> 00:03:33.640]   Didn't they say they're moving away from being a nonprofit?
[00:03:33.640 --> 00:03:34.480]   - They did.
[00:03:34.480 --> 00:03:36.800]   And it's got everyone talking, it's a major shift,
[00:03:36.800 --> 00:03:39.040]   and it's only natural for people to wonder
[00:03:39.040 --> 00:03:41.600]   how that'll change things for OpenAI in the future.
[00:03:41.600 --> 00:03:43.240]   I mean, there are definitely some valid questions
[00:03:43.240 --> 00:03:44.680]   about this move to for-profit,
[00:03:44.680 --> 00:03:47.040]   like will they have more money for research now?
[00:03:47.040 --> 00:03:48.040]   Probably.
[00:03:48.040 --> 00:03:49.600]   But will they, you know, care as much
[00:03:49.600 --> 00:03:52.080]   about making sure AI benefits everyone?
[00:03:52.080 --> 00:03:53.280]   - Yeah, that's the big question,
[00:03:53.280 --> 00:03:55.680]   especially with all the like the leadership changes
[00:03:55.680 --> 00:03:58.000]   happening at OpenAI too, right?
[00:03:58.000 --> 00:04:01.040]   I read that their chief research officer left,
[00:04:01.040 --> 00:04:04.480]   and their VP of research, and even their CTO.
[00:04:04.480 --> 00:04:05.320]   - It's true.
[00:04:05.320 --> 00:04:07.440]   A lot of people are connecting those departures
[00:04:07.440 --> 00:04:09.480]   with the changes in OpenAI's structure.
[00:04:09.480 --> 00:04:10.600]   - And I guess it makes you wonder
[00:04:10.600 --> 00:04:12.520]   what's going on behind the scenes.
[00:04:12.520 --> 00:04:15.720]   But they are still putting out new stuff.
[00:04:15.720 --> 00:04:18.240]   Like this whole fine-tuning thing really caught my eye.
[00:04:18.240 --> 00:04:19.160]   - Right, fine-tuning.
[00:04:19.160 --> 00:04:22.760]   It's essentially taking a pre-trained AI model
[00:04:22.760 --> 00:04:24.600]   and like customizing it.
[00:04:24.600 --> 00:04:26.360]   - So instead of a general AI,
[00:04:26.360 --> 00:04:28.560]   you get one that's tailored for a specific job.
[00:04:28.560 --> 00:04:29.400]   - Exactly.
[00:04:29.400 --> 00:04:31.480]   And that opens up so many possibilities,
[00:04:31.480 --> 00:04:32.920]   especially for businesses.
[00:04:32.920 --> 00:04:36.120]   Imagine you could train an AI on your company's data,
[00:04:36.120 --> 00:04:38.640]   you know, like how you communicate your brand guidelines.
[00:04:38.640 --> 00:04:40.040]   - So it's like having an AI
[00:04:40.040 --> 00:04:42.160]   that's specifically trained for your company?
[00:04:42.160 --> 00:04:43.000]   - That's the idea.
[00:04:43.000 --> 00:04:45.080]   - And they're doing it with images now too, right?
[00:04:45.080 --> 00:04:47.640]   Fine-tuning with vision is what they called it.
[00:04:47.640 --> 00:04:49.280]   It's pretty incredible what they're doing with that,
[00:04:49.280 --> 00:04:51.040]   especially in fields like medicine.
[00:04:51.040 --> 00:04:53.880]   - Like using AI to help doctors make diagnoses.
[00:04:53.880 --> 00:04:54.720]   - Exactly.
[00:04:54.720 --> 00:04:57.640]   An AI could be trained on like thousands
[00:04:57.640 --> 00:04:59.320]   of medical images, right?
[00:04:59.320 --> 00:05:02.040]   And then it could potentially spot things
[00:05:02.040 --> 00:05:04.040]   that even a trained doctor might miss.
[00:05:04.040 --> 00:05:05.920]   - That's kind of scary, to be honest.
[00:05:05.920 --> 00:05:07.560]   What if it gets it wrong?
[00:05:07.560 --> 00:05:09.880]   - Well, the idea isn't to replace doctors,
[00:05:09.880 --> 00:05:11.800]   but to give them another tool,
[00:05:11.800 --> 00:05:13.600]   you know, help them make better decisions.
[00:05:13.600 --> 00:05:14.840]   - Okay, that makes sense.
[00:05:14.840 --> 00:05:18.560]   But training these AI models must be really expensive.
[00:05:18.560 --> 00:05:19.400]   - It can be.
[00:05:19.400 --> 00:05:20.960]   All those tokens add up.
[00:05:20.960 --> 00:05:22.800]   But OpenAI announced something called
[00:05:22.800 --> 00:05:24.520]   automatic prompt caching.
[00:05:24.520 --> 00:05:26.000]   - Automatic what now?
[00:05:26.000 --> 00:05:27.640]   I don't think I came across that.
