
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:10.440]   Our next speaker is Alan Roth, MBA, CPA, CFP.
[00:00:10.440 --> 00:00:12.440]   He has a lot more letters behind his name than I do.
[00:00:12.440 --> 00:00:14.400]   So he's at least four times smarter than me,
[00:00:14.400 --> 00:00:16.680]   I think is the way that what that means.
[00:00:16.680 --> 00:00:20.320]   He is the founder of a fee-only hourly
[00:00:20.320 --> 00:00:21.580]   financial advisory firm.
[00:00:21.580 --> 00:00:24.560]   He has 25 years of experience in corporate finance.
[00:00:24.560 --> 00:00:26.420]   He was the corporate finance officer
[00:00:26.420 --> 00:00:28.960]   of two multi-billion dollar companies,
[00:00:28.960 --> 00:00:30.440]   works as a consultant.
[00:00:30.440 --> 00:00:32.280]   He is the author of an investing book.
[00:00:32.280 --> 00:00:34.240]   He is an investment and financial columnist
[00:00:34.240 --> 00:00:38.720]   for the AARP, for etf.com, for Financial Planning Magazine.
[00:00:38.720 --> 00:00:42.280]   And most importantly, my favorite reason why I like Alan
[00:00:42.280 --> 00:00:44.420]   is something he hasn't done for quite some time,
[00:00:44.420 --> 00:00:49.240]   this role he had as a columnist called The Mole,
[00:00:49.240 --> 00:00:52.900]   where he went undercover in the financial planning industry
[00:00:52.900 --> 00:00:54.840]   and basically revealed all their secrets.
[00:00:54.840 --> 00:00:56.860]   So he hasn't done that for over a decade,
[00:00:56.860 --> 00:00:59.160]   but it's still my favorite role, Alan.
[00:00:59.160 --> 00:01:01.160]   And thank you for being here today.
[00:01:01.160 --> 00:01:05.900]   (audience applauds)
[00:01:05.900 --> 00:01:12.480]   - Wow, skies are opening up when I talk.
[00:01:12.480 --> 00:01:17.000]   Yeah, The Mole was the most fun I ever had writing.
[00:01:17.000 --> 00:01:22.560]   Bear the right amount of risk.
[00:01:22.560 --> 00:01:26.100]   How do we typically, holy crap.
[00:01:27.100 --> 00:01:31.340]   How do we typically determine the amount of risk to take?
[00:01:31.340 --> 00:01:33.860]   We take a risk profile questionnaire.
[00:01:33.860 --> 00:01:36.700]   And I know it doesn't seem like it today,
[00:01:36.700 --> 00:01:40.260]   but these are the returns of the total US in blue,
[00:01:40.260 --> 00:01:44.300]   total international in red, and total bond.
[00:01:44.300 --> 00:01:50.460]   And we are in the single worst nine months in bonds
[00:01:50.460 --> 00:01:55.500]   that has ever happened before.
[00:01:55.500 --> 00:01:59.900]   But still, bonds are a whole lot less risky than stocks.
[00:01:59.900 --> 00:02:02.680]   And by the way, there are some wonderful opportunities
[00:02:02.680 --> 00:02:05.460]   in this bond route.
[00:02:05.460 --> 00:02:07.100]   Something like TIPS a year ago,
[00:02:07.100 --> 00:02:11.540]   you could earn a negative 1.6 return, real return.
[00:02:11.540 --> 00:02:13.660]   Today it's a positive 1.7.
[00:02:13.660 --> 00:02:15.540]   So there are some really good things
[00:02:15.540 --> 00:02:18.220]   about this really bad bond market.
[00:02:18.220 --> 00:02:22.540]   How do we typically determine our risk?
[00:02:22.540 --> 00:02:24.020]   Raise your hand if you've ever taken
[00:02:24.020 --> 00:02:25.740]   a risk profile questionnaire.
[00:02:25.740 --> 00:02:29.740]   Vast majority of people, me too.
[00:02:29.740 --> 00:02:32.460]   Well, Jason Zweig of the Wall Street Journal,
[00:02:32.460 --> 00:02:35.540]   who'll be here tomorrow, says they're worthless.
[00:02:35.540 --> 00:02:39.060]   And I say, Jason, I completely disagree with you.
[00:02:39.060 --> 00:02:40.220]   They're not that good.
[00:02:40.220 --> 00:02:41.940]   They're actually dangerous.
[00:02:41.940 --> 00:02:45.060]   Why?
[00:02:45.060 --> 00:02:48.620]   Because the way we feel about risk is not stable.
[00:02:48.620 --> 00:02:52.380]   And the bigger one is they don't measure
[00:02:52.380 --> 00:02:55.180]   one's need to take risk.
[00:02:55.180 --> 00:02:57.660]   I've taken risk profile questionnaires.
[00:02:57.660 --> 00:02:58.940]   I love to take them.
[00:02:58.940 --> 00:03:03.140]   And I get, I should be 70% to 140% in stocks.
[00:03:03.140 --> 00:03:04.840]   I should have a margin account.
[00:03:04.840 --> 00:03:06.300]   By the way, what would have happened
[00:03:06.300 --> 00:03:08.160]   to that margin account in today's market?
[00:03:08.160 --> 00:03:09.460]   It would have been called.
[00:03:09.460 --> 00:03:13.940]   I'm 45% in stocks.
[00:03:13.940 --> 00:03:14.780]   Why?
[00:03:14.780 --> 00:03:16.500]   Because we've won the game.
[00:03:16.500 --> 00:03:18.540]   Our need to take risk is low.
[00:03:19.660 --> 00:03:22.140]   So there is a company that I think has
[00:03:22.140 --> 00:03:25.660]   the single best risk profile questionnaire out there.
[00:03:25.660 --> 00:03:27.300]   Not at liberty to mention their name,
[00:03:27.300 --> 00:03:28.560]   but it starts with a V.
