
[00:00:00.000 --> 00:00:02.000]   It's a real picture
[00:00:02.000 --> 00:00:04.000]   I
[00:00:04.000 --> 00:00:11.280]   Recognize the gut very
[00:00:11.280 --> 00:00:13.280]   I
[00:00:13.280 --> 00:00:33.880]   Don't think you guys know there's a treasure trove you go to Google Images
[00:00:33.880 --> 00:00:39.120]   You type in Phil's name and WSOP is the last thing I would ever do dozens of these dozens
[00:00:39.480 --> 00:00:45.900]   Every year he dresses up in some outfit. Oh my god. Let me see which ones I like. Yeah the plunging V lines a little much
[00:00:45.900 --> 00:00:50.820]   He does have a perky C cup so
[00:00:50.820 --> 00:00:52.820]   Oh
[00:00:52.820 --> 00:01:13.500]   No, wait, it's Poseidon's well, it's no no, it's
[00:01:13.500 --> 00:01:17.740]   Phil we love you. We love you. We love you
[00:01:17.740 --> 00:01:19.900]   And Phil loves attention
[00:01:19.900 --> 00:01:43.100]   All right, everybody welcome to episode 163 of the all in podcast with me, of course the Sultan of beep
[00:01:43.620 --> 00:01:50.100]   Science we'll find out his crop soon David Freeberg and David Sachs the rain man himself, and of course chairman dictator
[00:01:50.100 --> 00:01:52.220]   It's a mouthful. Yeah, let's get to work boys
[00:01:52.220 --> 00:02:00.580]   Tons and tons of interesting topics on the docket markets are ripping jobs and inflation looking good as the Dow hits an all-time high
[00:02:00.580 --> 00:02:03.660]   forget about soft landings boys a
[00:02:03.660 --> 00:02:11.740]   Sentiment is now flipping to a market meltup in 2024 the GDP numbers that just came out smashed at 3.3 percent year-over-year in the fourth
[00:02:11.740 --> 00:02:13.740]   quarter expectations were just 2%
[00:02:13.740 --> 00:02:17.700]   Dow and S&P 500 both hit all-time highs in the past week
[00:02:17.700 --> 00:02:20.660]   That was above 38,000 first time in history
[00:02:20.660 --> 00:02:24.660]   CPI number reasonable up 30 basis points month over month
[00:02:24.660 --> 00:02:29.220]   3.4 percent from last year getting close to that 2% target and
[00:02:29.220 --> 00:02:33.800]   The jobs data beat expectations 2023 jobs
[00:02:33.800 --> 00:02:41.380]   Not so bad at 2.7 million. It's the fifth strongest year for job increases since 2020 real test will be of course this year
[00:02:41.380 --> 00:02:47.140]   We've seen a bunch of layoffs. We'll get to that later gas prices plummeted 40% for $5 a gallon in the summer of 2022
[00:02:47.140 --> 00:02:49.340]   now just $3 a gallon and
[00:02:49.340 --> 00:02:55.980]   Consumers are apparently feeling great about the economy University of Michigan, which is the most respected
[00:02:55.980 --> 00:02:58.900]   report on consumer sentiment
[00:02:58.900 --> 00:03:04.260]   said it increased in the past two months the most since 1991 and
[00:03:04.260 --> 00:03:08.540]   the Federal Reserve Bank of New York survey found that Americans
[00:03:09.460 --> 00:03:12.180]   Inflation expectations have reached their lowest point in three years
[00:03:12.180 --> 00:03:17.940]   Call she is a prediction market. I like to use and it says 37% chance of a cut by March
[00:03:17.940 --> 00:03:22.660]   That's dropped. So people are thinking the rate cuts are gonna get pushed back and prediction markets
[00:03:22.660 --> 00:03:26.180]   Also think four to five rate cuts still in 2024
[00:03:26.180 --> 00:03:32.460]   But again, people seem to think they're gonna get pushed towards the spring or second half Chamath you alluded to this melt-up
[00:03:32.460 --> 00:03:37.340]   I don't know. Was it like three or four episodes ago that we might have a chance of a market melt-up
