
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:11.920]   First speaker today is SC Gutierrez,
[00:00:11.920 --> 00:00:14.920]   wherever she is, did I get that right?
[00:00:14.920 --> 00:00:16.840]   See, I knew it, we practiced this.
[00:00:16.840 --> 00:00:18.640]   (laughing)
[00:00:18.640 --> 00:00:22.360]   And she's gonna talk about what you need to know
[00:00:22.360 --> 00:00:26.300]   before you invest, how to set your savings target.
[00:00:27.800 --> 00:00:30.360]   SC is the CEO of Aptis Financial,
[00:00:30.360 --> 00:00:33.920]   and she holds a MPP from Harvard University,
[00:00:33.920 --> 00:00:36.040]   is a certified financial planner,
[00:00:36.040 --> 00:00:38.280]   a certified retirement plan specialist.
[00:00:38.280 --> 00:00:44.560]   And she is the author of "But First, Save 10,"
[00:00:44.560 --> 00:00:49.800]   "The One Simple Money Move That Will Change Your Life."
[00:00:49.800 --> 00:00:52.200]   And her company, Aptis Financial,
[00:00:52.200 --> 00:00:54.600]   provides a flat-free financial planning services
[00:00:54.600 --> 00:00:59.400]   for early career attending physicians
[00:00:59.400 --> 00:01:01.360]   and other young professionals.
[00:01:01.360 --> 00:01:04.120]   So SC, you have the mic.
[00:01:04.120 --> 00:01:05.440]   - Thank you, Rick.
[00:01:05.440 --> 00:01:07.240]   It is great to be here today,
[00:01:07.240 --> 00:01:11.640]   and I am such a fangirl of everything Boglehead
[00:01:11.640 --> 00:01:14.680]   and this conference, and I have a story
[00:01:14.680 --> 00:01:16.000]   that I told Christine, she was like,
[00:01:16.000 --> 00:01:18.600]   "You gotta tell everyone this story."
[00:01:18.600 --> 00:01:23.280]   So I used to be a sell-side stock analyst, actually.
[00:01:23.280 --> 00:01:25.400]   So we are the ones that would recommend
[00:01:25.400 --> 00:01:27.720]   whether people should buy, sell, or hold
[00:01:27.720 --> 00:01:30.840]   in their mutual funds, stocks in their mutual funds.
[00:01:30.840 --> 00:01:33.840]   And I read the book,
[00:01:33.840 --> 00:01:36.360]   the little book of "Common Sense Investing,"
[00:01:36.360 --> 00:01:38.520]   and it just changed everything.
[00:01:38.520 --> 00:01:43.520]   And I left my job and started a new company
[00:01:43.520 --> 00:01:47.020]   to do financial advice in a new way,
[00:01:47.020 --> 00:01:49.720]   all because of Jack Bogle and his inspiration.
[00:01:49.720 --> 00:01:54.240]   So it is a really big deal to be here with you all today.
[00:01:54.240 --> 00:01:55.640]   And I keep meeting people who are like,
[00:01:55.640 --> 00:01:57.360]   "This is my fourth conference."
[00:01:57.360 --> 00:01:58.440]   Like, I wanna be that person, like,
[00:01:58.440 --> 00:02:00.080]   "This is my 10th conference."
[00:02:00.080 --> 00:02:03.160]   Like, that's gonna be me here one day, I promise.
[00:02:03.160 --> 00:02:04.760]   Okay.
[00:02:04.760 --> 00:02:07.320]   So today, actually, went too far.
[00:02:07.320 --> 00:02:11.560]   Today, what we're gonna do is we are gonna combat
[00:02:11.560 --> 00:02:13.480]   something that's happening in the financial industry,
[00:02:13.480 --> 00:02:15.760]   and the financial industry is doing one thing to us.
[00:02:15.760 --> 00:02:18.360]   They're telling us, "We need you to care about one thing.
[00:02:18.360 --> 00:02:21.040]   "What's the one thing that we need to care about?"
[00:02:21.040 --> 00:02:23.500]   What, retirement?
[00:02:23.500 --> 00:02:25.160]   Yes, it is.
[00:02:25.160 --> 00:02:27.700]   But what's continuously being asked of us
[00:02:27.700 --> 00:02:29.800]   is that we care about investing.
[00:02:29.800 --> 00:02:33.400]   We need to care about the latest hot mutual fund to buy.
[00:02:33.400 --> 00:02:36.440]   We need to care about buying or not buying crypto.
[00:02:36.440 --> 00:02:38.720]   That's where the conversation is being had.
[00:02:38.720 --> 00:02:40.360]   And what's interesting is we're in the middle
[00:02:40.360 --> 00:02:43.740]   of a retirement crisis, right?
[00:02:43.740 --> 00:02:46.720]   So we just saw the first people who were in this thing
[00:02:46.720 --> 00:02:51.160]   called the 401(k), a defined contribution plan.
[00:02:51.160 --> 00:02:54.800]   The first group of people, as we switch from pensions
[00:02:54.800 --> 00:02:56.760]   to defined contribution plans.
[00:02:56.760 --> 00:03:01.640]   Tell us whether this experiment was successful or a failure.
[00:03:01.640 --> 00:03:02.460]   What was it?
[00:03:02.460 --> 00:03:05.600]   Here, right?
[00:03:05.600 --> 00:03:09.760]   We're still talking about investments.
[00:03:09.760 --> 00:03:10.840]   I run retirement plans.
[00:03:10.840 --> 00:03:13.880]   You know the only thing they care about in retirement plans?
[00:03:13.880 --> 00:03:15.680]   The investment menu.
[00:03:15.680 --> 00:03:17.240]   Are people saving in it, are they not?
[00:03:17.240 --> 00:03:21.840]   No, we just care about the investment menu, right?
[00:03:21.840 --> 00:03:25.640]   So here's the funny thing is, we are parroting back
[00:03:25.640 --> 00:03:27.960]   exactly what they're asking us to talk about.
[00:03:27.960 --> 00:03:29.440]   So in our financial planning firm,
[00:03:29.440 --> 00:03:32.400]   we have people who write in, "I wanna work with your firm."
[00:03:32.400 --> 00:03:36.000]   And so they'll say, "Can you help me with investments?
[00:03:36.000 --> 00:03:36.840]   "Can you help me with this?"
[00:03:36.840 --> 00:03:39.320]   And y'all, I love investments.
[00:03:39.320 --> 00:03:41.760]   But you're looking at their portfolio and going,
[00:03:41.760 --> 00:03:43.320]   "Whoa, whoa, whoa, whoa, whoa.
[00:03:43.320 --> 00:03:47.780]   "We need to be talking about something a little different.
[00:03:47.780 --> 00:03:49.980]   "What do we need to be talking about?
[00:03:49.980 --> 00:03:52.560]   "What do you need in order to invest?
[00:03:52.560 --> 00:03:55.480]   "What's the first thing you have to have?"
[00:03:55.480 --> 00:03:56.760]   Money.
[00:03:56.760 --> 00:03:59.120]   Money, money, money, money, money.
[00:03:59.120 --> 00:04:01.200]   That's what we gotta have, we gotta have money.
[00:04:01.200 --> 00:04:03.940]   Okay, so let's start there.
[00:04:03.940 --> 00:04:08.080]   Does anybody in this room think that any young person
[00:04:08.080 --> 00:04:12.600]   in America does not know I need to spend less than I make?
[00:04:12.600 --> 00:04:13.440]   Right?
[00:04:13.440 --> 00:04:14.500]   I mean, we know that, right?
[00:04:14.500 --> 00:04:17.120]   No one would be like, "Oh, that never occurred to me," right?
[00:04:17.120 --> 00:04:18.440]   Like, we all know that.
[00:04:18.440 --> 00:04:21.200]   But here's the big question I have.
[00:04:21.200 --> 00:04:26.320]   Does any young person really know how much to save?
[00:04:26.320 --> 00:04:30.480]   But you know there is an answer, right?
[00:04:30.480 --> 00:04:35.800]   If you're median income and you're 22 years old
[00:04:36.680 --> 00:04:40.160]   and you expect to reasonably retire in your 60s,
[00:04:40.160 --> 00:04:43.360]   we know you need to save 10%, right?
[00:04:43.360 --> 00:04:46.040]   Right, save 10%.
[00:04:46.040 --> 00:04:48.300]   That's gonna get you to retirement.
[00:04:48.300 --> 00:04:50.840]   You're gonna be able to replace your income.
[00:04:50.840 --> 00:04:53.640]   You're gonna be able to probably maintain your lifestyle.
[00:04:53.640 --> 00:04:56.320]   And that's assuming a five or 6% rate of return, right?
[00:04:56.320 --> 00:04:58.760]   Like, we're not talking about anything crazy.
[00:04:58.760 --> 00:05:00.640]   Save 10%, save 10%.
[00:05:00.640 --> 00:05:02.520]   It's a real simple idea.
[00:05:02.520 --> 00:05:04.380]   But why are we not discussing it?
[00:05:05.400 --> 00:05:08.680]   Does anybody here know what your percentage savings rate is
[00:05:08.680 --> 00:05:11.160]   that you need for you to be able to stop working one day
[00:05:11.160 --> 00:05:12.200]   on your own terms?
[00:05:12.200 --> 00:05:16.320]   People don't know our number.
[00:05:16.320 --> 00:05:18.880]   So I'm gonna tell you my number right now.
[00:05:18.880 --> 00:05:20.920]   I have a 35% savings rate.
[00:05:20.920 --> 00:05:23.840]   Sometimes it's 40, sometimes it's 30.
[00:05:23.840 --> 00:05:27.440]   I am aiming to be able to be work optional
[00:05:27.440 --> 00:05:29.560]   'cause I do not resonate with the word retire.
[00:05:29.560 --> 00:05:30.520]   I love what I do.
[00:05:30.520 --> 00:05:34.240]   I like to use the words work optional.
[00:05:34.240 --> 00:05:36.100]   I wanna be work optional in my 40s.
[00:05:36.100 --> 00:05:39.860]   Have I told you anything about my wealth?
[00:05:39.860 --> 00:05:42.980]   Nothing, right?
[00:05:42.980 --> 00:05:44.080]   You know nothing.
[00:05:44.080 --> 00:05:45.520]   You don't know how much money I have.
[00:05:45.520 --> 00:05:47.920]   You don't know how much money I will have, right?
[00:05:47.920 --> 00:05:52.200]   We can openly discuss our savings rate, folks.
[00:05:52.200 --> 00:05:53.720]   Do you realize that?
[00:05:53.720 --> 00:05:55.600]   We are allowed to absolutely talk about
[00:05:55.600 --> 00:05:57.800]   how much car we buy, how much house we buy.
[00:05:57.800 --> 00:06:01.440]   We can absolutely show any measure of our spending.
[00:06:01.440 --> 00:06:04.060]   But the moment that we wanna talk about wealth,
[00:06:04.060 --> 00:06:06.120]   that is suddenly taboo.
[00:06:06.120 --> 00:06:09.300]   So we live in a society that only talks about spending
[00:06:09.300 --> 00:06:12.480]   because it's taboo to talk about saving.
[00:06:12.480 --> 00:06:15.120]   But this metric that we're gonna do today,
[00:06:15.120 --> 00:06:18.200]   you are gonna walk out of this room with a number.
[00:06:18.200 --> 00:06:19.200]   It's your number.
[00:06:19.200 --> 00:06:21.120]   You're gonna walk out of this room with this number.
[00:06:21.120 --> 00:06:23.000]   I want you to talk about it.
[00:06:23.000 --> 00:06:25.400]   I want you to share it, not just with Bogleheads.
[00:06:25.400 --> 00:06:28.160]   Yes, we share a lot of things at Bogleheads, right?
[00:06:28.160 --> 00:06:30.840]   I'm talking about the greater world.
[00:06:30.840 --> 00:06:35.840]   We are all better off if we all save enough to retire.
[00:06:35.840 --> 00:06:37.100]   All of us.
[00:06:37.100 --> 00:06:38.800]   This is not a pie thing, okay?
[00:06:38.800 --> 00:06:41.140]   We're talking about growing the pie here together.
[00:06:41.140 --> 00:06:45.460]   So I want you all to not only take your number away
[00:06:45.460 --> 00:06:47.720]   that we're gonna calculate today,
[00:06:47.720 --> 00:06:50.620]   or get a start with today, I'll explain in a second,
[00:06:50.620 --> 00:06:54.180]   but I want you to take it to your people that you love,
[00:06:54.180 --> 00:06:58.180]   to your kids, to your spouse, to your grandkids.
[00:06:58.180 --> 00:07:00.540]   Take this notion of we talk about
[00:07:00.540 --> 00:07:03.740]   our savings rate as a society.
[00:07:03.740 --> 00:07:06.760]   Okay, so this is a math problem, right?
[00:07:06.760 --> 00:07:08.380]   It's a math problem?
[00:07:08.380 --> 00:07:09.220]   Just math.
[00:07:09.220 --> 00:07:10.620]   If we just knew our savings rate,
[00:07:10.620 --> 00:07:14.180]   we're gonna solve the retirement crisis, right?
[00:07:14.180 --> 00:07:15.660]   Yeah, no.
[00:07:15.660 --> 00:07:17.540]   Okay, we're not.
[00:07:17.540 --> 00:07:21.020]   So this is my budgeting system
[00:07:21.020 --> 00:07:24.260]   when I got out of college and got my first job.
[00:07:24.260 --> 00:07:27.020]   And I was sitting across from the HR director,
[00:07:27.020 --> 00:07:28.880]   and she said to me,
