
[00:00:00.000 --> 00:00:03.000]   (audience applauds)
[00:00:03.000 --> 00:00:07.560]   You're gonna get Paul Merriman,
[00:00:07.560 --> 00:00:09.960]   because Paul Merriman is here, and I'm excited about that.
[00:00:09.960 --> 00:00:12.280]   He's a nationally recognized authority
[00:00:12.280 --> 00:00:15.520]   on mutual funds, index investing, and asset allocation.
[00:00:15.520 --> 00:00:18.780]   He retired in 2012 from Merriman Wealth Management,
[00:00:18.780 --> 00:00:20.920]   which he founded in 1983,
[00:00:20.920 --> 00:00:23.720]   and basically dedicated himself at that point
[00:00:23.720 --> 00:00:26.240]   to just educating as many people as he possibly could
[00:00:26.240 --> 00:00:29.280]   for free about financial literacy.
[00:00:29.280 --> 00:00:30.840]   He's the author of eight books.
[00:00:30.840 --> 00:00:33.360]   He writes a regular column for MarketWatch,
[00:00:33.360 --> 00:00:36.460]   and produces a multi-award-winning weekly podcast,
[00:00:36.460 --> 00:00:40.720]   Sound Investing, and he's got over 30,000 subscribers
[00:00:40.720 --> 00:00:43.520]   to his twice-monthly newsletter.
[00:00:43.520 --> 00:00:46.480]   More recently, he has made a massive donation
[00:00:46.480 --> 00:00:51.000]   to boosting financial literacy at a university in his state.
[00:00:51.000 --> 00:00:54.560]   So thank you for that, Paul, and congratulations on that.
[00:00:54.560 --> 00:00:57.240]   - I really am excited to be here.
[00:00:57.240 --> 00:00:59.400]   This is on my bucket list.
[00:00:59.400 --> 00:01:01.840]   Some people want to go to other parts of the world
[00:01:01.840 --> 00:01:03.200]   when they retire.
[00:01:03.200 --> 00:01:06.000]   I've been waiting to be here for 10 years.
[00:01:06.000 --> 00:01:10.040]   So I am, I, yeah. (audience applauds)
[00:01:10.040 --> 00:01:12.780]   It's really, it's very exciting,
[00:01:12.780 --> 00:01:17.300]   and I am not here, really, to debate Rick Ferry.
[00:01:17.300 --> 00:01:20.740]   I really am here to share some information
[00:01:20.740 --> 00:01:23.840]   that I think could help you make more money
[00:01:23.840 --> 00:01:26.840]   with your portfolios, nothing more than that.
[00:01:26.840 --> 00:01:30.000]   We are simply a nonprofit organization
[00:01:30.000 --> 00:01:33.120]   feeding people information that we hope
[00:01:33.120 --> 00:01:35.880]   will help them understand ways to combine
[00:01:35.880 --> 00:01:39.880]   different kinds of equity asset classes.
[00:01:39.880 --> 00:01:42.320]   We are not investment advisors.
[00:01:42.320 --> 00:01:44.960]   We are not financial planners.
[00:01:44.960 --> 00:01:48.920]   We are teachers, and that is all we are.
[00:01:48.920 --> 00:01:53.240]   So as your teacher for a few minutes here today,
[00:01:53.240 --> 00:01:56.880]   I want to make the case for small-cap value
[00:01:56.880 --> 00:02:00.480]   as a factor in your portfolio,
[00:02:00.480 --> 00:02:03.400]   and I want to make it based on information that I trust,
[00:02:03.400 --> 00:02:07.160]   and I mention that because I ran into a gentleman last night,
[00:02:07.160 --> 00:02:10.400]   a friend from many, many years ago.
[00:02:10.400 --> 00:02:12.640]   He doesn't believe in small-cap value.
[00:02:12.640 --> 00:02:15.880]   It was not Rick. (audience laughs)
[00:02:15.880 --> 00:02:17.920]   And I wanted to know why,
[00:02:17.920 --> 00:02:20.560]   because there's so much great information.
[00:02:20.560 --> 00:02:24.520]   He doesn't trust the path, the returns,
[00:02:24.520 --> 00:02:27.200]   or the studies that have been done,
[00:02:27.200 --> 00:02:32.040]   and we are in a faith-based industry, like it or not,
[00:02:32.040 --> 00:02:34.520]   and since that's the way it is,
[00:02:34.520 --> 00:02:36.800]   if he doesn't trust those numbers,
[00:02:36.800 --> 00:02:41.300]   then I understand that he shouldn't be using small-cap value.
[00:02:41.300 --> 00:02:43.540]   I use numbers that I'll share with you,
[00:02:43.540 --> 00:02:45.420]   many more than many people like,
[00:02:45.420 --> 00:02:49.860]   that make me trust it, that come from people
[00:02:49.860 --> 00:02:53.700]   that I trust have developed the numbers from the past
[00:02:53.700 --> 00:02:56.680]   that I can recommend, in a sense, to other people.
[00:02:56.680 --> 00:03:01.680]   So let me talk about the truth of small-cap value,
[00:03:01.680 --> 00:03:05.520]   the good, the bad, and the ugly, and let me tell you,
[00:03:05.520 --> 00:03:08.800]   the ugly is about as ugly as it can get,
[00:03:08.800 --> 00:03:11.820]   and if a person's not ready for that ugliness,
[00:03:11.820 --> 00:03:13.280]   then they shouldn't be in it,
[00:03:13.280 --> 00:03:14.600]   and by the way, that could be true
[00:03:14.600 --> 00:03:16.480]   of the stock market as well.
[00:03:16.480 --> 00:03:18.840]   It all starts with this simple table
[00:03:18.840 --> 00:03:21.400]   that shows the long-term return
