
[00:00:00.040 --> 00:00:18.600]   Hex is a data science platform company. What you should think about is sort of like a really
[00:00:18.600 --> 00:00:23.280]   powerful Jupyter notebook. I've been building AI capabilities at Hex for about a year and a half.
[00:00:23.280 --> 00:00:28.520]   I've been in data science and machine learning for about 12 years. So let's get one thing out
[00:00:28.520 --> 00:00:34.980]   of the way. Why might you care about my opinion? Well, let's take a look at this tweet of mine.
[00:00:34.980 --> 00:00:40.220]   This is when I was hiring my first AI engineer. I'll draw your attention to the date. I'll
[00:00:40.220 --> 00:00:47.440]   also draw your attention to the date on this very famous blog post. So my tweet was one
[00:00:47.440 --> 00:00:52.840]   of the inspirations for the rise of the AI engineer. That does not mean that I'm fully aligned with
[00:00:52.840 --> 00:01:01.300]   that blog post, but it does mean that I have some opinions. What I expect, many of you are
[00:01:01.300 --> 00:01:09.300]   expecting, is for me to start talking about what AI engineering is. And so to kind of try
[00:01:09.300 --> 00:01:15.760]   try to help with this, I made a little simple chatbot. I call it AI leader GPT. And I figured,
[00:01:15.760 --> 00:01:19.760]   let's have it answer your questions. I'm pretty lazy. I have a lot of stuff on my plate. I figured,
[00:01:19.760 --> 00:01:25.980]   just hand it over to AI. That's kind of our goal anyway. So I asked my little chatbot that I want to
[00:01:25.980 --> 00:01:32.840]   ask some questions. I asked it, what does AI engineer mean? Unfortunately, this is one of those moments where,
[00:01:32.840 --> 00:01:40.020]   clearly, the intelligence isn't there yet. Despite a lot of improvement on MMLU, we yet can't define
[00:01:40.020 --> 00:01:46.440]   this term. So unfortunately, I'll have to do this myself. Okay, so let's start with the question,
[00:01:46.440 --> 00:01:54.560]   what? Building an AI product requires a team. But what does this role really look like? I'm going to
[00:01:54.560 --> 00:01:59.340]   tell you what my very first job posting looked like. And I'm going to talk you through it to try to give
[00:01:59.340 --> 00:02:04.500]   you some sense of what this actually should be. I was looking for a senior engineer. That senior
[00:02:04.500 --> 00:02:12.840]   engineer could come from SWE or MLE. And we wanted them to rapidly expand our capabilities for greenfield
[00:02:12.840 --> 00:02:22.740]   applications. That should sound very normal, should sound very expected. Unfortunately, while we respect
[00:02:22.740 --> 00:02:30.080]   ML researchers, we are explicitly not looking for this. This was in the job posting. For those of you
[00:02:30.080 --> 00:02:35.820]   that are putting up job postings, I highly recommend that if this is not what you're looking for, that you
[00:02:35.820 --> 00:02:46.020]   tell them. It is both a waste of your time and their time for them to apply hoping to go to ICLR based on the
[00:02:46.020 --> 00:02:51.180]   work they're going to work they're going to do at your company. Once again, this is not for lack of a deep
[00:02:51.180 --> 00:02:59.740]   interest in their work. This is just not the stage we're at. I would love to hear from you if you have
[00:02:59.740 --> 00:03:07.680]   experience getting ML or AI capabilities into production and serving real users. If you have a lot of that
[00:03:07.680 --> 00:03:15.660]   enthusiasm for applications of AI to business problems. And if you have a core understanding of the
[00:03:15.660 --> 00:03:22.080]   architectural things, maybe you've read one of the books on MLOps. Maybe you've read previous discussions
[00:03:22.080 --> 00:03:27.840]   about MLOps. Maybe you've worked in some infra adjacent things as a back-end engineer. That all sounds
[00:03:27.840 --> 00:03:35.760]   wonderful. And here we start to get a little controversial. You should be comfortable working in both Python
[00:03:35.760 --> 00:03:46.440]   and TypeScript. It's okay if you are only strong in one, but you should be open to both. Our application
[00:03:46.440 --> 00:03:51.660]   is built in TypeScript. I need people who are going to be willing to get into the details that get into
[00:03:51.660 --> 00:03:57.420]   the nitty-gritty there. I don't need you to come in as an expert on React, but I do need you to be able
[00:03:57.420 --> 00:04:07.800]   to interface with those people in a really productive way. So I went back to my little GPT and I said, I'd
[00:04:07.800 --> 00:04:14.580]   really like to understand the when, the why, the who, and the how of all of this process. And so let's go
[00:04:14.580 --> 00:04:22.080]   through those things. First up, when? Well, it actually kind of depends. It depends where you
[00:04:22.080 --> 00:04:28.200]   are in your journey. If you're early in your journey, you need SWE skills, you need data profiles, and you
[00:04:28.200 --> 00:04:35.040]   need product competency. If you're middle stage, you need SWE some more, probably some more infra. You need
[00:04:35.040 --> 00:04:40.800]   data profiles, but you also need some design. This last one is the number one thing that I see teams
[00:04:40.800 --> 00:04:47.940]   under-investing in. If you're later stage, you definitely need infra. You need all the above,
[00:04:47.940 --> 00:04:52.420]   but a little bit scaled. And now you need to start actually thinking about machine learning engineers.
[00:04:52.420 --> 00:05:01.200]   This is when you want to start. Yeah? Yeah, totally. So data scientists, data analysts, people that have a
[00:05:01.200 --> 00:05:08.340]   lot of experience looking at distributions of data and saying, wait a minute, that's strange. Looking at
[00:05:08.340 --> 00:05:14.180]   user output and saying, hmm, this is actually quite different than we were expecting. Looking at sort of
[00:05:14.180 --> 00:05:23.500]   like product analytics and saying, you know what? This retention is pretty poor. One thing that I would
[00:05:23.500 --> 00:05:29.000]   sort of ask everybody in this room to do for yourself right now is how good should retention be on an AI
[00:05:29.000 --> 00:05:35.280]   product? If you don't know that about your product, both what the comparables are for other products,
[00:05:35.500 --> 00:05:39.600]   you're missing an opportunity. You're missing an opportunity to hire people who have been doing this
[00:05:39.600 --> 00:05:46.760]   for a long time. They will up-level your team. So in the later stages, now you need to start talking
[00:05:46.760 --> 00:05:52.020]   about MLEs. Maybe because you need to fine-tune a model. Maybe because you need to fine-tune an embedding
[00:05:52.020 --> 00:06:07.660]   you should start early. However, it is extremely dangerous to accidentally fall into the trap of the
[00:06:07.660 --> 00:06:16.020]   mythical man month. This is true in all software's, all product development. It is somehow magnified in AI. I see more
[00:06:16.020 --> 00:06:27.280]   people overdoing this in AI than I do in other domains. So if the AI demo only takes one week and the AI product
[00:06:27.280 --> 00:06:38.540]   clearly takes only four weeks if you throw 20 engineers at it. I don't have 20 engineers, but even if I did, I certainly wouldn't be putting them on the same AI product.
[00:06:38.540 --> 00:06:49.880]   There is a very, very, very important reminder that nine women cannot give birth in a single month.
[00:06:49.880 --> 00:07:05.440]   Because all AI products are early by definition, the mythical man month is especially true for early products. You really, really, really need to be careful here. When I speak to my peers, this is the number one mistake that I'm hearing.
[00:07:07.540 --> 00:07:22.160]   The hiring schedule should reflect the development schedule. So you should start with an early product that you get in front of users. Then you should start by building evals. Then you should get user feedback. And then you should iterate.
[00:07:23.100 --> 00:07:33.360]   If you want more details about this, you can either consult this paper that we released, what we learned last year of building LLMs, or you can come to our talk later today to get more information on this.
[00:07:33.360 --> 00:07:44.520]   This development schedule, this is not just my opinion. It's not just six of our opinions. This is tried and tested, speaking to a lot of other people. This is what works. This order of operations.
[00:07:45.140 --> 00:07:49.780]   So if this order of operations works, then your hiring had better be well aligned to it.
[00:07:49.780 --> 00:07:59.040]   Data needs to come much earlier than in traditional product engineering efforts. You asked the question about, like, what do data profiles look like?
[00:07:59.040 --> 00:08:10.600]   One of the things that is very, very true about AI, partly because of this development schedule, but also because of the type of products that we're trying to build, you really need to be looking at your data.
[00:08:11.100 --> 00:08:17.460]   And all of us can look at data, but some people are literally professionals at just looking at the data.
[00:08:17.460 --> 00:08:22.080]   That intuition takes a long time to build and will level up your team.
[00:08:22.080 --> 00:08:30.140]   So, unfortunately, why is a little bit of a harder question existentially.
[00:08:30.140 --> 00:08:35.460]   So we'll try to scope it down a teeny bit to just be why hire for these teams.
[00:08:35.720 --> 00:08:38.120]   Why not just use your existing resources?
[00:08:38.120 --> 00:08:46.520]   The hiring theses for this initial team is going to look like the following.
