
[00:00:00.000 --> 00:00:03.320]   Hello everybody, it's Sam from Financial Samurai and in this episode
[00:00:03.320 --> 00:00:08.120]   I want to talk about how to buy Treasury bonds and various buying strategies to consider
[00:00:08.120 --> 00:00:13.360]   Because after I discussed buying Treasury bonds with over a 4% yield
[00:00:13.360 --> 00:00:16.100]   Many people email me asking me how to do it
[00:00:16.100 --> 00:00:16.960]   and also
[00:00:16.960 --> 00:00:23.560]   I spent three hours writing a new post on how to exactly buy Treasury bonds and I came to some
[00:00:23.560 --> 00:00:25.760]   Realizations that I think many of you will appreciate
[00:00:25.760 --> 00:00:27.840]   first of all
[00:00:27.840 --> 00:00:32.640]   Treasury bonds have been zooming higher the 10-year bond yield reached 4%
[00:00:32.640 --> 00:00:37.040]   the morning of September 28, it hasn't been there since
[00:00:37.040 --> 00:00:46.160]   2007 it's been a while folks and it's interesting because there is not more demand during the Treasury bond
[00:00:46.160 --> 00:00:46.880]   auctions
[00:00:46.880 --> 00:00:51.960]   It's weird to me that 4% doesn't seem attractive because I can see in
[00:00:51.960 --> 00:00:55.260]   3, 4, 5 years when we look back on today
[00:00:55.560 --> 00:00:58.440]   We might think to ourselves Wow, we could have locked in
[00:00:58.440 --> 00:01:02.720]   4% risk-free rate of return over a 20-year time period
[00:01:02.720 --> 00:01:08.960]   Hmm, not bad, but nobody knows the future which is why investing is so interesting
[00:01:08.960 --> 00:01:14.180]   So hard and why we need to invest for the long term in a proper asset allocation framework
[00:01:14.180 --> 00:01:16.820]   If you don't know what a Treasury bond is, that's okay
[00:01:16.820 --> 00:01:21.540]   They are risk-free investments if you hold them until maturity
[00:01:21.880 --> 00:01:29.200]   Treasury bonds are issued by the United States federal government the Treasury to finance projects or and day-to-day operations as
[00:01:29.200 --> 00:01:35.320]   Inflation and inflation expectations rise and fall so do Treasury bond yields now
[00:01:35.320 --> 00:01:41.800]   There are two ways to buy Treasury bonds. The first way is through Treasury direct Treasury direct gov
[00:01:41.800 --> 00:01:44.820]   It's a terrible website super cumbersome
[00:01:44.820 --> 00:01:49.580]   Don't lose your password folks because you're gonna spend an hour trying to get someone on hold to reset it
