
[00:00:00.040 --> 00:00:09.340]  胡
[00:00:09.340 --> 00:00:10.920]   like the but
[00:00:28.640 --> 00:00:29.680]  ógógógógógógógógógógógógógógógógógógógógógógógógógógógógógógógógógógóg.
[00:00:29.680 --> 00:00:33.920]   But in the middle of this asset protection series, I have a problem.
[00:00:33.920 --> 00:00:38.940]   The problem is half of my audience love technical financial planning and half of my audience hate it.
[00:00:38.940 --> 00:00:44.680]   So I'm going to mix up that series with just a short discussion on RVs.
[00:00:44.680 --> 00:00:48.560]   And today's show, the only three legitimate reasons to buy an RV.
[00:00:48.560 --> 00:00:52.840]   Obviously, that's a quite cocky statement, which I will expand on in a moment.
[00:00:52.840 --> 00:00:57.200]   But it's official. My wife and I have officially ended our own
[00:00:57.200 --> 00:00:57.200]   RV trip.
[00:00:57.200 --> 00:00:57.200]   We've been on the road for a while.
[00:00:57.200 --> 00:00:57.200]   We've been on the road for a while.
[00:00:57.200 --> 00:00:57.240]   We've been on the road for a while.
[00:00:57.240 --> 00:00:57.280]   We've been on the road for a while.
[00:00:57.280 --> 00:00:57.340]   We've been on the road for a while.
[00:00:57.340 --> 00:01:26.080]  , traveled about 13,000 miles around the United States, essentially from one coast to the other.
[00:01:26.080 --> 00:01:26.120]   We've been on the road for a while.
[00:01:26.120 --> 00:01:26.140]   traveled about 13,000 miles around the United States, essentially from one coast to the other.
[00:01:26.140 --> 00:01:26.180]   traveled about 13,000 miles around the United States, essentially from one coast to the other.
[00:01:26.180 --> 00:01:26.240]   traveled about 13,000 miles around the United States, essentially from one coast to the other.
[00:01:26.240 --> 00:01:26.240]   And in so doing, I have learned and analyzed quite a bit of the United States and quite a bit of this RV lifestyle.
[00:01:26.240 --> 00:01:26.260]   And in so doing, I have learned and analyzed quite a bit of the United States and quite a bit of this RV lifestyle.
[00:01:26.260 --> 00:01:26.280]   I will share more on some of the personal lessons learned on that trip in a separate episode at some point probably here in the month of December.
[00:01:26.280 --> 00:01:27.340]   I will share more on the personal lessons learned on that trip in a separate episode at some point probably here in the month of December.
[00:01:27.360 --> 00:01:27.440]   I will share more on the personal lessons learned on that trip in a separate episode at some point probably here in the month of December.
[00:01:27.440 --> 00:01:33.940]   And on my head, as I drive many thousands of miles, just looking and thinking and analyzing, and it is this:
[00:01:33.940 --> 00:01:33.980]   And on my head, as I drive many thousands of miles, just looking and thinking and analyzing, and it is this:
[00:01:33.980 --> 00:01:40.080]   And on my head, as I drive many thousands of miles, just looking and thinking and analyzing, and it is this: There are only three legitimate reasons that I can find to buy an RV.
[00:01:40.080 --> 00:01:40.100]   There are only three legitimate reasons that I can find to buy an RV.
[00:01:40.100 --> 00:01:42.260]   There are only three legitimate reasons that I can find to buy an RV. Now, I will hasten to qualify that statement to say, "It's your money, your reasons, you do whatever you want."
[00:01:42.260 --> 00:01:46.000]   Now, I will hasten to qualify that statement to say, "It's your money, your reasons, you do whatever you want."
[00:01:46.020 --> 00:02:05.000]   Now, I will hasten to qualify that statement to say, "It's your money, your reasons, you do whatever you want."
[00:02:05.000 --> 00:02:05.100]   Now, I will hasten to qualify that statement to say, "It's your money, your reasons, you do whatever you want."
[00:02:05.100 --> 00:02:05.160]   Now, I will hasten to qualify that statement to say, "It's your money, your reasons, you do whatever you want."
[00:02:05.160 --> 00:02:05.220]   Now, I will hasten to qualify that statement to say, "It's your money, your reasons, you do whatever you want."
[00:02:05.220 --> 00:02:05.260]   Now, I will hasten to qualify that statement to say, "It's your money, your reasons, you do whatever you want."
[00:02:05.260 --> 00:02:05.320]   Now, I will hasten to qualify that statement to say, "It's your money, your reasons, you do whatever you want."
[00:02:05.320 --> 00:02:05.340]   Now, I will hasten to qualify that statement to say, "It's your money, your reasons, you do whatever you want."
[00:02:05.380 --> 00:02:26.800]  , that they have ever, you know, frankly engaged in.
[00:02:26.800 --> 00:02:26.860]   And so let me explain to you three good reasons to have an RV.
[00:02:26.860 --> 00:02:26.880]   And so let me explain to you three good reasons to have an RV.
[00:02:26.880 --> 00:02:27.000]   And so let me explain to you three good reasons to have an RV.
[00:02:27.000 --> 00:02:27.100]   And so let me explain to you three good reasons to have an RV.
[00:02:27.100 --> 00:02:27.140]   And so let me explain to you three good reasons to have an RV.
[00:02:27.140 --> 00:02:27.180]   And so let me explain to you three good reasons to have an RV.
[00:02:27.180 --> 00:02:27.220]   And so let me explain to you three good reasons to have an RV.
[00:02:27.220 --> 00:02:27.260]   And so let me explain to three good reasons to have an RV.
[00:02:27.260 --> 00:02:27.300]   And so let me explain to three good reasons to have an RV.
[00:02:27.300 --> 00:02:27.340]   And so let me explain to three good reasons to have an RV.
[00:02:27.340 --> 00:02:27.340]   And so let me explain to three good reasons to have an RV.
[00:02:27.340 --> 00:02:27.420]   And so let me explain to three good reasons to have an RV.
[00:02:49.420 --> 00:02:52.580]   The number one legitimate reason for you to buy an RV is if you want to comfortably sleep and live in a place where there are few or no hotels. The number one legitimate reason for you to buy an RV is if you want to comfortably sleep and live in a place where there are few or no hotels. The number one legitimate reason for you to buy an RV is if you want to comfortably sleep and live in a place where there are few or no hotels. The number one legitimate reason for you to buy an RV is if you want to comfortably sleep and live in a place where there are few or no hotels. The number one legitimate reason for you to buy an RV is if you want to comfortably sleep and live in a place where there are few or no hotels. The number one legitimate reason for you to buy an RV is if you want to comfortably sleep and live in a place where there are few or no hotels. The number one
[00:02:52.580 --> 00:02:56.660]   The number one reason for you to buy an RV is if you want to comfortably sleep
[00:03:25.580 --> 00:03:35.680]   generation
[00:03:35.680 --> 00:03:36.680]   like,,,
[00:03:36.680 --> 00:03:39.500]   gigemia
[00:03:39.500 --> 00:03:55.560]  stre
[00:04:25.580 --> 00:04:25.580]  '
[00:04:25.580 --> 00:04:25.580]   ...
[00:04:25.580 --> 00:04:25.580]   ...
[00:04:25.580 --> 00:04:25.580]   ...
[00:04:25.580 --> 00:04:25.580]   incorporation.
[00:04:25.580 --> 00:04:25.580]   The reason why we have to do this is because we don't have the capacity to do it in a wild land where you are legally free to stay and hunt, take pictures, hike, climb, engage in whatever your version of outdoor recreation is. You're legally entitled to stay there, but there are no hotels there. Now, don't miss the fact that you don't need an RV to stay in those places. You can bring along a tent, you can roll out your bedroll and
[00:04:25.580 --> 00:04:25.580]   you can bring along a tent, you can roll out your bedroll and
[00:04:55.600 --> 00:04:55.600]   S.
[00:04:55.600 --> 00:04:55.600]   S.
[00:04:55.600 --> 00:04:55.600]   S.
[00:04:55.600 --> 00:04:55.600]   S.
[00:04:55.600 --> 00:04:55.620]   S.
[00:04:55.660 --> 00:05:04.080]   go
[00:05:04.080 --> 00:05:07.140]   or en
[00:05:25.680 --> 00:05:55.660]   rend de la vida.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:05:55.660]   It brings comfort in a place where there are no hotels.
[00:05:55.660 --> 00:06:25.680]   It brings comfort in a place where there are no hotels.
[00:06:25.680 --> 00:06:25.680]   It brings comfort in a place where there are no hotels.
[00:06:25.680 --> 00:06:25.680]   It brings comfort in a place where there are no hotels.
[00:06:25.680 --> 00:06:25.680]   It brings comfort in a place where there are no hotels.
[00:06:25.680 --> 00:06:25.680]   It brings comfort in a place where there are no hotels.
[00:06:25.680 --> 00:06:25.680]   It brings comfort in a place where there are no hotels.
[00:06:25.680 --> 00:06:25.680]   It brings comfort in a place where there are no hotels.
[00:06:25.680 --> 00:06:25.680]   It brings comfort in a place where there are no hotels.
[00:06:25.680 --> 00:06:25.680]   It brings comfort in a place where there are no hotels.
[00:06:25.680 --> 00:06:25.680]   It brings comfort in a place where there are no hotels.
[00:06:25.700 --> 00:06:55.700]   And it brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:06:55.700]   It brings comfort in a place where there are no hotels.
[00:06:55.700 --> 00:07:25.720]   It brings comfort in a place where there are no hotels.
[00:07:25.720 --> 00:07:25.720]   It brings comfort in a place where there are no hotels.
[00:07:25.720 --> 00:07:25.720]   It brings comfort in a place where there are no hotels.
[00:07:25.720 --> 00:07:25.720]   It brings comfort in a place where there are no hotels.
[00:07:25.720 --> 00:07:25.720]   It brings comfort in a place where there are no hotels.
[00:07:25.720 --> 00:07:25.720]   It brings comfort in a place where there are no hotels.
[00:07:25.720 --> 00:07:25.720]   It brings comfort in a place where there are no hotels.
[00:07:25.720 --> 00:07:25.720]   It brings comfort in a place where there are no hotels.
[00:07:25.720 --> 00:07:25.720]   It brings comfort in a place where there are no hotels.
