
[00:00:00.000 --> 00:00:21.500]   I have before me the ominous task of making this presentation really
[00:00:21.500 --> 00:00:25.760]   interesting with a topic which is going to sound like a crib.
[00:00:25.760 --> 00:00:32.140]   What are those missing pieces for workflow automation to happen with AI?
[00:00:32.140 --> 00:00:35.160]   And I'm going to tell you really an enterprise story.
[00:00:35.160 --> 00:00:38.260]   Is it dry? Is it just going to be about,
[00:00:38.260 --> 00:00:41.380]   now I'm going to find out who took my lunch sandwich?
[00:00:41.380 --> 00:00:42.800]   We'll see.
[00:00:42.800 --> 00:00:46.880]   And as I was preparing for this talk and I realized in
[00:00:46.880 --> 00:00:50.400]   the schedule that this is going to be just after lunch,
[00:00:50.400 --> 00:00:53.800]   I thought I should start off with a joke.
[00:00:53.800 --> 00:00:57.760]   And since for all our daily needs we go to AI tools,
[00:00:57.760 --> 00:01:02.180]   I tried to go to AI tool for a joke and they really suck.
[00:01:02.180 --> 00:01:04.400]   I couldn't find one decent joke.
[00:01:04.400 --> 00:01:07.980]   If you can tell me a good joke about using AI for
[00:01:07.980 --> 00:01:11.300]   your real-world enterprise needs,
[00:01:11.300 --> 00:01:14.720]   I'd be happy to squeeze it in right now.
[00:01:14.720 --> 00:01:19.680]   Oh, clicker doesn't work.
[00:01:19.680 --> 00:01:23.900]   Can someone help me?
[00:01:23.900 --> 00:01:25.140]   Oh, okay. Yep.
[00:01:25.140 --> 00:01:31.260]   So, the graph looks a little different from all the graphs that I've been seeing this morning.
[00:01:31.260 --> 00:01:40.640]   We took this journey in our worlds, in our enterprise worlds, as we explored.
[00:01:40.640 --> 00:01:44.520]   But before I dive into this, I think I should do an introduction.
[00:01:44.520 --> 00:01:50.900]   I'm Shersha, I've come all the way from Bangalore to tell you the story that I see unfolding around me.
[00:01:50.900 --> 00:02:00.480]   Not just in Thomson Reuters, where I work, trying to bring AI to my teams and different business processes.
[00:02:00.480 --> 00:02:09.480]   But also the same story that I hear at meetups and, you know, um, different community events where I meet AI practitioners.
[00:02:09.480 --> 00:02:16.740]   Um, everyone started off trying to democratize the use of Generative AI back in 2023.
[00:02:16.740 --> 00:02:26.740]   We have something called as Open Arena in, uh, Thomson Reuters, very similar to your, you know, um, playground where you can try different large language models.
[00:02:26.740 --> 00:02:35.740]   This is where it truly came home to, um, almost everybody in an enterprise to start using Generative AI for their workflows.
