
[00:00:00.000 --> 00:00:03.000]   ♪ Bless him in the mornings ♪
[00:00:03.000 --> 00:00:05.000]   ♪ Come back Sunday morning ♪
[00:00:05.000 --> 00:00:08.000]   California's top casino and entertainment destination
[00:00:08.000 --> 00:00:11.000]   is now your California to Vegas connection.
[00:00:11.000 --> 00:00:14.000]   Play at Yamava Resort and Casino at San Manuel
[00:00:14.000 --> 00:00:17.000]   to earn points, rewards, and complimentary experiences
[00:00:17.000 --> 00:00:21.000]   for the iconic Palms Casino Resort in Las Vegas.
[00:00:21.000 --> 00:00:23.000]   ♪ Got to sort of tell 'em ♪
[00:00:23.000 --> 00:00:26.000]   Two destinations, one loyalty card.
[00:00:26.000 --> 00:00:29.000]   Visit yamava.com/palms to discover more.
[00:00:30.000 --> 00:00:35.000]   ♪
[00:00:35.000 --> 00:00:40.000]   ♪
[00:00:40.000 --> 00:00:45.000]   ♪
[00:00:45.000 --> 00:00:50.000]   ♪
[00:00:50.000 --> 00:00:55.000]   ♪
[00:00:55.000 --> 00:01:00.000]   ♪
[00:01:00.000 --> 00:01:01.000]   ♪
[00:01:01.000 --> 00:01:06.000]   ♪
[00:01:06.000 --> 00:01:11.000]   ♪
[00:01:11.000 --> 00:01:16.000]   ♪
[00:01:16.000 --> 00:01:21.000]   ♪
[00:01:21.000 --> 00:01:26.000]   ♪
[00:01:26.000 --> 00:01:31.000]   ♪
[00:01:31.000 --> 00:01:36.000]   ♪
[00:01:36.000 --> 00:01:41.000]   ♪
[00:01:41.000 --> 00:01:46.000]   ♪
[00:01:46.000 --> 00:01:51.000]   ♪
[00:01:51.000 --> 00:01:56.000]   ♪
[00:01:56.000 --> 00:02:01.000]   ♪
[00:02:01.000 --> 00:02:06.000]   ♪
[00:02:06.000 --> 00:02:11.000]   ♪
[00:02:11.000 --> 00:02:16.000]   ♪
[00:02:16.000 --> 00:02:21.000]   ♪
[00:02:21.000 --> 00:02:26.000]   ♪
[00:02:26.000 --> 00:02:31.000]   ♪
[00:02:31.000 --> 00:02:36.000]   ♪
[00:02:36.000 --> 00:02:41.000]   ♪
[00:02:41.000 --> 00:02:46.000]   ♪
[00:02:46.000 --> 00:02:51.000]   ♪
[00:02:51.000 --> 00:02:56.000]   ♪
[00:02:56.000 --> 00:03:01.000]   ♪
[00:03:01.000 --> 00:03:06.000]   ♪
[00:03:06.000 --> 00:03:11.000]   ♪
[00:03:11.000 --> 00:03:16.000]   ♪
[00:03:16.000 --> 00:03:21.000]   ♪
[00:03:21.000 --> 00:03:26.000]   ♪
[00:03:26.000 --> 00:03:31.000]   ♪
[00:03:31.000 --> 00:03:36.000]   ♪
[00:03:36.000 --> 00:03:41.000]   ♪
[00:03:41.000 --> 00:03:46.000]   ♪
[00:03:46.000 --> 00:03:51.000]   ♪
[00:03:51.000 --> 00:03:56.000]   ♪
[00:03:56.000 --> 00:04:01.000]   ♪
[00:04:01.000 --> 00:04:06.000]   ♪
[00:04:06.000 --> 00:04:11.000]   ♪
[00:04:11.000 --> 00:04:16.000]   ♪
[00:04:16.000 --> 00:04:21.000]   ♪
[00:04:21.000 --> 00:04:26.000]   ♪
[00:04:26.000 --> 00:04:31.000]   ♪
[00:04:31.000 --> 00:04:36.000]   ♪
[00:04:36.000 --> 00:04:41.000]   ♪
[00:04:41.000 --> 00:04:46.000]   ♪
[00:04:46.000 --> 00:04:51.000]   ♪
[00:04:51.000 --> 00:04:56.000]   ♪
[00:04:56.000 --> 00:05:01.000]   ♪
[00:05:01.000 --> 00:05:06.000]   ♪
[00:05:06.000 --> 00:05:11.000]   ♪
[00:05:11.000 --> 00:05:16.000]   ♪
[00:05:16.000 --> 00:05:21.000]   ♪
[00:05:21.000 --> 00:05:26.000]   ♪
[00:05:26.000 --> 00:05:31.000]   ♪
[00:05:31.000 --> 00:05:36.000]   ♪
[00:05:36.000 --> 00:05:41.000]   ♪
[00:05:41.000 --> 00:05:46.000]   ♪
[00:05:46.000 --> 00:05:51.000]   ♪
[00:05:51.000 --> 00:05:56.000]   ♪
[00:05:56.000 --> 00:06:01.000]   ♪
[00:06:01.000 --> 00:06:06.000]   ♪
[00:06:06.000 --> 00:06:11.000]   ♪
[00:06:11.000 --> 00:06:16.000]   ♪
[00:06:16.000 --> 00:06:21.000]   ♪
[00:06:21.000 --> 00:06:26.000]   ♪
[00:06:26.000 --> 00:06:31.000]   ♪
[00:06:31.000 --> 00:06:36.000]   ♪
[00:06:36.000 --> 00:06:41.000]   ♪
[00:06:41.000 --> 00:06:46.000]   ♪
[00:06:46.000 --> 00:06:51.000]   ♪
[00:06:51.000 --> 00:06:56.000]   ♪
[00:06:56.000 --> 00:07:01.000]   ♪
[00:07:01.000 --> 00:07:06.000]   ♪
[00:07:06.000 --> 00:07:11.000]   ♪
[00:07:11.000 --> 00:07:16.000]   ♪
[00:07:16.000 --> 00:07:21.000]   ♪
[00:07:21.000 --> 00:07:26.000]   ♪
[00:07:26.000 --> 00:07:31.000]   ♪
[00:07:31.000 --> 00:07:36.000]   ♪
[00:07:36.000 --> 00:07:41.000]   ♪
[00:07:41.000 --> 00:07:46.000]   ♪
[00:07:46.000 --> 00:07:51.000]   ♪
[00:07:51.000 --> 00:07:56.000]   ♪
[00:07:56.000 --> 00:08:01.000]   ♪
[00:08:01.000 --> 00:08:06.000]   ♪
[00:08:06.000 --> 00:08:11.000]   ♪
[00:08:11.000 --> 00:08:16.000]   ♪
[00:08:16.000 --> 00:08:21.000]   ♪
[00:08:21.000 --> 00:08:26.000]   ♪
[00:08:26.000 --> 00:08:31.000]   ♪
[00:08:31.000 --> 00:08:36.000]   ♪
[00:08:36.000 --> 00:08:41.000]   ♪
[00:08:41.000 --> 00:08:46.000]   ♪
[00:08:46.000 --> 00:08:51.000]   ♪
