
[00:00:00.000 --> 00:00:03.360]   [MUSIC PLAYING]
[00:00:03.360 --> 00:00:07.480]   Hey, Kyle, Sean here.
[00:00:07.480 --> 00:00:11.080]   Hey, I really enjoyed your book, A World Without Email.
[00:00:11.080 --> 00:00:11.800]   Appreciate that.
[00:00:11.800 --> 00:00:16.000]   And really buying into the workflow concept,
[00:00:16.000 --> 00:00:17.880]   it's very powerful.
[00:00:17.880 --> 00:00:22.380]   I've got the calendaring piece down using Calendly.
[00:00:22.380 --> 00:00:24.720]   I've got the escalation workflow down.
[00:00:24.720 --> 00:00:27.280]   And just wondering if you could do an episode on--
[00:00:27.280 --> 00:00:31.520]   or answer a question on what are the top 10 workflows
[00:00:31.520 --> 00:00:34.960]   that people should be focusing on to get people started.
[00:00:34.960 --> 00:00:37.600]   I've got two down, and I'd love eight more.
[00:00:37.600 --> 00:00:39.520]   Thanks, Cal.
[00:00:39.520 --> 00:00:43.760]   Well, I will see your request for a count of workflows,
[00:00:43.760 --> 00:00:47.080]   and I will respond with a collection of categories
[00:00:47.080 --> 00:00:47.880]   for these workflows.
[00:00:47.880 --> 00:00:49.720]   Because I think it's a more interesting way
[00:00:49.720 --> 00:00:52.400]   and a more generative way of thinking about this.
[00:00:52.400 --> 00:00:54.640]   So quick preamble for those who want
[00:00:54.640 --> 00:00:57.240]   to know what we're talking about here, for those who did not yet
[00:00:57.240 --> 00:00:59.880]   read my book, A World Without Email.
[00:00:59.880 --> 00:01:03.920]   In that book, I argue that the way we implement most
[00:01:03.920 --> 00:01:06.440]   of our work right now, most of the collaboration, coordination
[00:01:06.440 --> 00:01:08.480]   around our work right now in the office context,
[00:01:08.480 --> 00:01:12.160]   is through ad hoc back and forth unscheduled messages.
[00:01:12.160 --> 00:01:14.360]   That's the hyperactive hive mind workflow.
[00:01:14.360 --> 00:01:15.860]   And it's a disaster because you have
[00:01:15.860 --> 00:01:18.280]   to keep checking these inboxes to keep up
[00:01:18.280 --> 00:01:20.080]   with all these back and forth conversations.
[00:01:20.080 --> 00:01:21.740]   That checking creates context shifts.
[00:01:21.740 --> 00:01:25.680]   Those context shifts are productivity poison.
[00:01:25.680 --> 00:01:27.800]   So the big idea in that book is if you
[00:01:27.800 --> 00:01:30.320]   want to fix the problems of email overload,
[00:01:30.320 --> 00:01:32.280]   it's not about having better advice
[00:01:32.280 --> 00:01:33.480]   for dealing with your inbox.
[00:01:33.480 --> 00:01:36.320]   It's not about better norms or subject lines or batching.
[00:01:36.320 --> 00:01:39.280]   You have to actually take the things
[00:01:39.280 --> 00:01:43.400]   you do repeatedly in your work, what I call processes.
[00:01:43.400 --> 00:01:46.720]   And for each, say here is the new workflow
