
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.920]   - We get so many questions from listeners
[00:00:06.920 --> 00:00:11.060]   who want to escape sinful addictions to lust and pornography.
[00:00:11.060 --> 00:00:12.600]   We have so many listeners who want to be done
[00:00:12.600 --> 00:00:14.680]   with the sin of anger,
[00:00:14.680 --> 00:00:16.760]   and many listeners want to know the key
[00:00:16.760 --> 00:00:18.040]   to personal holiness.
[00:00:18.040 --> 00:00:19.360]   Pastor John, at the end of the day,
[00:00:19.360 --> 00:00:21.920]   we depend on God for all of this freedom.
[00:00:21.920 --> 00:00:24.120]   I mean, God must free us.
[00:00:24.120 --> 00:00:25.280]   So Pastor John, in this episode,
[00:00:25.280 --> 00:00:28.620]   would you lead us in prayer before God right now
[00:00:28.620 --> 00:00:30.040]   on behalf of all of us,
[00:00:30.040 --> 00:00:32.760]   that everyone listening will have hearts
[00:00:32.760 --> 00:00:34.640]   filled with satisfaction in God
[00:00:34.640 --> 00:00:38.840]   that is more powerful than the lure of the sins in our life?
[00:00:38.840 --> 00:00:43.160]   - I would love to, Tony, but let me, before I pray,
[00:00:43.160 --> 00:00:47.280]   let me just say a word to orient the listeners,
[00:00:47.280 --> 00:00:48.960]   because I feel like they need a moment right here
[00:00:48.960 --> 00:00:50.520]   just to prepare themselves for this,
[00:00:50.520 --> 00:00:53.320]   because if they're gonna listen and say amen,
[00:00:53.320 --> 00:00:56.280]   they need to have a heart of a sense of expectation,
[00:00:56.280 --> 00:00:58.700]   so they're not just listening to me pray like,
[00:00:58.700 --> 00:01:01.500]   oh, here's another podcast and piece of information,
[00:01:01.500 --> 00:01:04.520]   what will he say, but really pray with me.
[00:01:04.520 --> 00:01:07.500]   And I'm thinking of people here now,
[00:01:07.500 --> 00:01:09.180]   this is what I understand you mean,
[00:01:09.180 --> 00:01:13.420]   who are stuck in a same pattern of sin
[00:01:13.420 --> 00:01:16.020]   over and over with little movement.
[00:01:16.020 --> 00:01:20.260]   I remember one man's testimony of praying for freedom
[00:01:20.260 --> 00:01:22.260]   from pornography for years,
[00:01:22.260 --> 00:01:24.700]   and then it came, and stunningly,
[00:01:24.700 --> 00:01:29.200]   he said, why would God answer the thousandth prayer
[00:01:29.200 --> 00:01:33.660]   and not the second one, or the 802nd one?
[00:01:33.660 --> 00:01:35.780]   And he didn't know the answer.
