
[00:00:00.000 --> 00:00:02.780]   Alright final final segment of the show
[00:00:02.780 --> 00:00:05.720]   three interesting things
[00:00:05.720 --> 00:00:12.100]   This is where we take three things that I found interesting that you have sent to me in my interesting at Cal Newport comm email
[00:00:12.100 --> 00:00:16.160]   address that all relate to the general theme here of trying to live a deep life and
[00:00:16.160 --> 00:00:20.280]   I take three I like and we look at them. So if you are
[00:00:20.280 --> 00:00:22.640]   Listening to this show
[00:00:22.640 --> 00:00:28.380]   You might want to jump over to the YouTube version of the episode because the three things are visual
[00:00:28.600 --> 00:00:31.440]   That's youtube.com slash Cal Newport media
[00:00:31.440 --> 00:00:36.420]   We launch a video of the full episode of each podcast usually the same day that it comes out
[00:00:36.420 --> 00:00:41.740]   I'll explain in words what's on the screen here, but it's it's better than what so it's a good chance to jump over to YouTube
[00:00:41.740 --> 00:00:50.060]   All right. The first interesting thing I want to talk about is the director Guillermo del Toro or as I've discovered his fans
[00:00:50.060 --> 00:00:52.060]   Call him GDT
[00:00:52.060 --> 00:00:54.600]   his so-called bleak house
[00:00:55.360 --> 00:01:00.640]   All right, so I've loaded on the screen now an article. There's a lot of articles about this
[00:01:00.640 --> 00:01:02.640]   This happens to come from a Southern California
[00:01:02.640 --> 00:01:09.840]   Radio station and the headline here is bleak house a tour inside Guillermo del Toro's creative man cave
[00:01:09.840 --> 00:01:13.240]   there is a picture of him in a
[00:01:13.240 --> 00:01:16.400]   Victorian decorated room with a terrifying monster
[00:01:16.400 --> 00:01:21.180]   Statue so here's the subhead. I'll read this on the screen right now
[00:01:22.180 --> 00:01:29.660]   The director behind pans labyrinth and hellboy owns a house filled with artifacts. He has collected throughout his life
[00:01:29.660 --> 00:01:36.380]   Now the reason why we're hearing about this is there's a exhibit they're now doing where you can come in a museum exhibit
[00:01:36.380 --> 00:01:39.420]   We can see a lot of these things, but the key thing is before this exhibit
[00:01:39.420 --> 00:01:44.700]   He has a two-story house filled with more than 10,000 items
[00:01:44.700 --> 00:01:49.580]   artwork sculptures artifacts books movies collected over a lifetime
[00:01:50.580 --> 00:01:53.580]   But he insists he's not collecting for collecting sake
[00:01:53.580 --> 00:01:57.580]   So let's dive a little deeper. Here's a Guillermo quote
[00:01:57.580 --> 00:02:02.460]   This is a religious place for me. See to me everything that surrounds us is not a collection
[00:02:02.460 --> 00:02:06.820]   It's a relics its relics or its talent talismans, whatever you want to call them
[00:02:06.820 --> 00:02:12.020]   They have a spiritual hold of who I am. Essentially this goes right back to the question. We talked about before the break
[00:02:12.020 --> 00:02:17.340]   About the the value of having symbolic symbolic objects to capture your values
[00:02:18.180 --> 00:02:24.440]   GDT is getting right to the core of this. He sees these things he collects as relics. It's it's a power is being captured in there
[00:02:24.440 --> 00:02:27.540]   Where is the bleak house?
[00:02:27.540 --> 00:02:35.180]   It's a in the suburbs. He just bought a house in the suburbs of LA near his existing house and he gets into it
[00:02:35.180 --> 00:02:38.300]   Later in this article he gets into how this came about
[00:02:38.300 --> 00:02:42.380]   He was collecting this stuff because if you know GDT he does these these beautiful
[00:02:42.620 --> 00:02:45.900]   Fantastical movies that often have the macabre or terrifying in them
[00:02:45.900 --> 00:02:52.960]   So he was collecting these somewhat disturbing objects and at some point his wife very reasonably said this cannot be in our house
[00:02:52.960 --> 00:02:57.460]   Like we have young kids if you want to know what I'm talking about and you're watching on YouTube
[00:02:57.460 --> 00:03:01.600]   I have an example on the page of something that's in his bleak house. It's um
