
[00:00:00.000 --> 00:00:06.760]   Well, hello, Everyday Educators.
[00:00:06.760 --> 00:00:13.020]   I hope this podcast finds you celebrating the end of the current homeschool year, maybe
[00:00:13.020 --> 00:00:19.920]   trading in your sneakers for a pair of sandals, and possibly noting when your local practicum
[00:00:19.920 --> 00:00:24.840]   will be taking place this summer so that you can continue to be equipped and encouraged
[00:00:24.840 --> 00:00:27.220]   on your home education journey.
[00:00:27.220 --> 00:00:33.360]   My name is Kelly Wilt, and I currently serve as the lead of program development for Classical
[00:00:33.360 --> 00:00:39.020]   Conversations Multimedia, as well as a challenge director in my local community.
[00:00:39.020 --> 00:00:47.580]   But another of my favorite roles within Classical Conversations is emceeing our own annual National
[00:00:47.580 --> 00:00:49.360]   Memory Master Competition.
[00:00:49.360 --> 00:00:56.820]   This competition is designed to cement and celebrate memory work mastered by our foundation
[00:00:56.820 --> 00:01:04.300]   students on their final tour before moving on to Challenge A. And this past week, our competition
[00:01:04.300 --> 00:01:11.040]   was held in Southern Pines, North Carolina, where we crowned a new National Memory Master
[00:01:11.040 --> 00:01:12.780]   Champion for 2025.
[00:01:12.780 --> 00:01:20.800]   And if you were able to follow along on our live stream, you bore witness to many amazing
[00:01:20.800 --> 00:01:29.260]   feats of memory as our 16 finalists tackled question after question with diligence, excellence,
[00:01:29.260 --> 00:01:30.740]   and grace.
[00:01:30.740 --> 00:01:40.300]   So today, it is my pleasure and joy to introduce you to our 2025 champion, Evangeline, and her
[00:01:40.300 --> 00:01:43.760]   parents, Jason and Tricia Tracht.
[00:01:43.760 --> 00:01:45.700]   Welcome to the Everyday Educator.
[00:01:45.700 --> 00:01:48.160]   Hey, thank you so much for having us, Kelly.
[00:01:48.160 --> 00:01:48.680]   We're excited.
[00:01:48.680 --> 00:01:49.780]   Absolutely.
[00:01:50.100 --> 00:01:58.200]   Well, first of all, Evangeline, let me say congratulations on being the 2025 National Memory Master
[00:01:58.200 --> 00:01:58.840]   Champion.
[00:01:58.840 --> 00:02:06.540]   After all of the preparation you did beforehand, as well as handling the pressures of the competition,
[00:02:06.540 --> 00:02:11.400]   how did it feel when you heard your name announced as the winner?
[00:02:11.500 --> 00:02:13.880]   I was so shocked.
[00:02:13.880 --> 00:02:16.260]   It was one of the best moments of my life.
[00:02:16.260 --> 00:02:19.120]   I was, I didn't really know who was going to win.
[00:02:19.120 --> 00:02:21.080]   And I was like, kind of like really nervous.
[00:02:21.080 --> 00:02:24.120]   And then he said my name and it was, it meant a lot to me.
[00:02:24.120 --> 00:02:29.840]   Well, I will say the look on your face was pure joy and surprise coupled together.
[00:02:29.840 --> 00:02:36.580]   And it was so encouraging to see all of the finalists just wrap you up in a giant hug.
[00:02:36.600 --> 00:02:42.400]   And some of them, I think, tried to lift you off the ground because everyone was so thrilled.
[00:02:42.400 --> 00:02:46.920]   And I think that's one of the lovely things about the National Memory Master Competition
[00:02:46.920 --> 00:02:54.720]   is that spirit of teamwork and togetherness and friendship that we see evident with our finalists.
[00:02:54.720 --> 00:03:00.160]   So, you know, Classical Conversations is a family made up of families.
[00:03:00.520 --> 00:03:07.640]   And that is truly evident in the way that we love and support each other at National Memory Master,
[00:03:07.640 --> 00:03:12.500]   both before and during and after the competition.
[00:03:12.500 --> 00:03:15.380]   So, Jason, tell us a little bit about your family.
[00:03:15.380 --> 00:03:16.340]   Yeah.
[00:03:16.340 --> 00:03:18.220]   So we live here in Jacksonville, Florida.
[00:03:18.220 --> 00:03:22.560]   So we've, you know, Tricia and I have been married for 15 years now.
[00:03:22.560 --> 00:03:23.660]   Our anniversary is coming up.
[00:03:23.660 --> 00:03:25.560]   Yeah, we have the four kids.
[00:03:25.560 --> 00:03:26.660]   So Evangeline's our oldest.
[00:03:27.080 --> 00:03:28.680]   So at 12, it's a two-year cadence.
[00:03:28.680 --> 00:03:32.640]   So we have a 12-year-old, a 10-year-old, an 8-year-old, and a 6-year-old.
[00:03:32.640 --> 00:03:37.720]   So Evangeline has two younger brothers followed by a youngest who's a sister.
[00:03:37.720 --> 00:03:42.420]   So Josiah, Nehemiah, and Elizabeth.
[00:03:42.420 --> 00:03:45.940]   So obviously, Tricia stays home and homeschools the kids.
[00:03:45.940 --> 00:03:46.820]   No surprise there.
[00:03:47.240 --> 00:03:48.960]   And I work for a financial company.
[00:03:48.960 --> 00:03:51.440]   And so helping people make wise financial decisions.
[00:03:51.440 --> 00:03:54.920]   But yeah, so we've lived here our entire married life.
[00:03:54.920 --> 00:03:56.440]   Tricia's lived here our entire life.
[00:03:56.440 --> 00:03:59.740]   I'm actually from out on the West Coast and grew up in Washington State.
[00:03:59.740 --> 00:04:05.760]   But yeah, we love living here, being a part of our community here and loving life.
[00:04:05.760 --> 00:04:06.780]   Wonderful.
[00:04:06.780 --> 00:04:10.060]   Tricia, I know that homeschooling is a full-time job.
[00:04:11.060 --> 00:04:16.380]   Tell us, how did you find out, how did your family find out about Classical Conversations?
[00:04:16.380 --> 00:04:20.220]   And share with us a little bit of your family's CC story.
[00:04:20.220 --> 00:04:23.720]   Okay, so we knew that we wanted homeschool.
[00:04:23.720 --> 00:04:25.200]   My husband was homeschooled.
[00:04:25.200 --> 00:04:27.460]   And we were actually both Christian school teachers.
[00:04:27.460 --> 00:04:29.440]   So we knew we wanted to homeschool.
[00:04:29.440 --> 00:04:32.840]   And so I had a friend actually on social media.
[00:04:32.840 --> 00:04:34.740]   And I had never met her in person.
[00:04:34.740 --> 00:04:36.640]   It's just a social media friend.
[00:04:36.640 --> 00:04:38.140]   But she was local to my area.
[00:04:38.140 --> 00:04:43.100]   And she would post all the time about this Classical Conversations that she was doing with
[00:04:43.100 --> 00:04:46.280]   her children and learning Latin, all of these things.
[00:04:46.280 --> 00:04:48.200]   And she would explain it.
[00:04:48.200 --> 00:04:50.180]   And I was like, that sounds amazing.
[00:04:50.180 --> 00:04:50.920]   What is this?
[00:04:50.920 --> 00:04:52.200]   And so I reached out to her.
[00:04:52.200 --> 00:04:55.960]   And she encouraged me to reach out to the local director, which I did.
[00:04:55.960 --> 00:04:57.620]   So I met her.
[00:04:57.620 --> 00:04:59.420]   And then I came to that first practicum.
[00:04:59.420 --> 00:05:04.100]   And seeing the Challenge Kids, because the year that I came to the practicum,
[00:05:04.480 --> 00:05:06.640]   they had a panel of Challenge Kids.
[00:05:06.640 --> 00:05:11.360]   And they were asking them questions and asking them about college and their future.
[00:05:11.360 --> 00:05:17.340]   And just listening to them answer how intelligently they answered and thoroughly.
[00:05:17.340 --> 00:05:23.580]   And they seem to have just loved learning and gained so much knowledge and wisdom.
[00:05:23.580 --> 00:05:25.560]   I was so impressed by that.
[00:05:25.560 --> 00:05:29.040]   And then one of the seniors' mothers actually spoke.
[00:05:29.360 --> 00:05:34.260]   And when she explained what homeschool could be, I was so excited.
[00:05:34.260 --> 00:05:39.140]   Because coming from that teacher background, I, Corey Evangeline at four years old, like
