
[00:00:00.000 --> 00:00:00.840]   Hello, everybody.
[00:00:00.840 --> 00:00:02.680]   It's Sam from Financial Samurai.
[00:00:02.680 --> 00:00:06.360]   And in this episode, we're going to talk about risk arbitrage
[00:00:06.360 --> 00:00:11.760]   investing and why if we practice risk arbitrage or arbitrage
[00:00:11.760 --> 00:00:14.920]   in our lives, we can lead better lives going forward.
[00:00:14.920 --> 00:00:17.080]   So risk arbitrage is an investment strategy
[00:00:17.080 --> 00:00:19.400]   that speculates on the successful completion
[00:00:19.400 --> 00:00:21.160]   of mergers and acquisitions.
[00:00:21.160 --> 00:00:23.960]   This is the classic definition of risk arbitrage.
[00:00:23.960 --> 00:00:26.020]   An investor that employs the strategy
[00:00:26.020 --> 00:00:28.720]   is known as an arbitrageur.
[00:00:28.720 --> 00:00:31.660]   While risk arbitrage is a type of event-driven investing
[00:00:31.660 --> 00:00:35.520]   in that it attempts to exploit pricing inefficiencies caused
[00:00:35.520 --> 00:00:37.080]   by a corporate event.
[00:00:37.080 --> 00:00:39.080]   So during my 13 years on Wall Street,
[00:00:39.080 --> 00:00:41.560]   I covered hedge funds that deployed the risk arbitrage
[00:00:41.560 --> 00:00:42.800]   strategy.
[00:00:42.800 --> 00:00:45.400]   And their bread and butter trade would be to go long a stock
[00:00:45.400 --> 00:00:48.040]   they thought would be a potential acquisition target
[00:00:48.040 --> 00:00:50.320]   and then go short either the company they thought
[00:00:50.320 --> 00:00:53.020]   would overpay or competitors that would
[00:00:53.020 --> 00:00:55.760]   be hurt from the acquisition.
[00:00:55.760 --> 00:00:57.440]   Or maybe they would buy competitors
[00:00:57.440 --> 00:01:00.560]   who they thought would also get acquired.
[00:01:00.560 --> 00:01:03.800]   There's a multi-combination of risk arbing going on.
[00:01:03.800 --> 00:01:06.000]   And here's a classic example.
[00:01:06.000 --> 00:01:09.680]   Suppose Financial Samurai is trading at $40 a share.
[00:01:09.680 --> 00:01:13.560]   Then CNBC announces a plan to buy Financial Samurai,
[00:01:13.560 --> 00:01:15.760]   in which case holders of Financial Samurai stock
[00:01:15.760 --> 00:01:18.360]   get $80 in cash.
[00:01:18.360 --> 00:01:22.040]   Then Financial Samurai stock jumps to $70 a share.
[00:01:22.040 --> 00:01:24.520]   It doesn't go to $80 since there is some chance
[00:01:24.520 --> 00:01:26.960]   the deal will not go through.
[00:01:26.960 --> 00:01:30.480]   The $10 spread is what an arbiter is playing for.
[00:01:30.480 --> 00:01:33.280]   In this case, the arbiter can purchase shares
[00:01:33.280 --> 00:01:36.160]   of Financial Samurai stock for $70.
[00:01:36.160 --> 00:01:39.120]   He will gain $10 if the deal is completed
[00:01:39.120 --> 00:01:42.800]   and lose $30 if the deal is terminated,
[00:01:42.800 --> 00:01:46.720]   assuming the stock returns to its original $40 in a break,
[00:01:46.720 --> 00:01:50.160]   which may not occur, which usually actually doesn't occur.
[00:01:50.160 --> 00:01:51.920]   So according to the market, the probability
[00:01:51.920 --> 00:01:55.440]   that the deal is consummated at its original terms
[00:01:55.440 --> 00:01:57.320]   is about 75%.
[00:01:57.320 --> 00:01:59.200]   That's what the studies have shown
[00:01:59.200 --> 00:02:01.040]   in any kind of mergers and acquisitions.
[00:02:01.040 --> 00:02:05.600]   Once it's announced, 75% of the time, mergers happen.
[00:02:05.600 --> 00:02:07.840]   And the probability that the deal will be terminated
[00:02:07.840 --> 00:02:09.840]   is therefore 25%.
[00:02:09.840 --> 00:02:12.640]   So the arbiter has three choices.
[00:02:12.640 --> 00:02:14.680]   Purchase Financial Samurai stock at $70.
[00:02:14.680 --> 00:02:16.920]   He would do this if he believes the probability
[00:02:16.920 --> 00:02:20.640]   that the deal will close is higher than or in line
[00:02:20.640 --> 00:02:22.980]   with the odds offered by the market.
[00:02:22.980 --> 00:02:25.760]   Short Financial Samurai stock at $70.
[00:02:25.760 --> 00:02:28.320]   She would do this if she believes the probability
