
[00:00:00.000 --> 00:00:05.940]   Okay so we're going to move on to chapter two of the Agents SDK course. In this chapter we're going
[00:00:05.940 --> 00:00:13.160]   to be taking a look at the built-in tracing that comes with the SDK. So just to give you a quick
[00:00:13.160 --> 00:00:19.520]   preview of what tracing looks like when you're using it, it looks like this. So this is all
[00:00:19.520 --> 00:00:26.560]   built-in. I haven't, or at least for most of these, I have not done anything much beyond passing in an
[00:00:26.560 --> 00:00:33.480]   API key. So this is one thing that Agents SDK does very well in my opinion. Just by passing my
[00:00:33.480 --> 00:00:39.420]   OpenAI API key and turning tracing on in my dashboard, and I'll show you how to do that in a
[00:00:39.420 --> 00:00:46.940]   moment, we get all of this information about what is going on within our Agents when we're using
[00:00:46.940 --> 00:00:54.660]   Agents SDK. So this is an example from a future chapter that we are going to be working on, which
[00:00:54.660 --> 00:01:01.580]   is where we're going to be building this essentially GFK RAG pipeline. And in this example we have this
[00:01:01.580 --> 00:01:08.960]   GFK document assistant. You can see that this is a chat response. So this is when we're getting the
[00:01:08.960 --> 00:01:14.040]   LLM to generate some text. In this case I can see that the LLM generated some text. It decided to use
[00:01:14.040 --> 00:01:21.720]   the GFK file search tool. Here I must have been searching something to do with some guy here,
[00:01:21.720 --> 00:01:28.960]   Valerie. And we can see what was returned. Okay. And we also get to see how long each one of these steps
[00:01:28.960 --> 00:01:35.960]   took. So that initial tool call from the LLM is about a second. The response time there, super fast,
[00:01:35.960 --> 00:01:42.600]   it's about, well, 100 milliseconds there. Then the final response, the final response has a bit more
[00:01:42.600 --> 00:01:48.640]   to process because we've just given it a ton of documents to read and it needs to respond. You can
[00:01:48.640 --> 00:01:57.620]   see that it went through and got all this input here and then the output was this. So that's pretty cool.
[00:01:57.740 --> 00:02:02.700]   We have all that and you'll see it's super easy to sell. This is a pretty short chapter.
[00:02:02.700 --> 00:02:09.040]   So switching across to our code and make sure I'm using the agents SDK course environment there.
[00:02:09.040 --> 00:02:16.980]   If you are in Colab, I will just pre-warn you that tracing doesn't work, at least not by default,
[00:02:16.980 --> 00:02:24.100]   in Colab as of today. Maybe in the future it will, but if you do want to run this, you will
[00:02:24.100 --> 00:02:29.520]   unfortunately just have to run this locally. You can't do this part in Colab. At least not right
[00:02:29.520 --> 00:02:37.100]   now. In the future, maybe you can. So we come down. If you are running this anywhere remotely,
[00:02:37.100 --> 00:02:43.140]   of course, you will need OpenAI agents. So that is to install. And the first thing I'm going to do is
[00:02:43.140 --> 00:02:51.900]   just see how we set this up so that we can go into the OpenAI dashboard and see all these traces because
[00:02:51.900 --> 00:02:58.480]   by default, if you're part of an organization, you can't. This information is by default only
[00:02:58.480 --> 00:03:04.100]   accessible by the organization owner. So if you're an engineer in a larger company, you will need to
[00:03:04.100 --> 00:03:10.400]   go through a few steps, which I have outlined here. So we first need to click that little settings icon
[00:03:10.400 --> 00:03:16.420]   at the top. We're then going to click on data controls. We should find a little section here,
[00:03:16.420 --> 00:03:23.720]   which allows us to set the log visibility, right? And this includes traces. So you're looking at your
[00:03:23.720 --> 00:03:31.020]   response logs, stored, check completions, and traces. That will need to be set to be visible either to
[00:03:31.020 --> 00:03:37.340]   everyone or visible for selected projects or just visible so that you as a engineer can see it.
[00:03:37.800 --> 00:03:44.380]   So once you have selected the required permissions there, you click save. Now, once you've gained access,
[00:03:44.380 --> 00:03:50.620]   you should actually be able to see traces already. And you can do so by going to your dashboard, go to traces,
[00:03:50.620 --> 00:03:57.560]   and then you see here we have all of these traces. So you should be able to see this page. If you can't,
[00:03:57.560 --> 00:04:04.180]   you need to talk to whoever owns your OpenAI organization and fix that. Once you've confirmed,
[00:04:04.180 --> 00:04:08.420]   you can see everything. Let's switch back to the notebook, and we're going to start creating some traces.
[00:04:08.420 --> 00:04:15.060]   So we will need an OpenAI API key, of course. So you just enter that here. Then we're going to go ahead
[00:04:15.060 --> 00:04:22.500]   and create a basic agent. Now, as usual, agent object will have that name instructions and model.
[00:04:22.500 --> 00:04:29.620]   You will see these in the tracing dashboard. Okay, so we're going to start with tracing prompt agent,
